,global-confirmed,global-deaths,US-confirmed,US-deaths
2020-04-01,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/42ded9fd324391e65dfdf56fbfb2aff45a2514a6/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/42ded9fd324391e65dfdf56fbfb2aff45a2514a6/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/42ded9fd324391e65dfdf56fbfb2aff45a2514a6/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/42ded9fd324391e65dfdf56fbfb2aff45a2514a6/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-02,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/33640a584cfe72958910c0a9620f4d0bcf36b159/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/33640a584cfe72958910c0a9620f4d0bcf36b159/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/33640a584cfe72958910c0a9620f4d0bcf36b159/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/33640a584cfe72958910c0a9620f4d0bcf36b159/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-03,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/6af1fed774d43186145c59942285c2b9fad83510/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/6af1fed774d43186145c59942285c2b9fad83510/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/6af1fed774d43186145c59942285c2b9fad83510/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/6af1fed774d43186145c59942285c2b9fad83510/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-04,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/817c2bd1f419d553c11a7d3e126827746b903dec/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/817c2bd1f419d553c11a7d3e126827746b903dec/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/817c2bd1f419d553c11a7d3e126827746b903dec/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/817c2bd1f419d553c11a7d3e126827746b903dec/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-05,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f7c2384622806d5297d16c314a7bc0b9cde24937/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f7c2384622806d5297d16c314a7bc0b9cde24937/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f7c2384622806d5297d16c314a7bc0b9cde24937/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f7c2384622806d5297d16c314a7bc0b9cde24937/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-06,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/865c933c0f33f8ccaf4fddc45a13abdbe87036ee/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/865c933c0f33f8ccaf4fddc45a13abdbe87036ee/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/865c933c0f33f8ccaf4fddc45a13abdbe87036ee/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/865c933c0f33f8ccaf4fddc45a13abdbe87036ee/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-07,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f3dea791bf4d21064b82de32619e785a5a6cac36/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f3dea791bf4d21064b82de32619e785a5a6cac36/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f3dea791bf4d21064b82de32619e785a5a6cac36/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/f3dea791bf4d21064b82de32619e785a5a6cac36/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-08,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/1a68338bddea934490f772051121adad47bf543e/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/1a68338bddea934490f772051121adad47bf543e/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/1a68338bddea934490f772051121adad47bf543e/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/1a68338bddea934490f772051121adad47bf543e/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-09,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/5acaa8f852178af7f0c9eebfd0d5db746bbb2305/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/5acaa8f852178af7f0c9eebfd0d5db746bbb2305/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/5acaa8f852178af7f0c9eebfd0d5db746bbb2305/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/5acaa8f852178af7f0c9eebfd0d5db746bbb2305/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
2020-04-10,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/130954a27f7d6a36acbfacbb2fcf807f98dd0d7f/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/130954a27f7d6a36acbfacbb2fcf807f98dd0d7f/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/130954a27f7d6a36acbfacbb2fcf807f98dd0d7f/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv,https://raw.githubusercontent.com/CSSEGISandData/COVID-19/130954a27f7d6a36acbfacbb2fcf807f98dd0d7f/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv
