,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,1.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,1.0,2.0
45,2020-03-07,6.0,8.0
46,2020-03-08,4.0,12.0
47,2020-03-09,0.0,12.0
48,2020-03-10,5.0,17.0
49,2020-03-11,2.0,19.0
50,2020-03-12,0.0,19.0
51,2020-03-13,12.0,31.0
52,2020-03-14,3.0,34.0
53,2020-03-15,11.0,45.0
54,2020-03-16,11.0,56.0
55,2020-03-17,12.0,68.0
56,2020-03-18,11.0,79.0
57,2020-03-19,18.0,97.0
58,2020-03-20,31.0,128.0
59,2020-03-21,30.0,158.0
60,2020-03-22,108.0,266.0
61,2020-03-23,35.0,301.0
62,2020-03-24,86.0,387.0
63,2020-03-25,0.0,387.0
64,2020-03-26,115.0,502.0
65,2020-03-27,87.0,589.0
66,2020-03-28,101.0,690.0
67,2020-03-29,55.0,745.0
68,2020-03-30,75.0,820.0
69,2020-03-31,234.0,1054.0
70,2020-04-01,0.0,1054.0
71,2020-04-02,79.0,1133.0
72,2020-04-03,132.0,1265.0
73,2020-04-04,186.0,1451.0
74,2020-04-05,0.0,1451.0
75,2020-04-06,103.0,1554.0
76,2020-04-07,74.0,1628.0
77,2020-04-08,87.0,1715.0
78,2020-04-09,80.0,1795.0
79,2020-04-10,180.0,1975.0
80,2020-04-11,0.0,1975.0
81,2020-04-12,167.0,2142.0
82,2020-04-13,66.0,2208.0
83,2020-04-14,69.0,2277.0
84,2020-04-15,166.0,2443.0
85,2020-04-16,128.0,2571.0
86,2020-04-17,98.0,2669.0
87,2020-04-18,89.0,2758.0
88,2020-04-19,81.0,2839.0
89,2020-04-20,102.0,2941.0
90,2020-04-21,90.0,3031.0
91,2020-04-22,113.0,3144.0
92,2020-04-23,291.0,3435.0
93,2020-04-24,172.0,3607.0
94,2020-04-25,173.0,3780.0
95,2020-04-26,112.0,3892.0
96,2020-04-27,111.0,4003.0
97,2020-04-28,124.0,4127.0
98,2020-04-29,158.0,4285.0
99,2020-04-30,143.0,4428.0
100,2020-05-01,104.0,4532.0
101,2020-05-02,149.0,4681.0
102,2020-05-03,102.0,4783.0
103,2020-05-04,104.0,4887.0
104,2020-05-05,133.0,5020.0
105,2020-05-06,188.0,5208.0
106,2020-05-07,163.0,5371.0
107,2020-05-08,240.0,5611.0
108,2020-05-09,165.0,5776.0
109,2020-05-10,258.0,6034.0
110,2020-05-11,244.0,6278.0
111,2020-05-12,285.0,6563.0
112,2020-05-13,316.0,6879.0
113,2020-05-14,255.0,7134.0
114,2020-05-15,345.0,7479.0
115,2020-05-16,326.0,7805.0
116,2020-05-17,263.0,8068.0
117,2020-05-18,303.0,8371.0
118,2020-05-19,438.0,8809.0
119,2020-05-20,474.0,9283.0
120,2020-05-21,648.0,9931.0
121,2020-05-22,718.0,10649.0
122,2020-05-23,704.0,11353.0
123,2020-05-24,723.0,12076.0
124,2020-05-25,552.0,12628.0
125,2020-05-26,600.0,13228.0
126,2020-05-27,705.0,13933.0
127,2020-05-28,769.0,14702.0
128,2020-05-29,717.0,15419.0
129,2020-05-30,795.0,16214.0
130,2020-05-31,637.0,16851.0
131,2020-06-01,564.0,17415.0
132,2020-06-02,904.0,18319.0
133,2020-06-03,949.0,19268.0
