,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,1.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,0.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,0.0,1.0
49,2020-03-11,0.0,1.0
50,2020-03-12,3.0,4.0
51,2020-03-13,4.0,8.0
52,2020-03-14,10.0,18.0
53,2020-03-15,8.0,26.0
54,2020-03-16,26.0,52.0
55,2020-03-17,26.0,78.0
56,2020-03-18,6.0,84.0
57,2020-03-19,31.0,115.0
58,2020-03-20,21.0,136.0
59,2020-03-21,24.0,160.0
60,2020-03-22,34.0,194.0
61,2020-03-23,41.0,235.0
62,2020-03-24,14.0,249.0
63,2020-03-25,16.0,265.0
64,2020-03-26,25.0,290.0
65,2020-03-27,39.0,329.0
66,2020-03-28,78.0,407.0
67,2020-03-29,17.0,424.0
68,2020-03-30,58.0,482.0
69,2020-03-31,50.0,532.0
70,2020-04-01,39.0,571.0
71,2020-04-02,92.0,663.0
72,2020-04-03,73.0,736.0
73,2020-04-04,34.0,770.0
74,2020-04-05,52.0,822.0
75,2020-04-06,11.0,833.0
76,2020-04-07,20.0,853.0
77,2020-04-08,28.0,881.0
78,2020-04-09,40.0,921.0
79,2020-04-10,16.0,937.0
80,2020-04-11,30.0,967.0
81,2020-04-12,46.0,1013.0
82,2020-04-13,26.0,1039.0
83,2020-04-14,28.0,1067.0
84,2020-04-15,44.0,1111.0
85,2020-04-16,48.0,1159.0
86,2020-04-17,42.0,1201.0
87,2020-04-18,47.0,1248.0
88,2020-04-19,43.0,1291.0
89,2020-04-20,48.0,1339.0
90,2020-04-21,62.0,1401.0
91,2020-04-22,72.0,1473.0
92,2020-04-23,50.0,1523.0
93,2020-04-24,73.0,1596.0
94,2020-04-25,81.0,1677.0
95,2020-04-26,69.0,1746.0
96,2020-04-27,62.0,1808.0
97,2020-04-28,59.0,1867.0
98,2020-04-29,65.0,1932.0
99,2020-04-30,134.0,2066.0
100,2020-05-01,82.0,2148.0
101,2020-05-02,125.0,2273.0
102,2020-05-03,113.0,2386.0
103,2020-05-04,121.0,2507.0
104,2020-05-05,112.0,2619.0
105,2020-05-06,163.0,2782.0
106,2020-05-07,102.0,2884.0
107,2020-05-08,145.0,3029.0
108,2020-05-09,146.0,3175.0
109,2020-05-10,138.0,3313.0
110,2020-05-11,79.0,3392.0
111,2020-05-12,146.0,3538.0
112,2020-05-13,180.0,3718.0
113,2020-05-14,142.0,3860.0
114,2020-05-15,184.0,4044.0
115,2020-05-16,239.0,4283.0
116,2020-05-17,189.0,4472.0
117,2020-05-18,351.0,4823.0
118,2020-05-19,218.0,5041.0
119,2020-05-20,230.0,5271.0
120,2020-05-21,335.0,5606.0
121,2020-05-22,322.0,5928.0
122,2020-05-23,374.0,6302.0
123,2020-05-24,359.0,6661.0
124,2020-05-25,452.0,7113.0
125,2020-05-26,289.0,7402.0
126,2020-05-27,372.0,7774.0
127,2020-05-28,442.0,8216.0
128,2020-05-29,460.0,8676.0
129,2020-05-30,251.0,8927.0
130,2020-05-31,355.0,9282.0
131,2020-06-01,210.0,9492.0
132,2020-06-02,517.0,10009.0
133,2020-06-03,515.0,10524.0
