,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,4.0,4.0
5,2020-01-27,1.0,5.0
6,2020-01-28,0.0,5.0
7,2020-01-29,1.0,6.0
8,2020-01-30,3.0,9.0
9,2020-01-31,0.0,9.0
10,2020-02-01,3.0,12.0
11,2020-02-02,0.0,12.0
12,2020-02-03,0.0,12.0
13,2020-02-04,1.0,13.0
14,2020-02-05,0.0,13.0
15,2020-02-06,1.0,14.0
16,2020-02-07,1.0,15.0
17,2020-02-08,0.0,15.0
18,2020-02-09,0.0,15.0
19,2020-02-10,0.0,15.0
20,2020-02-11,0.0,15.0
21,2020-02-12,0.0,15.0
22,2020-02-13,0.0,15.0
23,2020-02-14,0.0,15.0
24,2020-02-15,0.0,15.0
25,2020-02-16,0.0,15.0
26,2020-02-17,0.0,15.0
27,2020-02-18,0.0,15.0
28,2020-02-19,0.0,15.0
29,2020-02-20,0.0,15.0
30,2020-02-21,0.0,15.0
31,2020-02-22,0.0,15.0
32,2020-02-23,0.0,15.0
33,2020-02-24,0.0,15.0
34,2020-02-25,0.0,15.0
35,2020-02-26,0.0,15.0
36,2020-02-27,0.0,15.0
37,2020-02-28,0.0,15.0
38,2020-02-29,10.0,25.0
39,2020-03-01,2.0,27.0
40,2020-03-02,3.0,30.0
41,2020-03-03,9.0,39.0
42,2020-03-04,13.0,52.0
43,2020-03-05,3.0,55.0
44,2020-03-06,5.0,60.0
45,2020-03-07,3.0,63.0
46,2020-03-08,13.0,76.0
47,2020-03-09,15.0,91.0
48,2020-03-10,16.0,107.0
49,2020-03-11,21.0,128.0
50,2020-03-12,0.0,128.0
51,2020-03-13,72.0,200.0
52,2020-03-14,50.0,250.0
53,2020-03-15,47.0,297.0
54,2020-03-16,80.0,377.0
55,2020-03-17,75.0,452.0
56,2020-03-18,116.0,568.0
57,2020-03-19,113.0,681.0
58,2020-03-20,110.0,791.0
59,2020-03-21,280.0,1071.0
60,2020-03-22,478.0,1549.0
61,2020-03-23,133.0,1682.0
62,2020-03-24,362.0,2044.0
63,2020-03-25,320.0,2364.0
64,2020-03-26,446.0,2810.0
65,2020-03-27,333.0,3143.0
66,2020-03-28,497.0,3640.0
67,2020-03-29,344.0,3984.0
68,2020-03-30,377.0,4361.0
69,2020-03-31,198.0,4559.0
70,2020-04-01,303.0,4862.0
71,2020-04-02,254.0,5116.0
72,2020-04-03,214.0,5330.0
73,2020-04-04,220.0,5550.0
74,2020-04-05,137.0,5687.0
75,2020-04-06,110.0,5797.0
76,2020-04-07,98.0,5895.0
77,2020-04-08,115.0,6010.0
78,2020-04-09,98.0,6108.0
79,2020-04-10,107.0,6215.0
80,2020-04-11,88.0,6303.0
81,2020-04-12,12.0,6315.0
82,2020-04-13,36.0,6351.0
83,2020-04-14,64.0,6415.0
84,2020-04-15,25.0,6440.0
85,2020-04-16,22.0,6462.0
86,2020-04-17,60.0,6522.0
87,2020-04-18,46.0,6568.0
88,2020-04-19,42.0,6610.0
89,2020-04-20,13.0,6623.0
90,2020-04-21,22.0,6645.0
91,2020-04-22,7.0,6652.0
92,2020-04-23,10.0,6662.0
93,2020-04-24,15.0,6677.0
94,2020-04-25,17.0,6694.0
95,2020-04-26,20.0,6714.0
96,2020-04-27,7.0,6721.0
97,2020-04-28,23.0,6744.0
98,2020-04-29,8.0,6752.0
99,2020-04-30,14.0,6766.0
100,2020-05-01,12.0,6778.0
101,2020-05-02,21.0,6799.0
102,2020-05-03,23.0,6822.0
103,2020-05-04,25.0,6847.0
104,2020-05-05,28.0,6875.0
105,2020-05-06,19.0,6894.0
106,2020-05-07,19.0,6913.0
107,2020-05-08,5.0,6918.0
108,2020-05-09,21.0,6939.0
109,2020-05-10,9.0,6948.0
110,2020-05-11,22.0,6970.0
111,2020-05-12,10.0,6980.0
112,2020-05-13,9.0,6989.0
113,2020-05-14,30.0,7019.0
114,2020-05-15,16.0,7035.0
115,2020-05-16,9.0,7044.0
116,2020-05-17,10.0,7054.0
117,2020-05-18,14.0,7068.0
118,2020-05-19,4.0,7072.0
119,2020-05-20,9.0,7081.0
120,2020-05-21,14.0,7095.0
121,2020-05-22,4.0,7099.0
122,2020-05-23,15.0,7114.0
123,2020-05-24,0.0,7114.0
124,2020-05-25,12.0,7126.0
125,2020-05-26,13.0,7139.0
126,2020-05-27,11.0,7150.0
127,2020-05-28,15.0,7165.0
128,2020-05-29,19.0,7184.0
129,2020-05-30,8.0,7192.0
130,2020-05-31,10.0,7202.0
131,2020-06-01,19.0,7221.0
132,2020-06-02,8.0,7229.0
