,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,3.0,3.0
40,2020-03-02,0.0,3.0
41,2020-03-03,0.0,3.0
42,2020-03-04,0.0,3.0
43,2020-03-05,3.0,6.0
44,2020-03-06,0.0,6.0
45,2020-03-07,3.0,9.0
46,2020-03-08,0.0,9.0
47,2020-03-09,0.0,9.0
48,2020-03-10,2.0,11.0
49,2020-03-11,0.0,11.0
50,2020-03-12,0.0,11.0
51,2020-03-13,4.0,15.0
52,2020-03-14,0.0,15.0
53,2020-03-15,8.0,23.0
54,2020-03-16,5.0,28.0
55,2020-03-17,0.0,28.0
56,2020-03-18,0.0,28.0
57,2020-03-19,16.0,44.0
58,2020-03-20,0.0,44.0
59,2020-03-21,9.0,53.0
60,2020-03-22,12.0,65.0
61,2020-03-23,7.0,72.0
62,2020-03-24,15.0,87.0
63,2020-03-25,6.0,93.0
64,2020-03-26,29.0,122.0
65,2020-03-27,43.0,165.0
66,2020-03-28,17.0,182.0
67,2020-03-29,27.0,209.0
68,2020-03-30,64.0,273.0
69,2020-03-31,25.0,298.0
70,2020-04-01,61.0,359.0
71,2020-04-02,41.0,400.0
72,2020-04-03,43.0,443.0
73,2020-04-04,78.0,521.0
74,2020-04-05,63.0,584.0
75,2020-04-06,57.0,641.0
76,2020-04-07,76.0,717.0
77,2020-04-08,105.0,822.0
78,2020-04-09,104.0,926.0
79,2020-04-10,65.0,991.0
80,2020-04-11,67.0,1058.0
81,2020-04-12,40.0,1098.0
82,2020-04-13,50.0,1148.0
83,2020-04-14,49.0,1197.0
84,2020-04-15,56.0,1253.0
85,2020-04-16,30.0,1283.0
86,2020-04-17,57.0,1340.0
87,2020-04-18,33.0,1373.0
88,2020-04-19,25.0,1398.0
89,2020-04-20,38.0,1436.0
90,2020-04-21,44.0,1480.0
91,2020-04-22,38.0,1518.0
92,2020-04-23,30.0,1548.0
93,2020-04-24,44.0,1592.0
94,2020-04-25,25.0,1617.0
95,2020-04-26,28.0,1645.0
96,2020-04-27,33.0,1678.0
97,2020-04-28,39.0,1717.0
98,2020-04-29,49.0,1766.0
99,2020-04-30,38.0,1804.0
100,2020-05-01,50.0,1854.0
101,2020-05-02,40.0,1894.0
102,2020-05-03,38.0,1932.0
103,2020-05-04,52.0,1984.0
104,2020-05-05,76.0,2060.0
105,2020-05-06,67.0,2127.0
106,2020-05-07,77.0,2204.0
107,2020-05-08,75.0,2279.0
108,2020-05-09,143.0,2422.0
109,2020-05-10,97.0,2519.0
110,2020-05-11,70.0,2589.0
111,2020-05-12,104.0,2693.0
112,2020-05-13,65.0,2758.0
113,2020-05-14,121.0,2879.0
114,2020-05-15,101.0,2980.0
115,2020-05-16,158.0,3138.0
116,2020-05-17,136.0,3274.0
117,2020-05-18,113.0,3387.0
118,2020-05-19,131.0,3518.0
119,2020-05-20,113.0,3631.0
120,2020-05-21,118.0,3749.0
121,2020-05-22,106.0,3855.0
122,2020-05-23,127.0,3982.0
123,2020-05-24,140.0,4122.0
124,2020-05-25,149.0,4271.0
125,2020-05-26,132.0,4403.0
126,2020-05-27,165.0,4568.0
127,2020-05-28,191.0,4759.0
128,2020-05-29,230.0,4989.0
129,2020-05-30,257.0,5246.0
130,2020-05-31,248.0,5494.0
131,2020-06-01,168.0,5662.0
132,2020-06-02,273.0,5935.0
133,2020-06-03,325.0,6260.0
