,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,3.0,3.0
47,2020-03-09,0.0,3.0
48,2020-03-10,0.0,3.0
49,2020-03-11,0.0,3.0
50,2020-03-12,0.0,3.0
51,2020-03-13,0.0,3.0
52,2020-03-14,0.0,3.0
53,2020-03-15,2.0,5.0
54,2020-03-16,3.0,8.0
55,2020-03-17,2.0,10.0
56,2020-03-18,4.0,14.0
57,2020-03-19,3.0,17.0
58,2020-03-20,3.0,20.0
59,2020-03-21,5.0,25.0
60,2020-03-22,2.0,27.0
61,2020-03-23,6.0,33.0
62,2020-03-24,6.0,39.0
63,2020-03-25,0.0,39.0
64,2020-03-26,5.0,44.0
65,2020-03-27,4.0,48.0
66,2020-03-28,0.0,48.0
67,2020-03-29,0.0,48.0
68,2020-03-30,1.0,49.0
69,2020-03-31,2.0,51.0
70,2020-04-01,3.0,54.0
71,2020-04-02,2.0,56.0
72,2020-04-03,5.0,61.0
73,2020-04-04,9.0,70.0
74,2020-04-05,18.0,88.0
75,2020-04-06,35.0,123.0
76,2020-04-07,41.0,164.0
77,2020-04-08,54.0,218.0
78,2020-04-09,112.0,330.0
79,2020-04-10,94.0,424.0
80,2020-04-11,58.0,482.0
81,2020-04-12,139.0,621.0
82,2020-04-13,182.0,803.0
83,2020-04-14,209.0,1012.0
84,2020-04-15,219.0,1231.0
85,2020-04-16,341.0,1572.0
86,2020-04-17,266.0,1838.0
87,2020-04-18,306.0,2144.0
88,2020-04-19,312.0,2456.0
89,2020-04-20,492.0,2948.0
90,2020-04-21,434.0,3382.0
91,2020-04-22,390.0,3772.0
92,2020-04-23,414.0,4186.0
93,2020-04-24,503.0,4689.0
94,2020-04-25,309.0,4998.0
95,2020-04-26,418.0,5416.0
96,2020-04-27,497.0,5913.0
97,2020-04-28,549.0,6462.0
98,2020-04-29,641.0,7103.0
99,2020-04-30,564.0,7667.0
100,2020-05-01,571.0,8238.0
101,2020-05-02,552.0,8790.0
102,2020-05-03,665.0,9455.0
103,2020-05-04,688.0,10143.0
104,2020-05-05,786.0,10929.0
105,2020-05-06,790.0,11719.0
106,2020-05-07,706.0,12425.0
107,2020-05-08,709.0,13134.0
108,2020-05-09,636.0,13770.0
109,2020-05-10,887.0,14657.0
110,2020-05-11,1034.0,15691.0
111,2020-05-12,969.0,16660.0
112,2020-05-13,1162.0,17822.0
113,2020-05-14,1041.0,18863.0
114,2020-05-15,1202.0,20065.0
115,2020-05-16,930.0,20995.0
116,2020-05-17,1273.0,22268.0
117,2020-05-18,1602.0,23870.0
118,2020-05-19,1251.0,25121.0
119,2020-05-20,1617.0,26738.0
120,2020-05-21,1773.0,28511.0
121,2020-05-22,1694.0,30205.0
122,2020-05-23,1873.0,32078.0
123,2020-05-24,1532.0,33610.0
124,2020-05-25,1975.0,35585.0
125,2020-05-26,1166.0,36751.0
126,2020-05-27,1541.0,38292.0
127,2020-05-28,2029.0,40321.0
128,2020-05-29,2523.0,42844.0
129,2020-05-30,1764.0,44608.0
130,2020-05-31,2545.0,47153.0
131,2020-06-01,2381.0,49534.0
132,2020-06-02,2911.0,52445.0
