,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,1.0,1.0
14,2020-02-05,0.0,1.0
15,2020-02-06,0.0,1.0
16,2020-02-07,0.0,1.0
17,2020-02-08,0.0,1.0
18,2020-02-09,0.0,1.0
19,2020-02-10,0.0,1.0
20,2020-02-11,0.0,1.0
21,2020-02-12,0.0,1.0
22,2020-02-13,0.0,1.0
23,2020-02-14,0.0,1.0
24,2020-02-15,0.0,1.0
25,2020-02-16,0.0,1.0
26,2020-02-17,0.0,1.0
27,2020-02-18,0.0,1.0
28,2020-02-19,0.0,1.0
29,2020-02-20,0.0,1.0
30,2020-02-21,0.0,1.0
31,2020-02-22,0.0,1.0
32,2020-02-23,0.0,1.0
33,2020-02-24,0.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,0.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,1.0,2.0
40,2020-03-02,6.0,8.0
41,2020-03-03,5.0,13.0
42,2020-03-04,10.0,23.0
43,2020-03-05,27.0,50.0
44,2020-03-06,59.0,109.0
45,2020-03-07,60.0,169.0
46,2020-03-08,31.0,200.0
47,2020-03-09,39.0,239.0
48,2020-03-10,28.0,267.0
49,2020-03-11,47.0,314.0
50,2020-03-12,0.0,314.0
51,2020-03-13,245.0,559.0
52,2020-03-14,130.0,689.0
53,2020-03-15,197.0,886.0
54,2020-03-16,172.0,1058.0
55,2020-03-17,185.0,1243.0
56,2020-03-18,243.0,1486.0
57,2020-03-19,309.0,1795.0
58,2020-03-20,462.0,2257.0
59,2020-03-21,558.0,2815.0
60,2020-03-22,586.0,3401.0
61,2020-03-23,342.0,3743.0
62,2020-03-24,526.0,4269.0
63,2020-03-25,668.0,4937.0
64,2020-03-26,1298.0,6235.0
65,2020-03-27,1049.0,7284.0
66,2020-03-28,1850.0,9134.0
67,2020-03-29,1702.0,10836.0
68,2020-03-30,1063.0,11899.0
69,2020-03-31,876.0,12775.0
70,2020-04-01,1189.0,13964.0
71,2020-04-02,1384.0,15348.0
72,2020-04-03,1422.0,16770.0
73,2020-04-04,1661.0,18431.0
74,2020-04-05,1260.0,19691.0
75,2020-04-06,1123.0,20814.0
76,2020-04-07,1380.0,22194.0
77,2020-04-08,1209.0,23403.0
78,2020-04-09,1580.0,24983.0
79,2020-04-10,1684.0,26667.0
80,2020-04-11,1351.0,28018.0
81,2020-04-12,1629.0,29647.0
82,2020-04-13,942.0,30589.0
83,2020-04-14,530.0,31119.0
84,2020-04-15,2454.0,33573.0
85,2020-04-16,1236.0,34809.0
86,2020-04-17,1329.0,36138.0
87,2020-04-18,1045.0,37183.0
88,2020-04-19,1313.0,38496.0
89,2020-04-20,1487.0,39983.0
90,2020-04-21,973.0,40956.0
91,2020-04-22,933.0,41889.0
92,2020-04-23,908.0,42797.0
93,2020-04-24,1496.0,44293.0
94,2020-04-25,1032.0,45325.0
95,2020-04-26,809.0,46134.0
96,2020-04-27,553.0,46687.0
97,2020-04-28,647.0,47334.0
98,2020-04-29,525.0,47859.0
99,2020-04-30,660.0,48519.0
100,2020-05-01,513.0,49032.0
101,2020-05-02,485.0,49517.0
102,2020-05-03,389.0,49906.0
103,2020-05-04,361.0,50267.0
104,2020-05-05,242.0,50509.0
105,2020-05-06,272.0,50781.0
106,2020-05-07,639.0,51420.0
107,2020-05-08,591.0,52011.0
108,2020-05-09,585.0,52596.0
109,2020-05-10,485.0,53081.0
110,2020-05-11,368.0,53449.0
111,2020-05-12,330.0,53779.0
112,2020-05-13,202.0,53981.0
113,2020-05-14,307.0,54288.0
114,2020-05-15,356.0,54644.0
115,2020-05-16,345.0,54989.0
116,2020-05-17,291.0,55280.0
117,2020-05-18,279.0,55559.0
118,2020-05-19,232.0,55791.0
119,2020-05-20,192.0,55983.0
120,2020-05-21,252.0,56235.0
121,2020-05-22,276.0,56511.0
122,2020-05-23,299.0,56810.0
123,2020-05-24,282.0,57092.0
124,2020-05-25,250.0,57342.0
125,2020-05-26,113.0,57455.0
126,2020-05-27,137.0,57592.0
127,2020-05-28,257.0,57849.0
128,2020-05-29,212.0,58061.0
129,2020-05-30,125.0,58186.0
130,2020-05-31,195.0,58381.0
131,2020-06-01,136.0,58517.0
