,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,2.0,2.0
50,2020-03-12,0.0,2.0
51,2020-03-13,1.0,3.0
52,2020-03-14,7.0,10.0
53,2020-03-15,0.0,10.0
54,2020-03-16,1.0,11.0
55,2020-03-17,0.0,11.0
56,2020-03-18,1.0,12.0
57,2020-03-19,0.0,12.0
58,2020-03-20,3.0,15.0
59,2020-03-21,4.0,19.0
60,2020-03-22,5.0,24.0
61,2020-03-23,3.0,27.0
62,2020-03-24,2.0,29.0
63,2020-03-25,3.0,32.0
64,2020-03-26,11.0,43.0
65,2020-03-27,18.0,61.0
66,2020-03-28,13.0,74.0
67,2020-03-29,7.0,81.0
68,2020-03-30,16.0,97.0
69,2020-03-31,10.0,107.0
70,2020-04-01,8.0,115.0
71,2020-04-02,8.0,123.0
72,2020-04-03,9.0,132.0
73,2020-04-04,7.0,139.0
74,2020-04-05,18.0,157.0
75,2020-04-06,26.0,183.0
76,2020-04-07,11.0,194.0
77,2020-04-08,16.0,210.0
78,2020-04-09,54.0,264.0
79,2020-04-10,4.0,268.0
80,2020-04-11,7.0,275.0
81,2020-04-12,25.0,300.0
82,2020-04-13,30.0,330.0
83,2020-04-14,24.0,354.0
84,2020-04-15,43.0,397.0
85,2020-04-16,44.0,441.0
86,2020-04-17,24.0,465.0
87,2020-04-18,28.0,493.0
88,2020-04-19,27.0,520.0
89,2020-04-20,44.0,564.0
90,2020-04-21,34.0,598.0
91,2020-04-22,11.0,609.0
92,2020-04-23,94.0,703.0
93,2020-04-24,104.0,807.0
94,2020-04-25,59.0,866.0
95,2020-04-26,84.0,950.0
96,2020-04-27,64.0,1014.0
97,2020-04-28,39.0,1053.0
98,2020-04-29,57.0,1110.0
99,2020-04-30,57.0,1167.0
100,2020-05-01,62.0,1229.0
101,2020-05-02,241.0,1470.0
102,2020-05-03,124.0,1594.0
103,2020-05-04,87.0,1681.0
104,2020-05-05,121.0,1802.0
105,2020-05-06,84.0,1886.0
106,2020-05-07,195.0,2081.0
107,2020-05-08,185.0,2266.0
108,2020-05-09,171.0,2437.0
109,2020-05-10,119.0,2556.0
110,2020-05-11,275.0,2831.0
111,2020-05-12,133.0,2964.0
112,2020-05-13,184.0,3148.0
113,2020-05-14,224.0,3372.0
114,2020-05-15,205.0,3577.0
115,2020-05-16,249.0,3826.0
116,2020-05-17,262.0,4088.0
117,2020-05-18,175.0,4263.0
118,2020-05-19,218.0,4481.0
119,2020-05-20,438.0,4919.0
120,2020-05-21,268.0,5187.0
121,2020-05-22,392.0,5579.0
122,2020-05-23,336.0,5915.0
123,2020-05-24,348.0,6263.0
124,2020-05-25,397.0,6660.0
125,2020-05-26,476.0,7136.0
126,2020-05-27,632.0,7768.0
127,2020-05-28,619.0,8387.0
128,2020-05-29,344.0,8731.0
129,2020-05-30,861.0,9592.0
130,2020-05-31,390.0,9982.0
131,2020-06-01,549.0,10531.0
132,2020-06-02,460.0,10991.0
133,2020-06-03,647.0,11638.0
134,2020-06-04,607.0,12245.0
