,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,4.0,4.0
47,2020-03-09,0.0,4.0
48,2020-03-10,0.0,4.0
49,2020-03-11,3.0,7.0
50,2020-03-12,0.0,7.0
51,2020-03-13,16.0,23.0
52,2020-03-14,18.0,41.0
53,2020-03-15,10.0,51.0
54,2020-03-16,1.0,52.0
55,2020-03-17,15.0,67.0
56,2020-03-18,25.0,92.0
57,2020-03-19,2.0,94.0
58,2020-03-20,33.0,127.0
59,2020-03-21,36.0,163.0
60,2020-03-22,24.0,187.0
61,2020-03-23,14.0,201.0
62,2020-03-24,17.0,218.0
63,2020-03-25,24.0,242.0
64,2020-03-26,22.0,264.0
65,2020-03-27,29.0,293.0
66,2020-03-28,38.0,331.0
67,2020-03-29,15.0,346.0
68,2020-03-30,13.0,359.0
69,2020-03-31,40.0,399.0
70,2020-04-01,23.0,422.0
71,2020-04-02,35.0,457.0
72,2020-04-03,28.0,485.0
73,2020-04-04,18.0,503.0
74,2020-04-05,28.0,531.0
75,2020-04-06,18.0,549.0
76,2020-04-07,28.0,577.0
77,2020-04-08,16.0,593.0
78,2020-04-09,25.0,618.0
79,2020-04-10,17.0,635.0
80,2020-04-11,26.0,661.0
81,2020-04-12,14.0,675.0
82,2020-04-13,10.0,685.0
83,2020-04-14,28.0,713.0
84,2020-04-15,34.0,747.0
85,2020-04-16,53.0,800.0
86,2020-04-17,46.0,846.0
87,2020-04-18,32.0,878.0
88,2020-04-19,16.0,894.0
89,2020-04-20,35.0,929.0
90,2020-04-21,46.0,975.0
91,2020-04-22,49.0,1024.0
92,2020-04-23,73.0,1097.0
93,2020-04-24,137.0,1234.0
94,2020-04-25,13.0,1247.0
95,2020-04-26,53.0,1300.0
96,2020-04-27,63.0,1363.0
97,2020-04-28,36.0,1399.0
98,2020-04-29,48.0,1447.0
99,2020-04-30,59.0,1506.0
100,2020-05-01,49.0,1555.0
101,2020-05-02,39.0,1594.0
102,2020-05-03,24.0,1618.0
103,2020-05-04,34.0,1652.0
104,2020-05-05,52.0,1704.0
105,2020-05-06,74.0,1778.0
106,2020-05-07,51.0,1829.0
107,2020-05-08,43.0,1872.0
108,2020-05-09,49.0,1921.0
109,2020-05-10,44.0,1965.0
110,2020-05-11,25.0,1990.0
111,2020-05-12,33.0,2023.0
112,2020-05-13,46.0,2069.0
113,2020-05-14,31.0,2100.0
114,2020-05-15,38.0,2138.0
115,2020-05-16,37.0,2175.0
116,2020-05-17,36.0,2211.0
117,2020-05-18,24.0,2235.0
118,2020-05-19,24.0,2259.0
119,2020-05-20,33.0,2292.0
120,2020-05-21,39.0,2331.0
121,2020-05-22,41.0,2372.0
122,2020-05-23,36.0,2408.0
123,2020-05-24,19.0,2427.0
124,2020-05-25,6.0,2433.0
125,2020-05-26,10.0,2443.0
126,2020-05-27,17.0,2460.0
127,2020-05-28,17.0,2477.0
128,2020-05-29,8.0,2485.0
129,2020-05-30,14.0,2499.0
130,2020-05-31,14.0,2513.0
131,2020-06-01,6.0,2519.0
132,2020-06-02,19.0,2538.0
133,2020-06-03,22.0,2560.0
134,2020-06-04,25.0,2585.0
