,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,1.0,1.0
5,2020-01-27,0.0,1.0
6,2020-01-28,1.0,2.0
7,2020-01-29,0.0,2.0
8,2020-01-30,0.0,2.0
9,2020-01-31,2.0,4.0
10,2020-02-01,0.0,4.0
11,2020-02-02,0.0,4.0
12,2020-02-03,0.0,4.0
13,2020-02-04,0.0,4.0
14,2020-02-05,1.0,5.0
15,2020-02-06,0.0,5.0
16,2020-02-07,2.0,7.0
17,2020-02-08,0.0,7.0
18,2020-02-09,0.0,7.0
19,2020-02-10,0.0,7.0
20,2020-02-11,0.0,7.0
21,2020-02-12,0.0,7.0
22,2020-02-13,0.0,7.0
23,2020-02-14,0.0,7.0
24,2020-02-15,0.0,7.0
25,2020-02-16,0.0,7.0
26,2020-02-17,1.0,8.0
27,2020-02-18,0.0,8.0
28,2020-02-19,0.0,8.0
29,2020-02-20,0.0,8.0
30,2020-02-21,1.0,9.0
31,2020-02-22,0.0,9.0
32,2020-02-23,0.0,9.0
33,2020-02-24,1.0,10.0
34,2020-02-25,1.0,11.0
35,2020-02-26,0.0,11.0
36,2020-02-27,2.0,13.0
37,2020-02-28,1.0,14.0
38,2020-02-29,6.0,20.0
39,2020-03-01,4.0,24.0
40,2020-03-02,3.0,27.0
41,2020-03-03,3.0,30.0
42,2020-03-04,3.0,33.0
43,2020-03-05,4.0,37.0
44,2020-03-06,12.0,49.0
45,2020-03-07,5.0,54.0
46,2020-03-08,10.0,64.0
47,2020-03-09,13.0,77.0
48,2020-03-10,2.0,79.0
49,2020-03-11,29.0,108.0
50,2020-03-12,9.0,117.0
51,2020-03-13,76.0,193.0
52,2020-03-14,5.0,198.0
53,2020-03-15,54.0,252.0
54,2020-03-16,163.0,415.0
55,2020-03-17,63.0,478.0
56,2020-03-18,179.0,657.0
57,2020-03-19,143.0,800.0
58,2020-03-20,143.0,943.0
59,2020-03-21,334.0,1277.0
60,2020-03-22,192.0,1469.0
61,2020-03-23,619.0,2088.0
62,2020-03-24,702.0,2790.0
63,2020-03-25,461.0,3251.0
64,2020-03-26,791.0,4042.0
65,2020-03-27,640.0,4682.0
66,2020-03-28,894.0,5576.0
67,2020-03-29,704.0,6280.0
68,2020-03-30,1118.0,7398.0
69,2020-03-31,1129.0,8527.0
70,2020-04-01,1033.0,9560.0
71,2020-04-02,1724.0,11284.0
72,2020-04-03,1153.0,12437.0
73,2020-04-04,541.0,12978.0
74,2020-04-05,2778.0,15756.0
75,2020-04-06,807.0,16563.0
76,2020-04-07,1309.0,17872.0
77,2020-04-08,1269.0,19141.0
78,2020-04-09,1513.0,20654.0
79,2020-04-10,1405.0,22059.0
80,2020-04-11,1257.0,23316.0
81,2020-04-12,983.0,24299.0
82,2020-04-13,1381.0,25680.0
83,2020-04-14,1355.0,27035.0
84,2020-04-15,1174.0,28209.0
85,2020-04-16,2600.0,30809.0
86,2020-04-17,2005.0,32814.0
87,2020-04-18,1542.0,34356.0
88,2020-04-19,1277.0,35633.0
89,2020-04-20,2025.0,37658.0
90,2020-04-21,1744.0,39402.0
91,2020-04-22,2261.0,41663.0
92,2020-04-23,1636.0,43299.0
93,2020-04-24,1620.0,44919.0
94,2020-04-25,1452.0,46371.0
95,2020-04-26,1662.0,48033.0
96,2020-04-27,1583.0,49616.0
97,2020-04-28,1534.0,51150.0
98,2020-04-29,1715.0,52865.0
99,2020-04-30,1592.0,54457.0
100,2020-05-01,1886.0,56343.0
101,2020-05-02,1583.0,57926.0
102,2020-05-03,2578.0,60504.0
103,2020-05-04,1453.0,61957.0
104,2020-05-05,1258.0,63215.0
105,2020-05-06,1479.0,64694.0
106,2020-05-07,1507.0,66201.0
107,2020-05-08,1473.0,67674.0
108,2020-05-09,1244.0,68918.0
109,2020-05-10,1173.0,70091.0
110,2020-05-11,1173.0,71264.0
111,2020-05-12,1155.0,72419.0
112,2020-05-13,1149.0,73568.0
113,2020-05-14,1213.0,74781.0
114,2020-05-15,1178.0,75959.0
115,2020-05-16,1247.0,77206.0
116,2020-05-17,1126.0,78332.0
117,2020-05-18,1079.0,79411.0
118,2020-05-19,1082.0,80493.0
119,2020-05-20,1082.0,81575.0
120,2020-05-21,1167.0,82742.0
121,2020-05-22,1205.0,83947.0
122,2020-05-23,1204.0,85151.0
123,2020-05-24,955.0,86106.0
124,2020-05-25,1013.0,87119.0
125,2020-05-26,971.0,88090.0
126,2020-05-27,899.0,88989.0
127,2020-05-28,987.0,89976.0
128,2020-05-29,933.0,90909.0
129,2020-05-30,772.0,91681.0
