,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,2.0,2.0
33,2020-02-24,0.0,2.0
34,2020-02-25,0.0,2.0
35,2020-02-26,0.0,2.0
36,2020-02-27,0.0,2.0
37,2020-02-28,0.0,2.0
38,2020-02-29,0.0,2.0
39,2020-03-01,7.0,9.0
40,2020-03-02,0.0,9.0
41,2020-03-03,1.0,10.0
42,2020-03-04,0.0,10.0
43,2020-03-05,3.0,13.0
44,2020-03-06,0.0,13.0
45,2020-03-07,0.0,13.0
46,2020-03-08,7.0,20.0
47,2020-03-09,0.0,20.0
48,2020-03-10,5.0,25.0
49,2020-03-11,10.0,35.0
50,2020-03-12,0.0,35.0
51,2020-03-13,20.0,55.0
52,2020-03-14,33.0,88.0
53,2020-03-15,13.0,101.0
54,2020-03-16,81.0,182.0
55,2020-03-17,46.0,228.0
56,2020-03-18,37.0,265.0
57,2020-03-19,0.0,265.0
58,2020-03-20,196.0,461.0
59,2020-03-21,131.0,592.0
60,2020-03-22,95.0,687.0
61,2020-03-23,114.0,801.0
62,2020-03-24,176.0,977.0
63,2020-03-25,220.0,1197.0
64,2020-03-26,164.0,1361.0
65,2020-03-27,304.0,1665.0
66,2020-03-28,350.0,2015.0
67,2020-03-29,230.0,2245.0
68,2020-03-30,310.0,2555.0
69,2020-03-31,289.0,2844.0
70,2020-04-01,293.0,3137.0
71,2020-04-02,373.0,3510.0
72,2020-04-03,333.0,3843.0
73,2020-04-04,512.0,4355.0
74,2020-04-05,310.0,4665.0
75,2020-04-06,344.0,5009.0
76,2020-04-07,301.0,5310.0
77,2020-04-08,430.0,5740.0
78,2020-04-09,426.0,6166.0
79,2020-04-10,529.0,6695.0
80,2020-04-11,671.0,7366.0
81,2020-04-12,286.0,7652.0
82,2020-04-13,312.0,7964.0
83,2020-04-14,392.0,8356.0
84,2020-04-15,356.0,8712.0
85,2020-04-16,534.0,9246.0
86,2020-04-17,445.0,9691.0
87,2020-04-18,907.0,10598.0
88,2020-04-19,358.0,10956.0
89,2020-04-20,419.0,11375.0
90,2020-04-21,325.0,11700.0
91,2020-04-22,464.0,12164.0
92,2020-04-23,516.0,12680.0
93,2020-04-24,494.0,13174.0
94,2020-04-25,1363.0,14537.0
95,2020-04-26,473.0,15010.0
96,2020-04-27,482.0,15492.0
97,2020-04-28,552.0,16044.0
98,2020-04-29,520.0,16564.0
99,2020-04-30,1138.0,17702.0
100,2020-05-01,985.0,18687.0
101,2020-05-02,2526.0,21213.0
102,2020-05-03,1228.0,22441.0
103,2020-05-04,980.0,23421.0
104,2020-05-05,1373.0,24794.0
105,2020-05-06,1032.0,25826.0
106,2020-05-07,1533.0,27359.0
107,2020-05-08,1391.0,28750.0
108,2020-05-09,3458.0,32208.0
109,2020-05-10,1647.0,33855.0
110,2020-05-11,1197.0,35052.0
111,2020-05-12,1658.0,36710.0
112,2020-05-13,2660.0,39370.0
113,2020-05-14,2659.0,42029.0
114,2020-05-15,2502.0,44531.0
115,2020-05-16,5485.0,50016.0
116,2020-05-17,2353.0,52369.0
117,2020-05-18,2278.0,54647.0
118,2020-05-19,3520.0,58167.0
119,2020-05-20,4038.0,62205.0
120,2020-05-21,3964.0,66169.0
121,2020-05-22,4276.0,70445.0
122,2020-05-23,9842.0,80287.0
123,2020-05-24,3709.0,83996.0
124,2020-05-25,4895.0,88891.0
125,2020-05-26,3964.0,92855.0
126,2020-05-27,4328.0,97183.0
127,2020-05-28,4654.0,101837.0
128,2020-05-29,3695.0,105532.0
129,2020-05-30,13188.0,118720.0
130,2020-05-31,4830.0,123550.0
131,2020-06-01,5470.0,129020.0
