,dates,cases,cumul
0,2020-01-22,548.0,548.0
1,2020-01-23,95.0,643.0
2,2020-01-24,277.0,920.0
3,2020-01-25,486.0,1406.0
4,2020-01-26,669.0,2075.0
5,2020-01-27,802.0,2877.0
6,2020-01-28,2632.0,5509.0
7,2020-01-29,578.0,6087.0
8,2020-01-30,2054.0,8141.0
9,2020-01-31,1661.0,9802.0
10,2020-02-01,2089.0,11891.0
11,2020-02-02,4739.0,16630.0
12,2020-02-03,3086.0,19716.0
13,2020-02-04,3991.0,23707.0
14,2020-02-05,3733.0,27440.0
15,2020-02-06,3147.0,30587.0
16,2020-02-07,3523.0,34110.0
17,2020-02-08,2704.0,36814.0
18,2020-02-09,3015.0,39829.0
19,2020-02-10,2525.0,42354.0
20,2020-02-11,2032.0,44386.0
21,2020-02-12,373.0,44759.0
22,2020-02-13,15136.0,59895.0
23,2020-02-14,6463.0,66358.0
24,2020-02-15,2055.0,68413.0
25,2020-02-16,2100.0,70513.0
26,2020-02-17,1921.0,72434.0
27,2020-02-18,1777.0,74211.0
28,2020-02-19,408.0,74619.0
29,2020-02-20,458.0,75077.0
30,2020-02-21,473.0,75550.0
31,2020-02-22,1451.0,77001.0
32,2020-02-23,21.0,77022.0
33,2020-02-24,219.0,77241.0
34,2020-02-25,513.0,77754.0
35,2020-02-26,412.0,78166.0
36,2020-02-27,434.0,78600.0
37,2020-02-28,328.0,78928.0
38,2020-02-29,428.0,79356.0
39,2020-03-01,576.0,79932.0
40,2020-03-02,204.0,80136.0
41,2020-03-03,125.0,80261.0
42,2020-03-04,125.0,80386.0
43,2020-03-05,151.0,80537.0
44,2020-03-06,153.0,80690.0
45,2020-03-07,80.0,80770.0
46,2020-03-08,53.0,80823.0
47,2020-03-09,37.0,80860.0
48,2020-03-10,27.0,80887.0
49,2020-03-11,34.0,80921.0
50,2020-03-12,11.0,80932.0
51,2020-03-13,13.0,80945.0
52,2020-03-14,32.0,80977.0
53,2020-03-15,26.0,81003.0
54,2020-03-16,30.0,81033.0
55,2020-03-17,25.0,81058.0
56,2020-03-18,44.0,81102.0
57,2020-03-19,54.0,81156.0
58,2020-03-20,94.0,81250.0
59,2020-03-21,55.0,81305.0
60,2020-03-22,130.0,81435.0
61,2020-03-23,63.0,81498.0
62,2020-03-24,93.0,81591.0
63,2020-03-25,70.0,81661.0
64,2020-03-26,121.0,81782.0
65,2020-03-27,115.0,81897.0
66,2020-03-28,102.0,81999.0
67,2020-03-29,123.0,82122.0
68,2020-03-30,76.0,82198.0
69,2020-03-31,81.0,82279.0
70,2020-04-01,82.0,82361.0
71,2020-04-02,71.0,82432.0
72,2020-04-03,79.0,82511.0
73,2020-04-04,32.0,82543.0
74,2020-04-05,59.0,82602.0
75,2020-04-06,63.0,82665.0
76,2020-04-07,53.0,82718.0
77,2020-04-08,91.0,82809.0
78,2020-04-09,74.0,82883.0
79,2020-04-10,58.0,82941.0
80,2020-04-11,73.0,83014.0
81,2020-04-12,120.0,83134.0
82,2020-04-13,79.0,83213.0
83,2020-04-14,93.0,83306.0
84,2020-04-15,50.0,83356.0
85,2020-04-16,47.0,83403.0
86,2020-04-17,357.0,83760.0
87,2020-04-18,27.0,83787.0
88,2020-04-19,18.0,83805.0
89,2020-04-20,12.0,83817.0
90,2020-04-21,36.0,83853.0
91,2020-04-22,15.0,83868.0
92,2020-04-23,16.0,83884.0
93,2020-04-24,15.0,83899.0
94,2020-04-25,10.0,83909.0
95,2020-04-26,3.0,83912.0
96,2020-04-27,6.0,83918.0
97,2020-04-28,22.0,83940.0
98,2020-04-29,4.0,83944.0
99,2020-04-30,12.0,83956.0
100,2020-05-01,3.0,83959.0
101,2020-05-02,0.0,83959.0
102,2020-05-03,5.0,83964.0
103,2020-05-04,2.0,83966.0
104,2020-05-05,2.0,83968.0
105,2020-05-06,2.0,83970.0
106,2020-05-07,5.0,83975.0
107,2020-05-08,1.0,83976.0
108,2020-05-09,14.0,83990.0
109,2020-05-10,20.0,84010.0
110,2020-05-11,1.0,84011.0
111,2020-05-12,7.0,84018.0
112,2020-05-13,6.0,84024.0
113,2020-05-14,5.0,84029.0
114,2020-05-15,9.0,84038.0
115,2020-05-16,6.0,84044.0
116,2020-05-17,10.0,84054.0
117,2020-05-18,9.0,84063.0
118,2020-05-19,0.0,84063.0
119,2020-05-20,0.0,84063.0
120,2020-05-21,0.0,84063.0
121,2020-05-22,18.0,84081.0
122,2020-05-23,3.0,84084.0
123,2020-05-24,11.0,84095.0
124,2020-05-25,7.0,84102.0
125,2020-05-26,1.0,84103.0
126,2020-05-27,3.0,84106.0
127,2020-05-28,0.0,84106.0
128,2020-05-29,17.0,84123.0
129,2020-05-30,5.0,84128.0
130,2020-05-31,18.0,84146.0
131,2020-06-01,8.0,84154.0
132,2020-06-02,7.0,84161.0
133,2020-06-03,-1.0,84160.0
134,2020-06-04,11.0,84171.0
135,2020-06-05,6.0,84177.0
136,2020-06-06,9.0,84186.0
137,2020-06-07,5.0,84191.0
138,2020-06-08,4.0,84195.0
139,2020-06-09,3.0,84198.0
140,2020-06-10,11.0,84209.0
141,2020-06-11,7.0,84216.0
142,2020-06-12,12.0,84228.0
143,2020-06-13,58.0,84286.0
144,2020-06-14,49.0,84335.0
145,2020-06-15,43.0,84378.0
146,2020-06-16,44.0,84422.0
147,2020-06-17,36.0,84458.0
148,2020-06-18,36.0,84494.0
149,2020-06-19,0.0,84494.0
150,2020-06-20,59.0,84553.0
151,2020-06-21,19.0,84572.0
152,2020-06-22,52.0,84624.0
153,2020-06-23,29.0,84653.0
154,2020-06-24,20.0,84673.0
155,2020-06-25,28.0,84701.0
156,2020-06-26,24.0,84725.0
157,2020-06-27,18.0,84743.0
158,2020-06-28,14.0,84757.0
159,2020-06-29,23.0,84780.0
160,2020-06-30,5.0,84785.0
161,2020-07-01,31.0,84816.0
162,2020-07-02,14.0,84830.0
163,2020-07-03,8.0,84838.0
164,2020-07-04,19.0,84857.0
165,2020-07-05,14.0,84871.0
166,2020-07-06,18.0,84889.0
167,2020-07-07,28.0,84917.0
168,2020-07-08,33.0,84950.0
169,2020-07-09,42.0,84992.0
170,2020-07-10,0.0,84992.0
171,2020-07-11,79.0,85071.0
172,2020-07-12,46.0,85117.0
173,2020-07-13,0.0,85117.0
174,2020-07-14,109.0,85226.0
175,2020-07-15,20.0,85246.0
176,2020-07-16,81.0,85327.0
177,2020-07-17,75.0,85402.0
178,2020-07-18,16.0,85418.0
179,2020-07-19,85.0,85503.0
180,2020-07-20,119.0,85622.0
181,2020-07-21,86.0,85708.0
182,2020-07-22,198.0,85906.0
183,2020-07-23,139.0,86045.0
184,2020-07-24,157.0,86202.0
185,2020-07-25,179.0,86381.0
186,2020-07-26,189.0,86570.0
187,2020-07-27,213.0,86783.0
188,2020-07-28,207.0,86990.0
189,2020-07-29,223.0,87213.0
190,2020-07-30,276.0,87489.0
191,2020-07-31,166.0,87655.0
192,2020-08-01,172.0,87827.0
193,2020-08-02,158.0,87985.0
194,2020-08-03,114.0,88099.0
195,2020-08-04,107.0,88206.0
196,2020-08-05,122.0,88328.0
197,2020-08-06,132.0,88460.0
