,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,1.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,0.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,2.0,3.0
49,2020-03-11,6.0,9.0
50,2020-03-12,0.0,9.0
51,2020-03-13,4.0,13.0
52,2020-03-14,9.0,22.0
53,2020-03-15,12.0,34.0
54,2020-03-16,23.0,57.0
55,2020-03-17,18.0,75.0
56,2020-03-18,27.0,102.0
57,2020-03-19,6.0,108.0
58,2020-03-20,50.0,158.0
59,2020-03-21,38.0,196.0
60,2020-03-22,35.0,231.0
61,2020-03-23,46.0,277.0
62,2020-03-24,101.0,378.0
63,2020-03-25,92.0,470.0
64,2020-03-26,21.0,491.0
65,2020-03-27,48.0,539.0
66,2020-03-28,69.0,608.0
67,2020-03-29,94.0,702.0
68,2020-03-30,96.0,798.0
69,2020-03-31,108.0,906.0
70,2020-04-01,159.0,1065.0
71,2020-04-02,96.0,1161.0
72,2020-04-03,106.0,1267.0
73,2020-04-04,139.0,1406.0
74,2020-04-05,79.0,1485.0
75,2020-04-06,94.0,1579.0
76,2020-04-07,201.0,1780.0
77,2020-04-08,274.0,2054.0
78,2020-04-09,169.0,2223.0
79,2020-04-10,250.0,2473.0
80,2020-04-11,236.0,2709.0
81,2020-04-12,67.0,2776.0
82,2020-04-13,76.0,2852.0
83,2020-04-14,127.0,2979.0
84,2020-04-15,126.0,3105.0
85,2020-04-16,128.0,3233.0
86,2020-04-17,206.0,3439.0
87,2020-04-18,182.0,3621.0
88,2020-04-19,171.0,3792.0
89,2020-04-20,185.0,3977.0
90,2020-04-21,172.0,4149.0
91,2020-04-22,207.0,4356.0
92,2020-04-23,205.0,4561.0
93,2020-04-24,320.0,4881.0
94,2020-04-25,261.0,5142.0
95,2020-04-26,237.0,5379.0
96,2020-04-27,218.0,5597.0
97,2020-04-28,352.0,5949.0
98,2020-04-29,258.0,6207.0
99,2020-04-30,300.0,6507.0
100,2020-05-01,499.0,7006.0
101,2020-05-02,279.0,7285.0
102,2020-05-03,383.0,7668.0
103,2020-05-04,305.0,7973.0
104,2020-05-05,640.0,8613.0
105,2020-05-06,346.0,8959.0
106,2020-05-07,497.0,9456.0
107,2020-05-08,595.0,10051.0
108,2020-05-09,444.0,10495.0
109,2020-05-10,568.0,11063.0
110,2020-05-11,550.0,11613.0
111,2020-05-12,659.0,12272.0
112,2020-05-13,658.0,12930.0
113,2020-05-14,680.0,13610.0
114,2020-05-15,606.0,14216.0
115,2020-05-16,723.0,14939.0
116,2020-05-17,635.0,15574.0
117,2020-05-18,721.0,16295.0
118,2020-05-19,640.0,16935.0
119,2020-05-20,752.0,17687.0
120,2020-05-21,643.0,18330.0
121,2020-05-22,801.0,19131.0
122,2020-05-23,1046.0,20177.0
123,2020-05-24,998.0,21175.0
124,2020-05-25,806.0,21981.0
125,2020-05-26,1022.0,23003.0
126,2020-05-27,1101.0,24104.0
127,2020-05-28,1262.0,25366.0
128,2020-05-29,1322.0,26688.0
129,2020-05-30,1548.0,28236.0
130,2020-05-31,1147.0,29383.0
131,2020-06-01,1110.0,30493.0
132,2020-06-02,1340.0,31833.0
