,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,1.0,1.0
35,2020-02-26,2.0,3.0
36,2020-02-27,0.0,3.0
37,2020-02-28,2.0,5.0
38,2020-02-29,1.0,6.0
39,2020-03-01,1.0,7.0
40,2020-03-02,0.0,7.0
41,2020-03-03,2.0,9.0
42,2020-03-04,1.0,10.0
43,2020-03-05,0.0,10.0
44,2020-03-06,1.0,11.0
45,2020-03-07,1.0,12.0
46,2020-03-08,0.0,12.0
47,2020-03-09,0.0,12.0
48,2020-03-10,2.0,14.0
49,2020-03-11,5.0,19.0
50,2020-03-12,0.0,19.0
51,2020-03-13,13.0,32.0
52,2020-03-14,6.0,38.0
53,2020-03-15,11.0,49.0
54,2020-03-16,8.0,57.0
55,2020-03-17,8.0,65.0
56,2020-03-18,16.0,81.0
57,2020-03-19,24.0,105.0
58,2020-03-20,23.0,128.0
59,2020-03-21,78.0,206.0
60,2020-03-22,48.0,254.0
61,2020-03-23,61.0,315.0
62,2020-03-24,67.0,382.0
63,2020-03-25,60.0,442.0
64,2020-03-26,53.0,495.0
65,2020-03-27,91.0,586.0
66,2020-03-28,71.0,657.0
67,2020-03-29,56.0,713.0
68,2020-03-30,77.0,790.0
69,2020-03-31,77.0,867.0
70,2020-04-01,96.0,963.0
71,2020-04-02,48.0,1011.0
72,2020-04-03,68.0,1079.0
73,2020-04-04,47.0,1126.0
74,2020-04-05,56.0,1182.0
75,2020-04-06,40.0,1222.0
76,2020-04-07,60.0,1282.0
77,2020-04-08,61.0,1343.0
78,2020-04-09,64.0,1407.0
79,2020-04-10,88.0,1495.0
80,2020-04-11,39.0,1534.0
81,2020-04-12,66.0,1600.0
82,2020-04-13,50.0,1650.0
83,2020-04-14,54.0,1704.0
84,2020-04-15,37.0,1741.0
85,2020-04-16,50.0,1791.0
86,2020-04-17,23.0,1814.0
87,2020-04-18,18.0,1832.0
88,2020-04-19,39.0,1871.0
89,2020-04-20,10.0,1881.0
90,2020-04-21,27.0,1908.0
91,2020-04-22,42.0,1950.0
92,2020-04-23,31.0,1981.0
93,2020-04-24,28.0,2009.0
94,2020-04-25,7.0,2016.0
95,2020-04-26,14.0,2030.0
96,2020-04-27,9.0,2039.0
97,2020-04-28,8.0,2047.0
98,2020-04-29,15.0,2062.0
99,2020-04-30,14.0,2076.0
100,2020-05-01,9.0,2085.0
101,2020-05-02,3.0,2088.0
102,2020-05-03,8.0,2096.0
103,2020-05-04,5.0,2101.0
104,2020-05-05,11.0,2112.0
105,2020-05-06,7.0,2119.0
106,2020-05-07,6.0,2125.0
107,2020-05-08,36.0,2161.0
108,2020-05-09,15.0,2176.0
109,2020-05-10,11.0,2187.0
110,2020-05-11,9.0,2196.0
111,2020-05-12,11.0,2207.0
112,2020-05-13,6.0,2213.0
113,2020-05-14,8.0,2221.0
114,2020-05-15,1.0,2222.0
115,2020-05-16,2.0,2224.0
116,2020-05-17,2.0,2226.0
117,2020-05-18,2.0,2228.0
118,2020-05-19,4.0,2232.0
119,2020-05-20,2.0,2234.0
120,2020-05-21,3.0,2237.0
121,2020-05-22,6.0,2243.0
122,2020-05-23,0.0,2243.0
123,2020-05-24,1.0,2244.0
124,2020-05-25,0.0,2244.0
125,2020-05-26,0.0,2244.0
126,2020-05-27,0.0,2244.0
127,2020-05-28,1.0,2245.0
128,2020-05-29,0.0,2245.0
129,2020-05-30,1.0,2246.0
130,2020-05-31,0.0,2246.0
131,2020-06-01,0.0,2246.0
132,2020-06-02,0.0,2246.0
133,2020-06-03,0.0,2246.0
