,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,1.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,2.0,3.0
39,2020-03-01,1.0,4.0
40,2020-03-02,0.0,4.0
41,2020-03-03,2.0,6.0
42,2020-03-04,5.0,11.0
43,2020-03-05,0.0,11.0
44,2020-03-06,13.0,24.0
45,2020-03-07,0.0,24.0
46,2020-03-08,13.0,37.0
47,2020-03-09,55.0,92.0
48,2020-03-10,172.0,264.0
49,2020-03-11,180.0,444.0
50,2020-03-12,173.0,617.0
51,2020-03-13,187.0,804.0
52,2020-03-14,32.0,836.0
53,2020-03-15,39.0,875.0
54,2020-03-16,58.0,933.0
55,2020-03-17,92.0,1025.0
56,2020-03-18,91.0,1116.0
57,2020-03-19,109.0,1225.0
58,2020-03-20,112.0,1337.0
59,2020-03-21,83.0,1420.0
60,2020-03-22,94.0,1514.0
61,2020-03-23,58.0,1572.0
62,2020-03-24,146.0,1718.0
63,2020-03-25,144.0,1862.0
64,2020-03-26,161.0,2023.0
65,2020-03-27,177.0,2200.0
66,2020-03-28,166.0,2366.0
67,2020-03-29,198.0,2564.0
68,2020-03-30,191.0,2755.0
69,2020-03-31,284.0,3039.0
70,2020-04-01,251.0,3290.0
71,2020-04-02,283.0,3573.0
72,2020-04-03,373.0,3946.0
73,2020-04-04,323.0,4269.0
74,2020-04-05,292.0,4561.0
75,2020-04-06,314.0,4875.0
76,2020-04-07,391.0,5266.0
77,2020-04-08,331.0,5597.0
78,2020-04-09,233.0,5830.0
79,2020-04-10,184.0,6014.0
80,2020-04-11,177.0,6191.0
81,2020-04-12,178.0,6369.0
82,2020-04-13,144.0,6513.0
83,2020-04-14,193.0,6706.0
84,2020-04-15,170.0,6876.0
85,2020-04-16,198.0,7074.0
86,2020-04-17,194.0,7268.0
87,2020-04-18,169.0,7437.0
88,2020-04-19,143.0,7580.0
89,2020-04-20,131.0,7711.0
90,2020-04-21,180.0,7891.0
91,2020-04-22,217.0,8108.0
92,2020-04-23,163.0,8271.0
93,2020-04-24,137.0,8408.0
94,2020-04-25,235.0,8643.0
95,2020-04-26,130.0,8773.0
96,2020-04-27,123.0,8896.0
97,2020-04-28,153.0,9049.0
98,2020-04-29,157.0,9206.0
99,2020-04-30,150.0,9356.0
100,2020-05-01,153.0,9509.0
101,2020-05-02,96.0,9605.0
102,2020-05-03,116.0,9721.0
103,2020-05-04,147.0,9868.0
104,2020-05-05,151.0,10019.0
105,2020-05-06,117.0,10136.0
106,2020-05-07,145.0,10281.0
107,2020-05-08,135.0,10416.0
108,2020-05-09,101.0,10517.0
109,2020-05-10,110.0,10627.0
110,2020-05-11,84.0,10711.0
111,2020-05-12,78.0,10789.0
112,2020-05-13,76.0,10865.0
113,2020-05-14,46.0,10911.0
114,2020-05-15,78.0,10989.0
115,2020-05-16,67.0,11056.0
116,2020-05-17,69.0,11125.0
117,2020-05-18,41.0,11166.0
118,2020-05-19,76.0,11242.0
119,2020-05-20,73.0,11315.0
120,2020-05-21,65.0,11380.0
121,2020-05-22,48.0,11428.0
122,2020-05-23,59.0,11487.0
123,2020-05-24,72.0,11559.0
124,2020-05-25,27.0,11586.0
125,2020-05-26,41.0,11627.0
126,2020-05-27,53.0,11680.0
127,2020-05-28,32.0,11712.0
128,2020-05-29,81.0,11793.0
129,2020-05-30,40.0,11833.0
130,2020-05-31,36.0,11869.0
131,2020-06-01,30.0,11899.0
132,2020-06-02,35.0,11934.0
