,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,6.0,6.0
40,2020-03-02,0.0,6.0
41,2020-03-03,1.0,7.0
42,2020-03-04,3.0,10.0
43,2020-03-05,3.0,13.0
44,2020-03-06,0.0,13.0
45,2020-03-07,0.0,13.0
46,2020-03-08,1.0,14.0
47,2020-03-09,1.0,15.0
48,2020-03-10,0.0,15.0
49,2020-03-11,2.0,17.0
50,2020-03-12,0.0,17.0
51,2020-03-13,0.0,17.0
52,2020-03-14,11.0,28.0
53,2020-03-15,0.0,28.0
54,2020-03-16,9.0,37.0
55,2020-03-17,21.0,58.0
56,2020-03-18,53.0,111.0
57,2020-03-19,88.0,199.0
58,2020-03-20,168.0,367.0
59,2020-03-21,139.0,506.0
60,2020-03-22,283.0,789.0
61,2020-03-23,192.0,981.0
62,2020-03-24,101.0,1082.0
63,2020-03-25,91.0,1173.0
64,2020-03-26,230.0,1403.0
65,2020-03-27,192.0,1595.0
66,2020-03-28,228.0,1823.0
67,2020-03-29,101.0,1924.0
68,2020-03-30,38.0,1962.0
69,2020-03-31,278.0,2240.0
70,2020-04-01,508.0,2748.0
71,2020-04-02,415.0,3163.0
72,2020-04-03,205.0,3368.0
73,2020-04-04,97.0,3465.0
74,2020-04-05,181.0,3646.0
75,2020-04-06,101.0,3747.0
76,2020-04-07,0.0,3747.0
77,2020-04-08,703.0,4450.0
78,2020-04-09,515.0,4965.0
79,2020-04-10,2196.0,7161.0
80,2020-04-11,96.0,7257.0
81,2020-04-12,209.0,7466.0
82,2020-04-13,63.0,7529.0
83,2020-04-14,74.0,7603.0
84,2020-04-15,255.0,7858.0
85,2020-04-16,367.0,8225.0
86,2020-04-17,225.0,8450.0
87,2020-04-18,572.0,9022.0
88,2020-04-19,446.0,9468.0
89,2020-04-20,660.0,10128.0
90,2020-04-21,270.0,10398.0
91,2020-04-22,452.0,10850.0
92,2020-04-23,333.0,11183.0
93,2020-04-24,11536.0,22719.0
94,2020-04-25,0.0,22719.0
95,2020-04-26,0.0,22719.0
96,2020-04-27,521.0,23240.0
97,2020-04-28,1018.0,24258.0
98,2020-04-29,417.0,24675.0
99,2020-04-30,259.0,24934.0
100,2020-05-01,1402.0,26336.0
101,2020-05-02,1128.0,27464.0
102,2020-05-03,2074.0,29538.0
103,2020-05-04,2343.0,31881.0
104,2020-05-05,0.0,31881.0
105,2020-05-06,0.0,31881.0
106,2020-05-07,-1583.0,30298.0
107,2020-05-08,-1480.0,28818.0
108,2020-05-09,253.0,29071.0
109,2020-05-10,488.0,29559.0
110,2020-05-11,-50.0,29509.0
111,2020-05-12,910.0,30419.0
112,2020-05-13,67.0,30486.0
113,2020-05-14,16.0,30502.0
114,2020-05-15,965.0,31467.0
115,2020-05-16,1296.0,32763.0
116,2020-05-17,419.0,33182.0
117,2020-05-18,400.0,33582.0
118,2020-05-19,569.0,34151.0
119,2020-05-20,703.0,34854.0
120,2020-05-21,452.0,35306.0
121,2020-05-22,522.0,35828.0
122,2020-05-23,430.0,36258.0
123,2020-05-24,498.0,36756.0
124,2020-05-25,599.0,37355.0
125,2020-05-26,0.0,37355.0
126,2020-05-27,748.0,38103.0
127,2020-05-28,368.0,38471.0
128,2020-05-29,100.0,38571.0
129,2020-05-30,0.0,38571.0
130,2020-05-31,527.0,39098.0
131,2020-06-01,0.0,39098.0
132,2020-06-02,1316.0,40414.0
