,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,1.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,1.0,2.0
42,2020-03-04,0.0,2.0
43,2020-03-05,1.0,3.0
44,2020-03-06,7.0,10.0
45,2020-03-07,0.0,10.0
46,2020-03-08,0.0,10.0
47,2020-03-09,0.0,10.0
48,2020-03-10,2.0,12.0
49,2020-03-11,4.0,16.0
50,2020-03-12,0.0,16.0
51,2020-03-13,63.0,79.0
52,2020-03-14,36.0,115.0
53,2020-03-15,56.0,171.0
54,2020-03-16,34.0,205.0
55,2020-03-17,20.0,225.0
56,2020-03-18,33.0,258.0
57,2020-03-19,9.0,267.0
58,2020-03-20,16.0,283.0
59,2020-03-21,23.0,306.0
60,2020-03-22,20.0,326.0
61,2020-03-23,26.0,352.0
62,2020-03-24,17.0,369.0
63,2020-03-25,35.0,404.0
64,2020-03-26,134.0,538.0
65,2020-03-27,37.0,575.0
66,2020-03-28,70.0,645.0
67,2020-03-29,34.0,679.0
68,2020-03-30,36.0,715.0
69,2020-03-31,30.0,745.0
70,2020-04-01,34.0,779.0
71,2020-04-02,79.0,858.0
72,2020-04-03,103.0,961.0
73,2020-04-04,78.0,1039.0
74,2020-04-05,58.0,1097.0
75,2020-04-06,11.0,1108.0
76,2020-04-07,41.0,1149.0
77,2020-04-08,36.0,1185.0
78,2020-04-09,22.0,1207.0
79,2020-04-10,51.0,1258.0
80,2020-04-11,46.0,1304.0
81,2020-04-12,5.0,1309.0
82,2020-04-13,23.0,1332.0
83,2020-04-14,41.0,1373.0
84,2020-04-15,27.0,1400.0
85,2020-04-16,34.0,1434.0
86,2020-04-17,25.0,1459.0
87,2020-04-18,53.0,1512.0
88,2020-04-19,16.0,1528.0
89,2020-04-20,7.0,1535.0
90,2020-04-21,17.0,1552.0
91,2020-04-22,7.0,1559.0
92,2020-04-23,33.0,1592.0
93,2020-04-24,13.0,1605.0
94,2020-04-25,30.0,1635.0
95,2020-04-26,8.0,1643.0
96,2020-04-27,4.0,1647.0
97,2020-04-28,13.0,1660.0
98,2020-04-29,6.0,1666.0
99,2020-04-30,23.0,1689.0
100,2020-05-01,5.0,1694.0
101,2020-05-02,5.0,1699.0
102,2020-05-03,1.0,1700.0
103,2020-05-04,3.0,1703.0
104,2020-05-05,8.0,1711.0
105,2020-05-06,2.0,1713.0
106,2020-05-07,7.0,1720.0
107,2020-05-08,5.0,1725.0
108,2020-05-09,8.0,1733.0
109,2020-05-10,6.0,1739.0
110,2020-05-11,2.0,1741.0
111,2020-05-12,5.0,1746.0
112,2020-05-13,5.0,1751.0
113,2020-05-14,7.0,1758.0
114,2020-05-15,8.0,1766.0
115,2020-05-16,4.0,1770.0
116,2020-05-17,4.0,1774.0
117,2020-05-18,10.0,1784.0
118,2020-05-19,7.0,1791.0
119,2020-05-20,3.0,1794.0
120,2020-05-21,6.0,1800.0
121,2020-05-22,7.0,1807.0
122,2020-05-23,14.0,1821.0
123,2020-05-24,2.0,1823.0
124,2020-05-25,1.0,1824.0
125,2020-05-26,10.0,1834.0
126,2020-05-27,6.0,1840.0
127,2020-05-28,11.0,1851.0
128,2020-05-29,8.0,1859.0
129,2020-05-30,6.0,1865.0
130,2020-05-31,4.0,1869.0
131,2020-06-01,1.0,1870.0
132,2020-06-02,0.0,1870.0
133,2020-06-03,10.0,1880.0
