,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,2.0,2.0
3,2020-01-25,1.0,3.0
4,2020-01-26,0.0,3.0
5,2020-01-27,0.0,3.0
6,2020-01-28,1.0,4.0
7,2020-01-29,1.0,5.0
8,2020-01-30,0.0,5.0
9,2020-01-31,0.0,5.0
10,2020-02-01,1.0,6.0
11,2020-02-02,0.0,6.0
12,2020-02-03,0.0,6.0
13,2020-02-04,0.0,6.0
14,2020-02-05,0.0,6.0
15,2020-02-06,0.0,6.0
16,2020-02-07,0.0,6.0
17,2020-02-08,5.0,11.0
18,2020-02-09,0.0,11.0
19,2020-02-10,0.0,11.0
20,2020-02-11,0.0,11.0
21,2020-02-12,0.0,11.0
22,2020-02-13,0.0,11.0
23,2020-02-14,0.0,11.0
24,2020-02-15,1.0,12.0
25,2020-02-16,0.0,12.0
26,2020-02-17,0.0,12.0
27,2020-02-18,0.0,12.0
28,2020-02-19,0.0,12.0
29,2020-02-20,0.0,12.0
30,2020-02-21,0.0,12.0
31,2020-02-22,0.0,12.0
32,2020-02-23,0.0,12.0
33,2020-02-24,0.0,12.0
34,2020-02-25,2.0,14.0
35,2020-02-26,4.0,18.0
36,2020-02-27,20.0,38.0
37,2020-02-28,19.0,57.0
38,2020-02-29,43.0,100.0
39,2020-03-01,30.0,130.0
40,2020-03-02,61.0,191.0
41,2020-03-03,21.0,212.0
42,2020-03-04,76.0,288.0
43,2020-03-05,138.0,426.0
44,2020-03-06,190.0,616.0
45,2020-03-07,332.0,948.0
46,2020-03-08,177.0,1125.0
47,2020-03-09,286.0,1411.0
48,2020-03-10,372.0,1783.0
49,2020-03-11,510.0,2293.0
50,2020-03-12,0.0,2293.0
51,2020-03-13,1388.0,3681.0
52,2020-03-14,815.0,4496.0
53,2020-03-15,36.0,4532.0
54,2020-03-16,2151.0,6683.0
55,2020-03-17,1032.0,7715.0
56,2020-03-18,1409.0,9124.0
57,2020-03-19,1846.0,10970.0
58,2020-03-20,1788.0,12758.0
59,2020-03-21,1705.0,14463.0
60,2020-03-22,2295.0,16758.0
61,2020-03-23,3365.0,20123.0
62,2020-03-24,2249.0,22372.0
63,2020-03-25,2962.0,25334.0
64,2020-03-26,3918.0,29252.0
65,2020-03-27,3795.0,33047.0
66,2020-03-28,4645.0,37692.0
67,2020-03-29,2603.0,40295.0
68,2020-03-30,4354.0,44649.0
69,2020-03-31,7629.0,52278.0
70,2020-04-01,4844.0,57122.0
71,2020-04-02,2106.0,59228.0
72,2020-04-03,5224.0,64452.0
73,2020-04-04,-17074.0,47378.0
74,2020-04-05,855.0,48233.0
75,2020-04-06,2654.0,50887.0
76,2020-04-07,-3491.0,47396.0
77,2020-04-08,3855.0,51251.0
78,2020-04-09,3784.0,55035.0
79,2020-04-10,1565.0,56600.0
80,2020-04-11,1445.0,58045.0
81,2020-04-12,50746.0,108791.0
82,2020-04-13,3141.0,111932.0
83,2020-04-14,17448.0,129380.0
84,2020-04-15,3208.0,132588.0
85,2020-04-16,12578.0,145166.0
86,2020-04-17,1891.0,147057.0
87,2020-04-18,3806.0,150863.0
88,2020-04-19,1092.0,151955.0
89,2020-04-20,2447.0,154402.0
90,2020-04-21,2666.0,157068.0
91,2020-04-22,1800.0,158868.0
92,2020-04-23,-1710.0,157158.0
93,2020-04-24,2811.0,159969.0
94,2020-04-25,1678.0,161647.0
95,2020-04-26,633.0,162280.0
96,2020-04-27,3686.0,165966.0
97,2020-04-28,3132.0,169098.0
98,2020-04-29,-1455.0,167643.0
99,2020-04-30,1218.0,168861.0
100,2020-05-01,526.0,169387.0
101,2020-05-02,792.0,170179.0
102,2020-05-03,361.0,170540.0
103,2020-05-04,562.0,171102.0
104,2020-05-05,1117.0,172219.0
105,2020-05-06,4136.0,176355.0
106,2020-05-07,741.0,177096.0
107,2020-05-08,531.0,177627.0
108,2020-05-09,529.0,178156.0
109,2020-05-10,249.0,178405.0
110,2020-05-11,314.0,178719.0
111,2020-05-12,753.0,179472.0
112,2020-05-13,521.0,179993.0
113,2020-05-14,642.0,180635.0
114,2020-05-15,513.0,181148.0
115,2020-05-16,415.0,181563.0
116,2020-05-17,140.0,181703.0
117,2020-05-18,444.0,182147.0
118,2020-05-19,501.0,182648.0
119,2020-05-20,482.0,183130.0
120,2020-05-21,267.0,183397.0
121,2020-05-22,756.0,184153.0
122,2020-05-23,546.0,184699.0
123,2020-05-24,-439.0,184260.0
124,2020-05-25,325.0,184585.0
125,2020-05-26,255.0,184840.0
126,2020-05-27,172.0,185012.0
127,2020-05-28,3343.0,188355.0
128,2020-05-29,594.0,188949.0
