,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,1.0,1.0
6,2020-01-28,3.0,4.0
7,2020-01-29,0.0,4.0
8,2020-01-30,0.0,4.0
9,2020-01-31,1.0,5.0
10,2020-02-01,3.0,8.0
11,2020-02-02,2.0,10.0
12,2020-02-03,2.0,12.0
13,2020-02-04,0.0,12.0
14,2020-02-05,0.0,12.0
15,2020-02-06,0.0,12.0
16,2020-02-07,1.0,13.0
17,2020-02-08,0.0,13.0
18,2020-02-09,1.0,14.0
19,2020-02-10,0.0,14.0
20,2020-02-11,2.0,16.0
21,2020-02-12,0.0,16.0
22,2020-02-13,0.0,16.0
23,2020-02-14,0.0,16.0
24,2020-02-15,0.0,16.0
25,2020-02-16,0.0,16.0
26,2020-02-17,0.0,16.0
27,2020-02-18,0.0,16.0
28,2020-02-19,0.0,16.0
29,2020-02-20,0.0,16.0
30,2020-02-21,0.0,16.0
31,2020-02-22,0.0,16.0
32,2020-02-23,0.0,16.0
33,2020-02-24,0.0,16.0
34,2020-02-25,1.0,17.0
35,2020-02-26,10.0,27.0
36,2020-02-27,19.0,46.0
37,2020-02-28,2.0,48.0
38,2020-02-29,31.0,79.0
39,2020-03-01,51.0,130.0
40,2020-03-02,29.0,159.0
41,2020-03-03,37.0,196.0
42,2020-03-04,66.0,262.0
43,2020-03-05,220.0,482.0
44,2020-03-06,188.0,670.0
45,2020-03-07,129.0,799.0
46,2020-03-08,241.0,1040.0
47,2020-03-09,136.0,1176.0
48,2020-03-10,281.0,1457.0
49,2020-03-11,451.0,1908.0
50,2020-03-12,170.0,2078.0
51,2020-03-13,1597.0,3675.0
52,2020-03-14,910.0,4585.0
53,2020-03-15,1210.0,5795.0
54,2020-03-16,1477.0,7272.0
55,2020-03-17,1985.0,9257.0
56,2020-03-18,3070.0,12327.0
57,2020-03-19,2993.0,15320.0
58,2020-03-20,4528.0,19848.0
59,2020-03-21,2365.0,22213.0
60,2020-03-22,2660.0,24873.0
61,2020-03-23,4183.0,29056.0
62,2020-03-24,3930.0,32986.0
63,2020-03-25,4337.0,37323.0
64,2020-03-26,6615.0,43938.0
65,2020-03-27,6933.0,50871.0
66,2020-03-28,6824.0,57695.0
67,2020-03-29,4400.0,62095.0
68,2020-03-30,4790.0,66885.0
69,2020-03-31,4923.0,71808.0
70,2020-04-01,6064.0,77872.0
71,2020-04-02,6922.0,84794.0
72,2020-04-03,6365.0,91159.0
73,2020-04-04,4933.0,96092.0
74,2020-04-05,4031.0,100123.0
75,2020-04-06,3251.0,103374.0
76,2020-04-07,4289.0,107663.0
77,2020-04-08,5633.0,113296.0
78,2020-04-09,4885.0,118181.0
79,2020-04-10,3990.0,122171.0
80,2020-04-11,2737.0,124908.0
81,2020-04-12,2946.0,127854.0
82,2020-04-13,2218.0,130072.0
83,2020-04-14,1287.0,131359.0
84,2020-04-15,3394.0,134753.0
85,2020-04-16,2945.0,137698.0
86,2020-04-17,3699.0,141397.0
87,2020-04-18,1945.0,143342.0
88,2020-04-19,1842.0,145184.0
89,2020-04-20,1881.0,147065.0
90,2020-04-21,1226.0,148291.0
91,2020-04-22,2357.0,150648.0
92,2020-04-23,2481.0,153129.0
93,2020-04-24,1870.0,154999.0
94,2020-04-25,1514.0,156513.0
95,2020-04-26,1257.0,157770.0
96,2020-04-27,988.0,158758.0
97,2020-04-28,1154.0,159912.0
98,2020-04-29,1627.0,161539.0
99,2020-04-30,1470.0,163009.0
100,2020-05-01,1068.0,164077.0
101,2020-05-02,890.0,164967.0
102,2020-05-03,697.0,165664.0
103,2020-05-04,488.0,166152.0
104,2020-05-05,855.0,167007.0
105,2020-05-06,1155.0,168162.0
106,2020-05-07,1268.0,169430.0
107,2020-05-08,1158.0,170588.0
108,2020-05-09,736.0,171324.0
109,2020-05-10,555.0,171879.0
110,2020-05-11,697.0,172576.0
111,2020-05-12,595.0,173171.0
112,2020-05-13,927.0,174098.0
113,2020-05-14,380.0,174478.0
114,2020-05-15,755.0,175233.0
115,2020-05-16,519.0,175752.0
116,2020-05-17,617.0,176369.0
117,2020-05-18,182.0,176551.0
118,2020-05-19,1227.0,177778.0
119,2020-05-20,695.0,178473.0
120,2020-05-21,548.0,179021.0
121,2020-05-22,689.0,179710.0
122,2020-05-23,276.0,179986.0
123,2020-05-24,342.0,180328.0
124,2020-05-25,272.0,180600.0
125,2020-05-26,600.0,181200.0
126,2020-05-27,324.0,181524.0
127,2020-05-28,672.0,182196.0
128,2020-05-29,726.0,182922.0
129,2020-05-30,267.0,183189.0
