,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,1.0,1.0
36,2020-02-27,2.0,3.0
37,2020-02-28,1.0,4.0
38,2020-02-29,0.0,4.0
39,2020-03-01,3.0,7.0
40,2020-03-02,0.0,7.0
41,2020-03-03,0.0,7.0
42,2020-03-04,2.0,9.0
43,2020-03-05,22.0,31.0
44,2020-03-06,14.0,45.0
45,2020-03-07,1.0,46.0
46,2020-03-08,27.0,73.0
47,2020-03-09,0.0,73.0
48,2020-03-10,16.0,89.0
49,2020-03-11,10.0,99.0
50,2020-03-12,0.0,99.0
51,2020-03-13,91.0,190.0
52,2020-03-14,38.0,228.0
53,2020-03-15,103.0,331.0
54,2020-03-16,0.0,331.0
55,2020-03-17,56.0,387.0
56,2020-03-18,31.0,418.0
57,2020-03-19,0.0,418.0
58,2020-03-20,77.0,495.0
59,2020-03-21,35.0,530.0
60,2020-03-22,94.0,624.0
61,2020-03-23,71.0,695.0
62,2020-03-24,48.0,743.0
63,2020-03-25,78.0,821.0
64,2020-03-26,71.0,892.0
65,2020-03-27,74.0,966.0
66,2020-03-28,95.0,1061.0
67,2020-03-29,95.0,1156.0
68,2020-03-30,56.0,1212.0
69,2020-03-31,102.0,1314.0
70,2020-04-01,101.0,1415.0
71,2020-04-02,129.0,1544.0
72,2020-04-03,69.0,1613.0
73,2020-04-04,60.0,1673.0
74,2020-04-05,62.0,1735.0
75,2020-04-06,20.0,1755.0
76,2020-04-07,77.0,1832.0
77,2020-04-08,52.0,1884.0
78,2020-04-09,71.0,1955.0
79,2020-04-10,56.0,2011.0
80,2020-04-11,70.0,2081.0
81,2020-04-12,33.0,2114.0
82,2020-04-13,31.0,2145.0
83,2020-04-14,25.0,2170.0
84,2020-04-15,22.0,2192.0
85,2020-04-16,15.0,2207.0
86,2020-04-17,17.0,2224.0
87,2020-04-18,11.0,2235.0
88,2020-04-19,0.0,2235.0
89,2020-04-20,10.0,2245.0
90,2020-04-21,156.0,2401.0
91,2020-04-22,7.0,2408.0
92,2020-04-23,55.0,2463.0
93,2020-04-24,27.0,2490.0
94,2020-04-25,16.0,2506.0
95,2020-04-26,11.0,2517.0
96,2020-04-27,17.0,2534.0
97,2020-04-28,32.0,2566.0
98,2020-04-29,10.0,2576.0
99,2020-04-30,15.0,2591.0
100,2020-05-01,21.0,2612.0
101,2020-05-02,8.0,2620.0
102,2020-05-03,6.0,2626.0
103,2020-05-04,6.0,2632.0
104,2020-05-05,10.0,2642.0
105,2020-05-06,21.0,2663.0
106,2020-05-07,15.0,2678.0
107,2020-05-08,13.0,2691.0
108,2020-05-09,19.0,2710.0
109,2020-05-10,6.0,2716.0
110,2020-05-11,10.0,2726.0
111,2020-05-12,18.0,2744.0
112,2020-05-13,16.0,2760.0
113,2020-05-14,10.0,2770.0
114,2020-05-15,40.0,2810.0
115,2020-05-16,9.0,2819.0
116,2020-05-17,15.0,2834.0
117,2020-05-18,2.0,2836.0
118,2020-05-19,4.0,2840.0
119,2020-05-20,10.0,2850.0
120,2020-05-21,3.0,2853.0
121,2020-05-22,21.0,2874.0
122,2020-05-23,2.0,2876.0
123,2020-05-24,2.0,2878.0
124,2020-05-25,4.0,2882.0
125,2020-05-26,10.0,2892.0
126,2020-05-27,11.0,2903.0
127,2020-05-28,3.0,2906.0
128,2020-05-29,3.0,2909.0
129,2020-05-30,6.0,2915.0
130,2020-05-31,2.0,2917.0
131,2020-06-01,1.0,2918.0
132,2020-06-02,19.0,2937.0
133,2020-06-03,0.0,2937.0
