,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,2.0,2.0
43,2020-03-05,0.0,2.0
44,2020-03-06,0.0,2.0
45,2020-03-07,2.0,4.0
46,2020-03-08,3.0,7.0
47,2020-03-09,2.0,9.0
48,2020-03-10,0.0,9.0
49,2020-03-11,4.0,13.0
50,2020-03-12,0.0,13.0
51,2020-03-13,6.0,19.0
52,2020-03-14,11.0,30.0
53,2020-03-15,2.0,32.0
54,2020-03-16,7.0,39.0
55,2020-03-17,11.0,50.0
56,2020-03-18,8.0,58.0
57,2020-03-19,15.0,73.0
58,2020-03-20,12.0,85.0
59,2020-03-21,18.0,103.0
60,2020-03-22,28.0,131.0
61,2020-03-23,36.0,167.0
62,2020-03-24,20.0,187.0
63,2020-03-25,39.0,226.0
64,2020-03-26,35.0,261.0
65,2020-03-27,39.0,300.0
66,2020-03-28,43.0,343.0
67,2020-03-29,65.0,408.0
68,2020-03-30,39.0,447.0
69,2020-03-31,45.0,492.0
70,2020-04-01,33.0,525.0
71,2020-04-02,60.0,585.0
72,2020-04-03,38.0,623.0
73,2020-04-04,55.0,678.0
74,2020-04-05,55.0,733.0
75,2020-04-06,11.0,744.0
76,2020-04-07,73.0,817.0
77,2020-04-08,78.0,895.0
78,2020-04-09,85.0,980.0
79,2020-04-10,210.0,1190.0
80,2020-04-11,120.0,1310.0
81,2020-04-12,100.0,1410.0
82,2020-04-13,48.0,1458.0
83,2020-04-14,54.0,1512.0
84,2020-04-15,67.0,1579.0
85,2020-04-16,73.0,1652.0
86,2020-04-17,111.0,1763.0
87,2020-04-18,71.0,1834.0
88,2020-04-19,82.0,1916.0
89,2020-04-20,68.0,1984.0
90,2020-04-21,114.0,2098.0
91,2020-04-22,70.0,2168.0
92,2020-04-23,116.0,2284.0
93,2020-04-24,159.0,2443.0
94,2020-04-25,0.0,2443.0
95,2020-04-26,57.0,2500.0
96,2020-04-27,83.0,2583.0
97,2020-04-28,66.0,2649.0
98,2020-04-29,78.0,2727.0
99,2020-04-30,48.0,2775.0
100,2020-05-01,88.0,2863.0
101,2020-05-02,79.0,2942.0
102,2020-05-03,56.0,2998.0
103,2020-05-04,37.0,3035.0
104,2020-05-05,30.0,3065.0
105,2020-05-06,46.0,3111.0
106,2020-05-07,39.0,3150.0
107,2020-05-08,28.0,3178.0
108,2020-05-09,35.0,3213.0
109,2020-05-10,50.0,3263.0
110,2020-05-11,21.0,3284.0
111,2020-05-12,29.0,3313.0
112,2020-05-13,28.0,3341.0
113,2020-05-14,39.0,3380.0
114,2020-05-15,37.0,3417.0
115,2020-05-16,56.0,3473.0
116,2020-05-17,36.0,3509.0
117,2020-05-18,26.0,3535.0
118,2020-05-19,21.0,3556.0
119,2020-05-20,42.0,3598.0
120,2020-05-21,43.0,3641.0
121,2020-05-22,37.0,3678.0
122,2020-05-23,35.0,3713.0
123,2020-05-24,28.0,3741.0
124,2020-05-25,15.0,3756.0
125,2020-05-26,15.0,3771.0
126,2020-05-27,22.0,3793.0
127,2020-05-28,23.0,3816.0
128,2020-05-29,25.0,3841.0
129,2020-05-30,26.0,3867.0
130,2020-05-31,9.0,3876.0
131,2020-06-01,16.0,3892.0
132,2020-06-02,29.0,3921.0
133,2020-06-03,10.0,3931.0
