,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,2.0,2.0
29,2020-02-20,3.0,5.0
30,2020-02-21,13.0,18.0
31,2020-02-22,10.0,28.0
32,2020-02-23,15.0,43.0
33,2020-02-24,18.0,61.0
34,2020-02-25,34.0,95.0
35,2020-02-26,44.0,139.0
36,2020-02-27,106.0,245.0
37,2020-02-28,143.0,388.0
38,2020-02-29,205.0,593.0
39,2020-03-01,385.0,978.0
40,2020-03-02,523.0,1501.0
41,2020-03-03,835.0,2336.0
42,2020-03-04,586.0,2922.0
43,2020-03-05,591.0,3513.0
44,2020-03-06,1234.0,4747.0
45,2020-03-07,1076.0,5823.0
46,2020-03-08,743.0,6566.0
47,2020-03-09,595.0,7161.0
48,2020-03-10,881.0,8042.0
49,2020-03-11,958.0,9000.0
50,2020-03-12,1075.0,10075.0
51,2020-03-13,1289.0,11364.0
52,2020-03-14,1365.0,12729.0
53,2020-03-15,1209.0,13938.0
54,2020-03-16,1053.0,14991.0
55,2020-03-17,1178.0,16169.0
56,2020-03-18,1192.0,17361.0
57,2020-03-19,1046.0,18407.0
58,2020-03-20,1237.0,19644.0
59,2020-03-21,966.0,20610.0
60,2020-03-22,1028.0,21638.0
61,2020-03-23,1411.0,23049.0
62,2020-03-24,1762.0,24811.0
63,2020-03-25,2206.0,27017.0
64,2020-03-26,2389.0,29406.0
65,2020-03-27,2926.0,32332.0
66,2020-03-28,3076.0,35408.0
67,2020-03-29,2901.0,38309.0
68,2020-03-30,3186.0,41495.0
69,2020-03-31,3110.0,44605.0
70,2020-04-01,2988.0,47593.0
71,2020-04-02,2875.0,50468.0
72,2020-04-03,2715.0,53183.0
73,2020-04-04,2560.0,55743.0
74,2020-04-05,2483.0,58226.0
75,2020-04-06,2274.0,60500.0
76,2020-04-07,2089.0,62589.0
77,2020-04-08,1997.0,64586.0
78,2020-04-09,1634.0,66220.0
79,2020-04-10,1972.0,68192.0
80,2020-04-11,1837.0,70029.0
81,2020-04-12,1657.0,71686.0
82,2020-04-13,1617.0,73303.0
83,2020-04-14,1574.0,74877.0
84,2020-04-15,1512.0,76389.0
85,2020-04-16,1606.0,77995.0
86,2020-04-17,1499.0,79494.0
87,2020-04-18,1374.0,80868.0
88,2020-04-19,1343.0,82211.0
89,2020-04-20,1294.0,83505.0
90,2020-04-21,1297.0,84802.0
91,2020-04-22,1194.0,85996.0
92,2020-04-23,1030.0,87026.0
93,2020-04-24,1168.0,88194.0
94,2020-04-25,1134.0,89328.0
95,2020-04-26,1153.0,90481.0
96,2020-04-27,991.0,91472.0
97,2020-04-28,1112.0,92584.0
98,2020-04-29,1073.0,93657.0
99,2020-04-30,983.0,94640.0
100,2020-05-01,1006.0,95646.0
101,2020-05-02,802.0,96448.0
102,2020-05-03,976.0,97424.0
103,2020-05-04,1223.0,98647.0
104,2020-05-05,1323.0,99970.0
105,2020-05-06,1680.0,101650.0
106,2020-05-07,1485.0,103135.0
107,2020-05-08,1556.0,104691.0
108,2020-05-09,1529.0,106220.0
109,2020-05-10,1383.0,107603.0
110,2020-05-11,1683.0,109286.0
111,2020-05-12,1481.0,110767.0
112,2020-05-13,1958.0,112725.0
113,2020-05-14,1808.0,114533.0
114,2020-05-15,2102.0,116635.0
115,2020-05-16,1757.0,118392.0
116,2020-05-17,1806.0,120198.0
117,2020-05-18,2294.0,122492.0
118,2020-05-19,2111.0,124603.0
119,2020-05-20,2346.0,126949.0
120,2020-05-21,2392.0,129341.0
121,2020-05-22,2311.0,131652.0
122,2020-05-23,1869.0,133521.0
123,2020-05-24,2180.0,135701.0
124,2020-05-25,2023.0,137724.0
125,2020-05-26,1787.0,139511.0
126,2020-05-27,2080.0,141591.0
127,2020-05-28,2258.0,143849.0
