,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,1.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,4.0,5.0
36,2020-02-27,2.0,7.0
37,2020-02-28,0.0,7.0
38,2020-02-29,6.0,13.0
39,2020-03-01,6.0,19.0
40,2020-03-02,7.0,26.0
41,2020-03-03,6.0,32.0
42,2020-03-04,3.0,35.0
43,2020-03-05,0.0,35.0
44,2020-03-06,5.0,40.0
45,2020-03-07,14.0,54.0
46,2020-03-08,6.0,60.0
47,2020-03-09,0.0,60.0
48,2020-03-10,11.0,71.0
49,2020-03-11,0.0,71.0
50,2020-03-12,0.0,71.0
51,2020-03-13,30.0,101.0
52,2020-03-14,9.0,110.0
53,2020-03-15,6.0,116.0
54,2020-03-16,8.0,124.0
55,2020-03-17,30.0,154.0
56,2020-03-18,10.0,164.0
57,2020-03-19,28.0,192.0
58,2020-03-20,16.0,208.0
59,2020-03-21,6.0,214.0
60,2020-03-22,19.0,233.0
61,2020-03-23,33.0,266.0
62,2020-03-24,50.0,316.0
63,2020-03-25,30.0,346.0
64,2020-03-26,36.0,382.0
65,2020-03-27,76.0,458.0
66,2020-03-28,48.0,506.0
67,2020-03-29,41.0,547.0
68,2020-03-30,83.0,630.0
69,2020-03-31,64.0,694.0
70,2020-04-01,34.0,728.0
71,2020-04-02,44.0,772.0
72,2020-04-03,48.0,820.0
73,2020-04-04,58.0,878.0
74,2020-04-05,83.0,961.0
75,2020-04-06,70.0,1031.0
76,2020-04-07,91.0,1122.0
77,2020-04-08,80.0,1202.0
78,2020-04-09,30.0,1232.0
79,2020-04-10,47.0,1279.0
80,2020-04-11,39.0,1318.0
81,2020-04-12,34.0,1352.0
82,2020-04-13,26.0,1378.0
83,2020-04-14,22.0,1400.0
84,2020-04-15,15.0,1415.0
85,2020-04-16,19.0,1434.0
86,2020-04-17,48.0,1482.0
87,2020-04-18,31.0,1513.0
88,2020-04-19,26.0,1539.0
89,2020-04-20,35.0,1574.0
90,2020-04-21,28.0,1602.0
91,2020-04-22,29.0,1631.0
92,2020-04-23,46.0,1677.0
93,2020-04-24,31.0,1708.0
94,2020-04-25,55.0,1763.0
95,2020-04-26,57.0,1820.0
96,2020-04-27,27.0,1847.0
97,2020-04-28,81.0,1928.0
98,2020-04-29,75.0,2003.0
99,2020-04-30,82.0,2085.0
100,2020-05-01,68.0,2153.0
101,2020-05-02,66.0,2219.0
102,2020-05-03,77.0,2296.0
103,2020-05-04,50.0,2346.0
104,2020-05-05,85.0,2431.0
105,2020-05-06,49.0,2480.0
106,2020-05-07,63.0,2543.0
107,2020-05-08,60.0,2603.0
108,2020-05-09,76.0,2679.0
109,2020-05-10,88.0,2767.0
110,2020-05-11,51.0,2818.0
111,2020-05-12,95.0,2913.0
112,2020-05-13,119.0,3032.0
113,2020-05-14,111.0,3143.0
114,2020-05-15,50.0,3193.0
115,2020-05-16,67.0,3260.0
116,2020-05-17,144.0,3404.0
117,2020-05-18,150.0,3554.0
118,2020-05-19,57.0,3611.0
119,2020-05-20,113.0,3724.0
120,2020-05-21,153.0,3877.0
121,2020-05-22,87.0,3964.0
122,2020-05-23,308.0,4272.0
123,2020-05-24,197.0,4469.0
124,2020-05-25,163.0,4632.0
125,2020-05-26,216.0,4848.0
126,2020-05-27,287.0,5135.0
127,2020-05-28,322.0,5457.0
128,2020-05-29,416.0,5873.0
129,2020-05-30,306.0,6179.0
130,2020-05-31,260.0,6439.0
131,2020-06-01,429.0,6868.0
132,2020-06-02,519.0,7387.0
133,2020-06-03,781.0,8168.0
