,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,1.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,1.0,2.0
42,2020-03-04,4.0,6.0
43,2020-03-05,0.0,6.0
44,2020-03-06,12.0,18.0
45,2020-03-07,0.0,18.0
46,2020-03-08,1.0,19.0
47,2020-03-09,2.0,21.0
48,2020-03-10,13.0,34.0
49,2020-03-11,9.0,43.0
50,2020-03-12,0.0,43.0
51,2020-03-13,47.0,90.0
52,2020-03-14,39.0,129.0
53,2020-03-15,0.0,129.0
54,2020-03-16,40.0,169.0
55,2020-03-17,54.0,223.0
56,2020-03-18,69.0,292.0
57,2020-03-19,265.0,557.0
58,2020-03-20,126.0,683.0
59,2020-03-21,102.0,785.0
60,2020-03-22,121.0,906.0
61,2020-03-23,219.0,1125.0
62,2020-03-24,204.0,1329.0
63,2020-03-25,235.0,1564.0
64,2020-03-26,255.0,1819.0
65,2020-03-27,302.0,2121.0
66,2020-03-28,294.0,2415.0
67,2020-03-29,200.0,2615.0
68,2020-03-30,295.0,2910.0
69,2020-03-31,325.0,3235.0
70,2020-04-01,212.0,3447.0
71,2020-04-02,402.0,3849.0
72,2020-04-03,424.0,4273.0
73,2020-04-04,331.0,4604.0
74,2020-04-05,390.0,4994.0
75,2020-04-06,370.0,5364.0
76,2020-04-07,345.0,5709.0
77,2020-04-08,365.0,6074.0
78,2020-04-09,500.0,6574.0
79,2020-04-10,1515.0,8089.0
80,2020-04-11,839.0,8928.0
81,2020-04-12,727.0,9655.0
82,2020-04-13,992.0,10647.0
83,2020-04-14,832.0,11479.0
84,2020-04-15,1068.0,12547.0
85,2020-04-16,724.0,13271.0
86,2020-04-17,709.0,13980.0
87,2020-04-18,778.0,14758.0
88,2020-04-19,493.0,15251.0
89,2020-04-20,401.0,15652.0
90,2020-04-21,388.0,16040.0
91,2020-04-22,631.0,16671.0
92,2020-04-23,936.0,17607.0
93,2020-04-24,577.0,18184.0
94,2020-04-25,377.0,18561.0
95,2020-04-26,701.0,19262.0
96,2020-04-27,386.0,19648.0
97,2020-04-28,229.0,19877.0
98,2020-04-29,376.0,20253.0
99,2020-04-30,359.0,20612.0
100,2020-05-01,221.0,20833.0
101,2020-05-02,343.0,21176.0
102,2020-05-03,330.0,21506.0
103,2020-05-04,266.0,21772.0
104,2020-05-05,211.0,21983.0
105,2020-05-06,265.0,22248.0
106,2020-05-07,137.0,22385.0
107,2020-05-08,156.0,22541.0
108,2020-05-09,219.0,22760.0
109,2020-05-10,236.0,22996.0
110,2020-05-11,139.0,23135.0
111,2020-05-12,107.0,23242.0
112,2020-05-13,159.0,23401.0
113,2020-05-14,426.0,23827.0
114,2020-05-15,129.0,23956.0
115,2020-05-16,92.0,24048.0
116,2020-05-17,64.0,24112.0
117,2020-05-18,88.0,24200.0
118,2020-05-19,51.0,24251.0
119,2020-05-20,64.0,24315.0
120,2020-05-21,76.0,24391.0
121,2020-05-22,115.0,24506.0
122,2020-05-23,76.0,24582.0
123,2020-05-24,57.0,24639.0
124,2020-05-25,59.0,24698.0
125,2020-05-26,37.0,24735.0
126,2020-05-27,68.0,24803.0
127,2020-05-28,38.0,24841.0
128,2020-05-29,35.0,24876.0
129,2020-05-30,53.0,24929.0
130,2020-05-31,61.0,24990.0
131,2020-06-01,72.0,25062.0
132,2020-06-02,4.0,25066.0
