,dates,cases,cumul
0,2020-01-22,2.0,2.0
1,2020-01-23,0.0,2.0
2,2020-01-24,0.0,2.0
3,2020-01-25,0.0,2.0
4,2020-01-26,2.0,4.0
5,2020-01-27,0.0,4.0
6,2020-01-28,3.0,7.0
7,2020-01-29,0.0,7.0
8,2020-01-30,4.0,11.0
9,2020-01-31,4.0,15.0
10,2020-02-01,5.0,20.0
11,2020-02-02,0.0,20.0
12,2020-02-03,0.0,20.0
13,2020-02-04,2.0,22.0
14,2020-02-05,1.0,23.0
15,2020-02-06,0.0,23.0
16,2020-02-07,0.0,23.0
17,2020-02-08,1.0,24.0
18,2020-02-09,0.0,24.0
19,2020-02-10,2.0,26.0
20,2020-02-11,1.0,27.0
21,2020-02-12,1.0,28.0
22,2020-02-13,5.0,33.0
23,2020-02-14,10.0,43.0
24,2020-02-15,11.0,54.0
25,2020-02-16,6.0,60.0
26,2020-02-17,7.0,67.0
27,2020-02-18,12.0,79.0
28,2020-02-19,6.0,85.0
29,2020-02-20,10.0,95.0
30,2020-02-21,17.0,112.0
31,2020-02-22,25.0,137.0
32,2020-02-23,12.0,149.0
33,2020-02-24,11.0,160.0
34,2020-02-25,13.0,173.0
35,2020-02-26,19.0,192.0
36,2020-02-27,26.0,218.0
37,2020-02-28,18.0,236.0
38,2020-02-29,9.0,245.0
39,2020-03-01,14.0,259.0
40,2020-03-02,19.0,278.0
41,2020-03-03,20.0,298.0
42,2020-03-04,35.0,333.0
43,2020-03-05,32.0,365.0
44,2020-03-06,55.0,420.0
45,2020-03-07,46.0,466.0
46,2020-03-08,33.0,499.0
47,2020-03-09,28.0,527.0
48,2020-03-10,58.0,585.0
49,2020-03-11,55.0,640.0
50,2020-03-12,56.0,696.0
51,2020-03-13,37.0,733.0
52,2020-03-14,62.0,795.0
53,2020-03-15,31.0,826.0
54,2020-03-16,17.0,843.0
55,2020-03-17,50.0,893.0
56,2020-03-18,35.0,928.0
57,2020-03-19,40.0,968.0
58,2020-03-20,54.0,1022.0
59,2020-03-21,37.0,1059.0
60,2020-03-22,45.0,1104.0
61,2020-03-23,40.0,1144.0
62,2020-03-24,73.0,1217.0
63,2020-03-25,97.0,1314.0
64,2020-03-26,102.0,1416.0
65,2020-03-27,114.0,1530.0
66,2020-03-28,198.0,1728.0
67,2020-03-29,179.0,1907.0
68,2020-03-30,94.0,2001.0
69,2020-03-31,254.0,2255.0
70,2020-04-01,280.0,2535.0
71,2020-04-02,283.0,2818.0
72,2020-04-03,336.0,3154.0
73,2020-04-04,371.0,3525.0
