,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,1.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,0.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,0.0,1.0
49,2020-03-11,0.0,1.0
50,2020-03-12,0.0,1.0
51,2020-03-13,0.0,1.0
52,2020-03-14,0.0,1.0
53,2020-03-15,7.0,8.0
54,2020-03-16,9.0,17.0
55,2020-03-17,17.0,34.0
56,2020-03-18,18.0,52.0
57,2020-03-19,17.0,69.0
58,2020-03-20,16.0,85.0
59,2020-03-21,0.0,85.0
60,2020-03-22,27.0,112.0
61,2020-03-23,15.0,127.0
62,2020-03-24,27.0,154.0
63,2020-03-25,18.0,172.0
64,2020-03-26,40.0,212.0
65,2020-03-27,23.0,235.0
66,2020-03-28,11.0,246.0
67,2020-03-29,13.0,259.0
68,2020-03-30,9.0,268.0
69,2020-03-31,6.0,274.0
70,2020-04-01,4.0,278.0
71,2020-04-02,21.0,299.0
72,2020-04-03,11.0,310.0
73,2020-04-04,13.0,323.0
74,2020-04-05,22.0,345.0
75,2020-04-06,4.0,349.0
76,2020-04-07,4.0,353.0
77,2020-04-08,5.0,358.0
78,2020-04-09,14.0,372.0
79,2020-04-10,0.0,372.0
80,2020-04-11,9.0,381.0
81,2020-04-12,8.0,389.0
82,2020-04-13,2.0,391.0
83,2020-04-14,6.0,397.0
84,2020-04-15,4.0,401.0
85,2020-04-16,1.0,402.0
86,2020-04-17,5.0,407.0
87,2020-04-18,6.0,413.0
88,2020-04-19,4.0,417.0
89,2020-04-20,8.0,425.0
90,2020-04-21,3.0,428.0
91,2020-04-22,7.0,435.0
92,2020-04-23,2.0,437.0
93,2020-04-24,4.0,441.0
94,2020-04-25,3.0,444.0
95,2020-04-26,3.0,447.0
96,2020-04-27,2.0,449.0
97,2020-04-28,0.0,449.0
98,2020-04-29,2.0,451.0
99,2020-04-30,2.0,453.0
100,2020-05-01,6.0,459.0
101,2020-05-02,1.0,460.0
102,2020-05-03,1.0,461.0
103,2020-05-04,4.0,465.0
104,2020-05-05,6.0,471.0
105,2020-05-06,2.0,473.0
106,2020-05-07,21.0,494.0
107,2020-05-08,14.0,508.0
108,2020-05-09,14.0,522.0
109,2020-05-10,18.0,540.0
110,2020-05-11,22.0,562.0
111,2020-05-12,14.0,576.0
112,2020-05-13,6.0,582.0
113,2020-05-14,4.0,586.0
114,2020-05-15,10.0,596.0
115,2020-05-16,11.0,607.0
116,2020-05-17,6.0,613.0
117,2020-05-18,16.0,629.0
118,2020-05-19,20.0,649.0
119,2020-05-20,23.0,672.0
120,2020-05-21,12.0,684.0
121,2020-05-22,16.0,700.0
122,2020-05-23,4.0,704.0
123,2020-05-24,4.0,708.0
124,2020-05-25,3.0,711.0
125,2020-05-26,7.0,718.0
126,2020-05-27,2.0,720.0
127,2020-05-28,8.0,728.0
128,2020-05-29,2.0,730.0
129,2020-05-30,4.0,734.0
130,2020-05-31,5.0,739.0
131,2020-06-01,7.0,746.0
132,2020-06-02,9.0,755.0
133,2020-06-03,2.0,757.0
134,2020-06-04,8.0,765.0
135,2020-06-05,19.0,784.0
136,2020-06-06,11.0,795.0
137,2020-06-07,13.0,808.0
