,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,4.0,4.0
52,2020-03-14,2.0,6.0
53,2020-03-15,3.0,9.0
54,2020-03-16,1.0,10.0
55,2020-03-17,23.0,33.0
56,2020-03-18,2.0,35.0
57,2020-03-19,9.0,44.0
58,2020-03-20,5.0,49.0
59,2020-03-21,4.0,53.0
60,2020-03-22,8.0,61.0
61,2020-03-23,1.0,62.0
62,2020-03-24,10.0,72.0
63,2020-03-25,9.0,81.0
64,2020-03-26,30.0,111.0
65,2020-03-27,39.0,150.0
66,2020-03-28,78.0,228.0
67,2020-03-29,56.0,284.0
68,2020-03-30,18.0,302.0
69,2020-03-31,41.0,343.0
70,2020-04-01,37.0,380.0
71,2020-04-02,55.0,435.0
72,2020-04-03,29.0,464.0
73,2020-04-04,67.0,531.0
74,2020-04-05,53.0,584.0
75,2020-04-06,78.0,662.0
76,2020-04-07,35.0,697.0
77,2020-04-08,30.0,727.0
78,2020-04-09,54.0,781.0
79,2020-04-10,31.0,812.0
80,2020-04-11,53.0,865.0
81,2020-04-12,86.0,951.0
82,2020-04-13,140.0,1091.0
83,2020-04-14,141.0,1232.0
84,2020-04-15,63.0,1295.0
85,2020-04-16,107.0,1402.0
86,2020-04-17,144.0,1546.0
87,2020-04-18,69.0,1615.0
88,2020-04-19,61.0,1676.0
89,2020-04-20,176.0,1852.0
90,2020-04-21,143.0,1995.0
91,2020-04-22,140.0,2135.0
92,2020-04-23,154.0,2289.0
93,2020-04-24,193.0,2482.0
94,2020-04-25,119.0,2601.0
95,2020-04-26,116.0,2717.0
96,2020-04-27,118.0,2835.0
97,2020-04-28,192.0,3027.0
98,2020-04-29,111.0,3138.0
99,2020-04-30,264.0,3402.0
100,2020-05-01,195.0,3597.0
101,2020-05-02,260.0,3857.0
102,2020-05-03,63.0,3920.0
103,2020-05-04,129.0,4049.0
104,2020-05-05,156.0,4205.0
105,2020-05-06,217.0,4422.0
106,2020-05-07,156.0,4578.0
107,2020-05-08,256.0,4834.0
108,2020-05-09,141.0,4975.0
109,2020-05-10,115.0,5090.0
110,2020-05-11,117.0,5207.0
111,2020-05-12,72.0,5279.0
112,2020-05-13,138.0,5417.0
113,2020-05-14,154.0,5571.0
114,2020-05-15,118.0,5689.0
115,2020-05-16,161.0,5850.0
116,2020-05-17,307.0,6157.0
117,2020-05-18,594.0,6751.0
118,2020-05-19,0.0,6751.0
119,2020-05-20,218.0,6969.0
120,2020-05-21,265.0,7234.0
121,2020-05-22,685.0,7919.0
122,2020-05-23,0.0,7919.0
123,2020-05-24,612.0,8531.0
124,2020-05-25,438.0,8969.0
125,2020-05-26,0.0,8969.0
126,2020-05-27,335.0,9304.0
127,2020-05-28,272.0,9576.0
128,2020-05-29,356.0,9932.0
129,2020-05-30,450.0,10382.0
130,2020-05-31,476.0,10858.0
131,2020-06-01,450.0,11308.0
132,2020-06-02,263.0,11571.0
133,2020-06-03,496.0,12067.0
