,dates,cases,cumul
0,2020-01-22,1.0,1.0
1,2020-01-23,0.0,1.0
2,2020-01-24,1.0,2.0
3,2020-01-25,0.0,2.0
4,2020-01-26,1.0,3.0
5,2020-01-27,1.0,4.0
6,2020-01-28,0.0,4.0
7,2020-01-29,0.0,4.0
8,2020-01-30,0.0,4.0
9,2020-01-31,7.0,11.0
10,2020-02-01,1.0,12.0
11,2020-02-02,3.0,15.0
12,2020-02-03,0.0,15.0
13,2020-02-04,1.0,16.0
14,2020-02-05,3.0,19.0
15,2020-02-06,4.0,23.0
16,2020-02-07,1.0,24.0
17,2020-02-08,0.0,24.0
18,2020-02-09,1.0,25.0
19,2020-02-10,2.0,27.0
20,2020-02-11,1.0,28.0
21,2020-02-12,0.0,28.0
22,2020-02-13,0.0,28.0
23,2020-02-14,0.0,28.0
24,2020-02-15,0.0,28.0
25,2020-02-16,1.0,29.0
26,2020-02-17,1.0,30.0
27,2020-02-18,1.0,31.0
28,2020-02-19,0.0,31.0
29,2020-02-20,73.0,104.0
30,2020-02-21,100.0,204.0
31,2020-02-22,229.0,433.0
32,2020-02-23,169.0,602.0
33,2020-02-24,231.0,833.0
34,2020-02-25,144.0,977.0
35,2020-02-26,284.0,1261.0
36,2020-02-27,505.0,1766.0
37,2020-02-28,571.0,2337.0
38,2020-02-29,813.0,3150.0
39,2020-03-01,586.0,3736.0
40,2020-03-02,599.0,4335.0
41,2020-03-03,851.0,5186.0
42,2020-03-04,435.0,5621.0
43,2020-03-05,467.0,6088.0
44,2020-03-06,505.0,6593.0
45,2020-03-07,448.0,7041.0
46,2020-03-08,273.0,7314.0
47,2020-03-09,164.0,7478.0
48,2020-03-10,35.0,7513.0
49,2020-03-11,242.0,7755.0
50,2020-03-12,114.0,7869.0
51,2020-03-13,110.0,7979.0
52,2020-03-14,107.0,8086.0
53,2020-03-15,76.0,8162.0
54,2020-03-16,74.0,8236.0
55,2020-03-17,84.0,8320.0
56,2020-03-18,93.0,8413.0
57,2020-03-19,152.0,8565.0
58,2020-03-20,87.0,8652.0
59,2020-03-21,147.0,8799.0
60,2020-03-22,162.0,8961.0
61,2020-03-23,0.0,8961.0
62,2020-03-24,76.0,9037.0
63,2020-03-25,100.0,9137.0
64,2020-03-26,104.0,9241.0
65,2020-03-27,91.0,9332.0
66,2020-03-28,146.0,9478.0
67,2020-03-29,105.0,9583.0
68,2020-03-30,78.0,9661.0
69,2020-03-31,125.0,9786.0
70,2020-04-01,101.0,9887.0
71,2020-04-02,89.0,9976.0
72,2020-04-03,86.0,10062.0
73,2020-04-04,94.0,10156.0
74,2020-04-05,81.0,10237.0
75,2020-04-06,47.0,10284.0
76,2020-04-07,47.0,10331.0
77,2020-04-08,53.0,10384.0
78,2020-04-09,39.0,10423.0
79,2020-04-10,27.0,10450.0
80,2020-04-11,30.0,10480.0
81,2020-04-12,32.0,10512.0
82,2020-04-13,25.0,10537.0
83,2020-04-14,27.0,10564.0
84,2020-04-15,27.0,10591.0
85,2020-04-16,22.0,10613.0
86,2020-04-17,22.0,10635.0
87,2020-04-18,18.0,10653.0
88,2020-04-19,8.0,10661.0
89,2020-04-20,13.0,10674.0
90,2020-04-21,9.0,10683.0
91,2020-04-22,11.0,10694.0
92,2020-04-23,14.0,10708.0
93,2020-04-24,10.0,10718.0
94,2020-04-25,10.0,10728.0
95,2020-04-26,10.0,10738.0
96,2020-04-27,14.0,10752.0
97,2020-04-28,9.0,10761.0
98,2020-04-29,4.0,10765.0
99,2020-04-30,9.0,10774.0
100,2020-05-01,6.0,10780.0
101,2020-05-02,13.0,10793.0
102,2020-05-03,8.0,10801.0
103,2020-05-04,3.0,10804.0
104,2020-05-05,2.0,10806.0
105,2020-05-06,4.0,10810.0
106,2020-05-07,12.0,10822.0
107,2020-05-08,18.0,10840.0
108,2020-05-09,34.0,10874.0
109,2020-05-10,35.0,10909.0
110,2020-05-11,27.0,10936.0
111,2020-05-12,26.0,10962.0
112,2020-05-13,29.0,10991.0
113,2020-05-14,27.0,11018.0
114,2020-05-15,19.0,11037.0
115,2020-05-16,13.0,11050.0
116,2020-05-17,15.0,11065.0
117,2020-05-18,13.0,11078.0
118,2020-05-19,32.0,11110.0
