,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,1.0,1.0
34,2020-02-25,10.0,11.0
35,2020-02-26,15.0,26.0
36,2020-02-27,17.0,43.0
37,2020-02-28,2.0,45.0
38,2020-02-29,0.0,45.0
39,2020-03-01,0.0,45.0
40,2020-03-02,11.0,56.0
41,2020-03-03,0.0,56.0
42,2020-03-04,0.0,56.0
43,2020-03-05,2.0,58.0
44,2020-03-06,0.0,58.0
45,2020-03-07,3.0,61.0
46,2020-03-08,3.0,64.0
47,2020-03-09,0.0,64.0
48,2020-03-10,5.0,69.0
49,2020-03-11,3.0,72.0
50,2020-03-12,8.0,80.0
51,2020-03-13,0.0,80.0
52,2020-03-14,24.0,104.0
53,2020-03-15,8.0,112.0
54,2020-03-16,11.0,123.0
55,2020-03-17,7.0,130.0
56,2020-03-18,12.0,142.0
57,2020-03-19,6.0,148.0
58,2020-03-20,11.0,159.0
59,2020-03-21,17.0,176.0
60,2020-03-22,12.0,188.0
61,2020-03-23,1.0,189.0
62,2020-03-24,2.0,191.0
63,2020-03-25,4.0,195.0
64,2020-03-26,13.0,208.0
65,2020-03-27,17.0,225.0
66,2020-03-28,10.0,235.0
67,2020-03-29,20.0,255.0
68,2020-03-30,11.0,266.0
69,2020-03-31,23.0,289.0
70,2020-04-01,28.0,317.0
71,2020-04-02,25.0,342.0
72,2020-04-03,75.0,417.0
73,2020-04-04,62.0,479.0
74,2020-04-05,77.0,556.0
75,2020-04-06,109.0,665.0
76,2020-04-07,78.0,743.0
77,2020-04-08,112.0,855.0
78,2020-04-09,55.0,910.0
79,2020-04-10,83.0,993.0
80,2020-04-11,161.0,1154.0
81,2020-04-12,80.0,1234.0
82,2020-04-13,66.0,1300.0
83,2020-04-14,55.0,1355.0
84,2020-04-15,50.0,1405.0
85,2020-04-16,119.0,1524.0
86,2020-04-17,134.0,1658.0
87,2020-04-18,93.0,1751.0
88,2020-04-19,164.0,1915.0
89,2020-04-20,80.0,1995.0
90,2020-04-21,85.0,2080.0
91,2020-04-22,168.0,2248.0
92,2020-04-23,151.0,2399.0
93,2020-04-24,215.0,2614.0
94,2020-04-25,278.0,2892.0
95,2020-04-26,183.0,3075.0
96,2020-04-27,213.0,3288.0
97,2020-04-28,152.0,3440.0
98,2020-04-29,300.0,3740.0
99,2020-04-30,284.0,4024.0
100,2020-05-01,353.0,4377.0
101,2020-05-02,242.0,4619.0
102,2020-05-03,364.0,4983.0
103,2020-05-04,295.0,5278.0
104,2020-05-05,526.0,5804.0
105,2020-05-06,485.0,6289.0
106,2020-05-07,278.0,6567.0
107,2020-05-08,641.0,7208.0
108,2020-05-09,415.0,7623.0
109,2020-05-10,1065.0,8688.0
110,2020-05-11,598.0,9286.0
111,2020-05-12,991.0,10277.0
112,2020-05-13,751.0,11028.0
113,2020-05-14,947.0,11975.0
114,2020-05-15,885.0,12860.0
115,2020-05-16,942.0,13802.0
116,2020-05-17,1048.0,14850.0
117,2020-05-18,841.0,15691.0
118,2020-05-19,1073.0,16764.0
119,2020-05-20,804.0,17568.0
120,2020-05-21,1041.0,18609.0
121,2020-05-22,955.0,19564.0
122,2020-05-23,900.0,20464.0
123,2020-05-24,838.0,21302.0
124,2020-05-25,665.0,21967.0
125,2020-05-26,608.0,22575.0
126,2020-05-27,692.0,23267.0
127,2020-05-28,845.0,24112.0
128,2020-05-29,1072.0,25184.0
129,2020-05-30,1008.0,26192.0
130,2020-05-31,851.0,27043.0
131,2020-06-01,719.0,27762.0
132,2020-06-02,887.0,28649.0
133,2020-06-03,710.0,29359.0
