,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,0.0,0.0
52,2020-03-14,0.0,0.0
53,2020-03-15,0.0,0.0
54,2020-03-16,0.0,0.0
55,2020-03-17,0.0,0.0
56,2020-03-18,3.0,3.0
57,2020-03-19,0.0,3.0
58,2020-03-20,3.0,6.0
59,2020-03-21,8.0,14.0
60,2020-03-22,0.0,14.0
61,2020-03-23,2.0,16.0
62,2020-03-24,26.0,42.0
63,2020-03-25,2.0,44.0
64,2020-03-26,0.0,44.0
65,2020-03-27,14.0,58.0
66,2020-03-28,0.0,58.0
67,2020-03-29,26.0,84.0
68,2020-03-30,10.0,94.0
69,2020-03-31,13.0,107.0
70,2020-04-01,4.0,111.0
71,2020-04-02,5.0,116.0
72,2020-04-03,14.0,130.0
73,2020-04-04,14.0,144.0
74,2020-04-05,3.0,147.0
75,2020-04-06,69.0,216.0
76,2020-04-07,12.0,228.0
77,2020-04-08,42.0,270.0
78,2020-04-09,10.0,280.0
79,2020-04-10,18.0,298.0
80,2020-04-11,41.0,339.0
81,2020-04-12,38.0,377.0
82,2020-04-13,42.0,419.0
83,2020-04-14,11.0,430.0
84,2020-04-15,19.0,449.0
85,2020-04-16,17.0,466.0
86,2020-04-17,23.0,489.0
87,2020-04-18,17.0,506.0
88,2020-04-19,48.0,554.0
89,2020-04-20,14.0,568.0
90,2020-04-21,22.0,590.0
91,2020-04-22,22.0,612.0
92,2020-04-23,19.0,631.0
93,2020-04-24,34.0,665.0
94,2020-04-25,0.0,665.0
95,2020-04-26,17.0,682.0
96,2020-04-27,13.0,695.0
97,2020-04-28,13.0,708.0
98,2020-04-29,21.0,729.0
99,2020-04-30,17.0,746.0
100,2020-05-01,10.0,756.0
101,2020-05-02,13.0,769.0
102,2020-05-03,26.0,795.0
103,2020-05-04,35.0,830.0
104,2020-05-05,13.0,843.0
105,2020-05-06,28.0,871.0
106,2020-05-07,24.0,895.0
107,2020-05-08,11.0,906.0
108,2020-05-09,25.0,931.0
109,2020-05-10,71.0,1002.0
110,2020-05-11,14.0,1016.0
111,2020-05-12,21.0,1037.0
112,2020-05-13,7.0,1044.0
113,2020-05-14,38.0,1082.0
114,2020-05-15,29.0,1111.0
115,2020-05-16,6.0,1117.0
116,2020-05-17,21.0,1138.0
117,2020-05-18,78.0,1216.0
118,2020-05-19,27.0,1243.0
119,2020-05-20,27.0,1270.0
120,2020-05-21,43.0,1313.0
121,2020-05-22,37.0,1350.0
122,2020-05-23,15.0,1365.0
123,2020-05-24,38.0,1403.0
124,2020-05-25,30.0,1433.0
125,2020-05-26,35.0,1468.0
126,2020-05-27,52.0,1520.0
127,2020-05-28,74.0,1594.0
128,2020-05-29,68.0,1662.0
129,2020-05-30,60.0,1722.0
130,2020-05-31,26.0,1748.0
131,2020-06-01,69.0,1817.0
132,2020-06-02,28.0,1845.0
133,2020-06-03,26.0,1871.0
134,2020-06-04,28.0,1899.0
135,2020-06-05,37.0,1936.0
