,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,1.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,1.0,2.0
47,2020-03-09,4.0,6.0
48,2020-03-10,2.0,8.0
49,2020-03-11,2.0,10.0
50,2020-03-12,0.0,10.0
51,2020-03-13,7.0,17.0
52,2020-03-14,9.0,26.0
53,2020-03-15,4.0,30.0
54,2020-03-16,4.0,34.0
55,2020-03-17,15.0,49.0
56,2020-03-18,22.0,71.0
57,2020-03-19,15.0,86.0
58,2020-03-20,25.0,111.0
59,2020-03-21,13.0,124.0
60,2020-03-22,15.0,139.0
61,2020-03-23,41.0,180.0
62,2020-03-24,17.0,197.0
63,2020-03-25,24.0,221.0
64,2020-03-26,23.0,244.0
65,2020-03-27,36.0,280.0
66,2020-03-28,25.0,305.0
67,2020-03-29,42.0,347.0
68,2020-03-30,29.0,376.0
69,2020-03-31,22.0,398.0
70,2020-04-01,48.0,446.0
71,2020-04-02,12.0,458.0
72,2020-04-03,35.0,493.0
73,2020-04-04,16.0,509.0
74,2020-04-05,24.0,533.0
75,2020-04-06,9.0,542.0
76,2020-04-07,6.0,548.0
77,2020-04-08,29.0,577.0
78,2020-04-09,12.0,589.0
79,2020-04-10,23.0,612.0
80,2020-04-11,18.0,630.0
81,2020-04-12,21.0,651.0
82,2020-04-13,4.0,655.0
83,2020-04-14,2.0,657.0
84,2020-04-15,9.0,666.0
85,2020-04-16,9.0,675.0
86,2020-04-17,7.0,682.0
87,2020-04-18,30.0,712.0
88,2020-04-19,15.0,727.0
89,2020-04-20,12.0,739.0
90,2020-04-21,9.0,748.0
91,2020-04-22,13.0,761.0
92,2020-04-23,17.0,778.0
93,2020-04-24,6.0,784.0
94,2020-04-25,20.0,804.0
95,2020-04-26,8.0,812.0
96,2020-04-27,6.0,818.0
97,2020-04-28,18.0,836.0
98,2020-04-29,13.0,849.0
99,2020-04-30,9.0,858.0
100,2020-05-01,12.0,870.0
101,2020-05-02,1.0,871.0
102,2020-05-03,8.0,879.0
103,2020-05-04,17.0,896.0
104,2020-05-05,0.0,896.0
105,2020-05-06,4.0,900.0
106,2020-05-07,9.0,909.0
107,2020-05-08,19.0,928.0
108,2020-05-09,2.0,930.0
109,2020-05-10,9.0,939.0
110,2020-05-11,7.0,946.0
111,2020-05-12,4.0,950.0
112,2020-05-13,1.0,951.0
113,2020-05-14,11.0,962.0
114,2020-05-15,8.0,970.0
115,2020-05-16,27.0,997.0
116,2020-05-17,11.0,1008.0
117,2020-05-18,1.0,1009.0
118,2020-05-19,3.0,1012.0
119,2020-05-20,4.0,1016.0
120,2020-05-21,9.0,1025.0
121,2020-05-22,5.0,1030.0
122,2020-05-23,16.0,1046.0
123,2020-05-24,1.0,1047.0
124,2020-05-25,2.0,1049.0
125,2020-05-26,4.0,1053.0
126,2020-05-27,4.0,1057.0
127,2020-05-28,4.0,1061.0
128,2020-05-29,3.0,1064.0
129,2020-05-30,1.0,1065.0
130,2020-05-31,1.0,1066.0
131,2020-06-01,0.0,1066.0
132,2020-06-02,5.0,1071.0
133,2020-06-03,8.0,1079.0
134,2020-06-04,3.0,1082.0
135,2020-06-05,3.0,1085.0
