,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,1.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,1.0,2.0
45,2020-03-07,0.0,2.0
46,2020-03-08,1.0,3.0
47,2020-03-09,0.0,3.0
48,2020-03-10,2.0,5.0
49,2020-03-11,2.0,7.0
50,2020-03-12,12.0,19.0
51,2020-03-13,15.0,34.0
52,2020-03-14,17.0,51.0
53,2020-03-15,8.0,59.0
54,2020-03-16,18.0,77.0
55,2020-03-17,63.0,140.0
56,2020-03-18,63.0,203.0
57,2020-03-19,132.0,335.0
58,2020-03-20,149.0,484.0
59,2020-03-21,186.0,670.0
60,2020-03-22,128.0,798.0
61,2020-03-23,77.0,875.0
62,2020-03-24,224.0,1099.0
63,2020-03-25,234.0,1333.0
64,2020-03-26,120.0,1453.0
65,2020-03-27,152.0,1605.0
66,2020-03-28,226.0,1831.0
67,2020-03-29,119.0,1950.0
68,2020-03-30,38.0,1988.0
69,2020-03-31,190.0,2178.0
70,2020-04-01,141.0,2319.0
71,2020-04-02,168.0,2487.0
72,2020-04-03,125.0,2612.0
73,2020-04-04,117.0,2729.0
74,2020-04-05,75.0,2804.0
75,2020-04-06,39.0,2843.0
76,2020-04-07,127.0,2970.0
77,2020-04-08,64.0,3034.0
78,2020-04-09,81.0,3115.0
79,2020-04-10,108.0,3223.0
80,2020-04-11,47.0,3270.0
81,2020-04-12,11.0,3281.0
82,2020-04-13,11.0,3292.0
83,2020-04-14,15.0,3307.0
84,2020-04-15,66.0,3373.0
85,2020-04-16,71.0,3444.0
86,2020-04-17,36.0,3480.0
87,2020-04-18,57.0,3537.0
88,2020-04-19,13.0,3550.0
89,2020-04-20,8.0,3558.0
90,2020-04-21,60.0,3618.0
91,2020-04-22,36.0,3654.0
92,2020-04-23,11.0,3665.0
93,2020-04-24,30.0,3695.0
94,2020-04-25,16.0,3711.0
95,2020-04-26,12.0,3723.0
96,2020-04-27,6.0,3729.0
97,2020-04-28,12.0,3741.0
98,2020-04-29,28.0,3769.0
99,2020-04-30,15.0,3784.0
100,2020-05-01,18.0,3802.0
101,2020-05-02,10.0,3812.0
102,2020-05-03,12.0,3824.0
103,2020-05-04,4.0,3828.0
104,2020-05-05,12.0,3840.0
105,2020-05-06,11.0,3851.0
106,2020-05-07,8.0,3859.0
107,2020-05-08,12.0,3871.0
108,2020-05-09,6.0,3877.0
109,2020-05-10,9.0,3886.0
110,2020-05-11,2.0,3888.0
111,2020-05-12,6.0,3894.0
112,2020-05-13,10.0,3904.0
113,2020-05-14,11.0,3915.0
114,2020-05-15,8.0,3923.0
115,2020-05-16,7.0,3930.0
116,2020-05-17,15.0,3945.0
117,2020-05-18,2.0,3947.0
118,2020-05-19,11.0,3958.0
119,2020-05-20,13.0,3971.0
120,2020-05-21,9.0,3980.0
121,2020-05-22,1.0,3981.0
122,2020-05-23,9.0,3990.0
123,2020-05-24,2.0,3992.0
124,2020-05-25,1.0,3993.0
125,2020-05-26,2.0,3995.0
126,2020-05-27,6.0,4001.0
127,2020-05-28,7.0,4008.0
128,2020-05-29,4.0,4012.0
129,2020-05-30,4.0,4016.0
130,2020-05-31,2.0,4018.0
131,2020-06-01,1.0,4019.0
132,2020-06-02,1.0,4020.0
