,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,1.0,1.0
38,2020-02-29,3.0,4.0
39,2020-03-01,1.0,5.0
40,2020-03-02,0.0,5.0
41,2020-03-03,0.0,5.0
42,2020-03-04,0.0,5.0
43,2020-03-05,0.0,5.0
44,2020-03-06,1.0,6.0
45,2020-03-07,0.0,6.0
46,2020-03-08,1.0,7.0
47,2020-03-09,0.0,7.0
48,2020-03-10,0.0,7.0
49,2020-03-11,1.0,8.0
50,2020-03-12,4.0,12.0
51,2020-03-13,14.0,26.0
52,2020-03-14,15.0,41.0
53,2020-03-15,12.0,53.0
54,2020-03-16,29.0,82.0
55,2020-03-17,11.0,93.0
56,2020-03-18,25.0,118.0
57,2020-03-19,46.0,164.0
58,2020-03-20,39.0,203.0
59,2020-03-21,48.0,251.0
60,2020-03-22,65.0,316.0
61,2020-03-23,51.0,367.0
62,2020-03-24,38.0,405.0
63,2020-03-25,70.0,475.0
64,2020-03-26,110.0,585.0
65,2020-03-27,132.0,717.0
66,2020-03-28,131.0,848.0
67,2020-03-29,145.0,993.0
68,2020-03-30,101.0,1094.0
69,2020-03-31,121.0,1215.0
70,2020-04-01,163.0,1378.0
71,2020-04-02,132.0,1510.0
72,2020-04-03,178.0,1688.0
73,2020-04-04,202.0,1890.0
74,2020-04-05,253.0,2143.0
75,2020-04-06,296.0,2439.0
76,2020-04-07,346.0,2785.0
77,2020-04-08,396.0,3181.0
78,2020-04-09,260.0,3441.0
79,2020-04-10,403.0,3844.0
80,2020-04-11,375.0,4219.0
81,2020-04-12,442.0,4661.0
82,2020-04-13,353.0,5014.0
83,2020-04-14,385.0,5399.0
84,2020-04-15,448.0,5847.0
85,2020-04-16,450.0,6297.0
86,2020-04-17,578.0,6875.0
87,2020-04-18,622.0,7497.0
88,2020-04-19,764.0,8261.0
89,2020-04-20,511.0,8772.0
90,2020-04-21,729.0,9501.0
91,2020-04-22,1043.0,10544.0
92,2020-04-23,1089.0,11633.0
93,2020-04-24,1239.0,12872.0
94,2020-04-25,970.0,13842.0
95,2020-04-26,835.0,14677.0
96,2020-04-27,852.0,15529.0
97,2020-04-28,1223.0,16752.0
98,2020-04-29,1047.0,17799.0
99,2020-04-30,1425.0,19224.0
100,2020-05-01,1515.0,20739.0
101,2020-05-02,1349.0,22088.0
102,2020-05-03,1383.0,23471.0
103,2020-05-04,1434.0,24905.0
104,2020-05-05,1120.0,26025.0
105,2020-05-06,1609.0,27634.0
106,2020-05-07,1982.0,29616.0
107,2020-05-08,1906.0,31522.0
108,2020-05-09,1938.0,33460.0
109,2020-05-10,1562.0,35022.0
110,2020-05-11,1305.0,36327.0
111,2020-05-12,1997.0,38324.0
112,2020-05-13,1862.0,40186.0
113,2020-05-14,2409.0,42595.0
114,2020-05-15,2437.0,45032.0
115,2020-05-16,2112.0,47144.0
116,2020-05-17,2075.0,49219.0
117,2020-05-18,2414.0,51633.0
118,2020-05-19,2713.0,54346.0
119,2020-05-20,2248.0,56594.0
120,2020-05-21,2973.0,59567.0
121,2020-05-22,2960.0,62527.0
122,2020-05-23,3329.0,65856.0
123,2020-05-24,2764.0,68620.0
124,2020-05-25,2485.0,71105.0
125,2020-05-26,3455.0,74560.0
126,2020-05-27,3463.0,78023.0
127,2020-05-28,3377.0,81400.0
128,2020-05-29,3227.0,84627.0
129,2020-05-30,2885.0,87512.0
130,2020-05-31,3152.0,90664.0
131,2020-06-01,2771.0,93435.0
