,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,1.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,5.0,6.0
39,2020-03-01,4.0,10.0
40,2020-03-02,8.0,18.0
41,2020-03-03,6.0,24.0
42,2020-03-04,14.0,38.0
43,2020-03-05,44.0,82.0
44,2020-03-06,46.0,128.0
45,2020-03-07,60.0,188.0
46,2020-03-08,77.0,265.0
47,2020-03-09,56.0,321.0
48,2020-03-10,61.0,382.0
49,2020-03-11,121.0,503.0
50,2020-03-12,0.0,503.0
51,2020-03-13,303.0,806.0
52,2020-03-14,156.0,962.0
53,2020-03-15,176.0,1138.0
54,2020-03-16,278.0,1416.0
55,2020-03-17,295.0,1711.0
56,2020-03-18,347.0,2058.0
57,2020-03-19,409.0,2467.0
58,2020-03-20,536.0,3003.0
59,2020-03-21,637.0,3640.0
60,2020-03-22,577.0,4217.0
61,2020-03-23,547.0,4764.0
62,2020-03-24,816.0,5580.0
63,2020-03-25,858.0,6438.0
64,2020-03-26,1030.0,7468.0
65,2020-03-27,1179.0,8647.0
66,2020-03-28,1172.0,9819.0
67,2020-03-29,1111.0,10930.0
68,2020-03-30,887.0,11817.0
69,2020-03-31,850.0,12667.0
70,2020-04-01,1029.0,13696.0
71,2020-04-02,1092.0,14788.0
72,2020-04-03,1033.0,15821.0
73,2020-04-04,906.0,16727.0
74,2020-04-05,1226.0,17953.0
75,2020-04-06,973.0,18926.0
76,2020-04-07,783.0,19709.0
77,2020-04-08,973.0,20682.0
78,2020-04-09,1221.0,21903.0
79,2020-04-10,1346.0,23249.0
80,2020-04-11,1322.0,24571.0
81,2020-04-12,1175.0,25746.0
82,2020-04-13,964.0,26710.0
83,2020-04-14,870.0,27580.0
84,2020-04-15,736.0,28316.0
85,2020-04-16,1067.0,29383.0
86,2020-04-17,1236.0,30619.0
87,2020-04-18,1147.0,31766.0
88,2020-04-19,1072.0,32838.0
89,2020-04-20,750.0,33588.0
90,2020-04-21,729.0,34317.0
91,2020-04-22,715.0,35032.0
92,2020-04-23,889.0,35921.0
93,2020-04-24,808.0,36729.0
94,2020-04-25,655.0,37384.0
95,2020-04-26,656.0,38040.0
96,2020-04-27,400.0,38440.0
97,2020-04-28,172.0,38612.0
98,2020-04-29,386.0,38998.0
99,2020-04-30,514.0,39512.0
100,2020-05-01,477.0,39989.0
101,2020-05-02,445.0,40434.0
102,2020-05-03,335.0,40769.0
103,2020-05-04,199.0,40968.0
104,2020-05-05,318.0,41286.0
105,2020-05-06,232.0,41518.0
106,2020-05-07,455.0,41973.0
107,2020-05-08,319.0,42292.0
108,2020-05-09,289.0,42581.0
109,2020-05-10,245.0,42826.0
110,2020-05-11,161.0,42987.0
111,2020-05-12,196.0,43183.0
112,2020-05-13,227.0,43410.0
113,2020-05-14,270.0,43680.0
114,2020-05-15,200.0,43880.0
115,2020-05-16,190.0,44070.0
116,2020-05-17,125.0,44195.0
117,2020-05-18,146.0,44341.0
118,2020-05-19,108.0,44449.0
119,2020-05-20,198.0,44647.0
120,2020-05-21,253.0,44900.0
121,2020-05-22,188.0,45088.0
122,2020-05-23,177.0,45265.0
123,2020-05-24,172.0,45437.0
124,2020-05-25,210.0,45647.0
125,2020-05-26,133.0,45780.0
126,2020-05-27,190.0,45970.0
127,2020-05-28,182.0,46152.0
128,2020-05-29,176.0,46328.0
129,2020-05-30,132.0,46460.0
130,2020-05-31,185.0,46645.0
131,2020-06-01,104.0,46749.0
