,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,1.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,5.0,6.0
47,2020-03-09,1.0,7.0
48,2020-03-10,4.0,11.0
49,2020-03-11,0.0,11.0
50,2020-03-12,4.0,15.0
51,2020-03-13,13.0,28.0
52,2020-03-14,10.0,38.0
53,2020-03-15,5.0,43.0
54,2020-03-16,43.0,86.0
55,2020-03-17,31.0,117.0
56,2020-03-18,28.0,145.0
57,2020-03-19,89.0,234.0
58,2020-03-20,0.0,234.0
59,2020-03-21,84.0,318.0
60,2020-03-22,45.0,363.0
61,2020-03-23,32.0,395.0
62,2020-03-24,21.0,416.0
63,2020-03-25,64.0,480.0
64,2020-03-26,100.0,580.0
65,2020-03-27,55.0,635.0
66,2020-03-28,36.0,671.0
67,2020-03-29,181.0,852.0
68,2020-03-30,98.0,950.0
69,2020-03-31,115.0,1065.0
70,2020-04-01,258.0,1323.0
71,2020-04-02,91.0,1414.0
72,2020-04-03,181.0,1595.0
73,2020-04-04,151.0,1746.0
74,2020-04-05,535.0,2281.0
75,2020-04-06,280.0,2561.0
76,2020-04-07,393.0,2954.0
77,2020-04-08,1388.0,4342.0
78,2020-04-09,914.0,5256.0
79,2020-04-10,641.0,5897.0
80,2020-04-11,951.0,6848.0
81,2020-04-12,671.0,7519.0
82,2020-04-13,2265.0,9784.0
83,2020-04-14,519.0,10303.0
84,2020-04-15,1172.0,11475.0
85,2020-04-16,1016.0,12491.0
86,2020-04-17,998.0,13489.0
87,2020-04-18,931.0,14420.0
88,2020-04-19,1208.0,15628.0
89,2020-04-20,697.0,16325.0
90,2020-04-21,1512.0,17837.0
91,2020-04-22,1413.0,19250.0
92,2020-04-23,1664.0,20914.0
93,2020-04-24,734.0,21648.0
94,2020-04-25,3683.0,25331.0
95,2020-04-26,2186.0,27517.0
96,2020-04-27,1182.0,28699.0
97,2020-04-28,2491.0,31190.0
98,2020-04-29,2741.0,33931.0
99,2020-04-30,3045.0,36976.0
100,2020-05-01,3483.0,40459.0
101,2020-05-02,2075.0,42534.0
102,2020-05-03,3394.0,45928.0
103,2020-05-04,1444.0,47372.0
104,2020-05-05,3817.0,51189.0
105,2020-05-06,3628.0,54817.0
106,2020-05-07,3709.0,58526.0
107,2020-05-08,3321.0,61847.0
108,2020-05-09,3168.0,65015.0
109,2020-05-10,2292.0,67307.0
110,2020-05-11,1515.0,68822.0
111,2020-05-12,3237.0,72059.0
112,2020-05-13,4247.0,76306.0
113,2020-05-14,4298.0,80604.0
114,2020-05-15,3891.0,84495.0
115,2020-05-16,4046.0,88541.0
116,2020-05-17,3732.0,92273.0
117,2020-05-18,2660.0,94933.0
118,2020-05-19,4550.0,99483.0
119,2020-05-20,4537.0,104020.0
120,2020-05-21,4749.0,108769.0
121,2020-05-22,2929.0,111698.0
122,2020-05-23,4056.0,115754.0
123,2020-05-24,4205.0,119959.0
124,2020-05-25,4020.0,123979.0
125,2020-05-26,5772.0,129751.0
126,2020-05-27,6154.0,135905.0
127,2020-05-28,5874.0,141779.0
128,2020-05-29,6506.0,148285.0
129,2020-05-30,7386.0,155671.0
130,2020-05-31,8805.0,164476.0
