,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,2.0,2.0
10,2020-02-01,0.0,2.0
11,2020-02-02,0.0,2.0
12,2020-02-03,0.0,2.0
13,2020-02-04,0.0,2.0
14,2020-02-05,0.0,2.0
15,2020-02-06,0.0,2.0
16,2020-02-07,0.0,2.0
17,2020-02-08,0.0,2.0
18,2020-02-09,0.0,2.0
19,2020-02-10,0.0,2.0
20,2020-02-11,0.0,2.0
21,2020-02-12,0.0,2.0
22,2020-02-13,0.0,2.0
23,2020-02-14,0.0,2.0
24,2020-02-15,0.0,2.0
25,2020-02-16,0.0,2.0
26,2020-02-17,0.0,2.0
27,2020-02-18,0.0,2.0
28,2020-02-19,0.0,2.0
29,2020-02-20,0.0,2.0
30,2020-02-21,0.0,2.0
31,2020-02-22,0.0,2.0
32,2020-02-23,0.0,2.0
33,2020-02-24,0.0,2.0
34,2020-02-25,0.0,2.0
35,2020-02-26,0.0,2.0
36,2020-02-27,0.0,2.0
37,2020-02-28,0.0,2.0
38,2020-02-29,0.0,2.0
39,2020-03-01,0.0,2.0
40,2020-03-02,1.0,3.0
41,2020-03-03,0.0,3.0
42,2020-03-04,0.0,3.0
43,2020-03-05,1.0,4.0
44,2020-03-06,9.0,13.0
45,2020-03-07,0.0,13.0
46,2020-03-08,4.0,17.0
47,2020-03-09,0.0,17.0
48,2020-03-10,3.0,20.0
49,2020-03-11,0.0,20.0
50,2020-03-12,8.0,28.0
51,2020-03-13,17.0,45.0
52,2020-03-14,14.0,59.0
53,2020-03-15,4.0,63.0
54,2020-03-16,27.0,90.0
55,2020-03-17,24.0,114.0
56,2020-03-18,33.0,147.0
57,2020-03-19,52.0,199.0
58,2020-03-20,54.0,253.0
59,2020-03-21,53.0,306.0
60,2020-03-22,61.0,367.0
61,2020-03-23,71.0,438.0
62,2020-03-24,57.0,495.0
63,2020-03-25,163.0,658.0
64,2020-03-26,182.0,840.0
65,2020-03-27,196.0,1036.0
66,2020-03-28,228.0,1264.0
67,2020-03-29,270.0,1534.0
68,2020-03-30,302.0,1836.0
69,2020-03-31,501.0,2337.0
70,2020-04-01,440.0,2777.0
71,2020-04-02,771.0,3548.0
72,2020-04-03,601.0,4149.0
73,2020-04-04,582.0,4731.0
74,2020-04-05,658.0,5389.0
75,2020-04-06,954.0,6343.0
76,2020-04-07,1154.0,7497.0
77,2020-04-08,1175.0,8672.0
78,2020-04-09,1459.0,10131.0
79,2020-04-10,1786.0,11917.0
80,2020-04-11,1667.0,13584.0
81,2020-04-12,2186.0,15770.0
82,2020-04-13,2558.0,18328.0
83,2020-04-14,2774.0,21102.0
84,2020-04-15,3388.0,24490.0
85,2020-04-16,3448.0,27938.0
86,2020-04-17,4070.0,32008.0
87,2020-04-18,4785.0,36793.0
88,2020-04-19,6060.0,42853.0
89,2020-04-20,4268.0,47121.0
90,2020-04-21,5642.0,52763.0
91,2020-04-22,5236.0,57999.0
92,2020-04-23,4774.0,62773.0
93,2020-04-24,5849.0,68622.0
94,2020-04-25,5966.0,74588.0
95,2020-04-26,6361.0,80949.0
96,2020-04-27,6198.0,87147.0
97,2020-04-28,6411.0,93558.0
98,2020-04-29,5841.0,99399.0
99,2020-04-30,7099.0,106498.0
100,2020-05-01,7933.0,114431.0
101,2020-05-02,9623.0,124054.0
102,2020-05-03,10633.0,134687.0
103,2020-05-04,10581.0,145268.0
104,2020-05-05,10102.0,155370.0
105,2020-05-06,10559.0,165929.0
106,2020-05-07,11231.0,177160.0
107,2020-05-08,10699.0,187859.0
108,2020-05-09,10817.0,198676.0
109,2020-05-10,11012.0,209688.0
110,2020-05-11,11656.0,221344.0
111,2020-05-12,10899.0,232243.0
112,2020-05-13,10028.0,242271.0
113,2020-05-14,9974.0,252245.0
114,2020-05-15,10598.0,262843.0
115,2020-05-16,9200.0,272043.0
116,2020-05-17,9709.0,281752.0
117,2020-05-18,8926.0,290678.0
118,2020-05-19,9263.0,299941.0
119,2020-05-20,8764.0,308705.0
120,2020-05-21,8849.0,317554.0
121,2020-05-22,8894.0,326448.0
122,2020-05-23,9434.0,335882.0
123,2020-05-24,8599.0,344481.0
124,2020-05-25,8946.0,353427.0
125,2020-05-26,8915.0,362342.0
126,2020-05-27,8338.0,370680.0
127,2020-05-28,8371.0,379051.0
128,2020-05-29,8572.0,387623.0
129,2020-05-30,8952.0,396575.0
