,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,1.0,1.0
41,2020-03-03,1.0,2.0
42,2020-03-04,2.0,4.0
43,2020-03-05,0.0,4.0
44,2020-03-06,0.0,4.0
45,2020-03-07,0.0,4.0
46,2020-03-08,0.0,4.0
47,2020-03-09,0.0,4.0
48,2020-03-10,0.0,4.0
49,2020-03-11,0.0,4.0
50,2020-03-12,0.0,4.0
51,2020-03-13,6.0,10.0
52,2020-03-14,0.0,10.0
53,2020-03-15,14.0,24.0
54,2020-03-16,0.0,24.0
55,2020-03-17,2.0,26.0
56,2020-03-18,5.0,31.0
57,2020-03-19,0.0,31.0
58,2020-03-20,7.0,38.0
59,2020-03-21,9.0,47.0
60,2020-03-22,20.0,67.0
61,2020-03-23,12.0,79.0
62,2020-03-24,7.0,86.0
63,2020-03-25,13.0,99.0
64,2020-03-26,6.0,105.0
65,2020-03-27,14.0,119.0
66,2020-03-28,11.0,130.0
67,2020-03-29,12.0,142.0
68,2020-03-30,20.0,162.0
69,2020-03-31,13.0,175.0
70,2020-04-01,15.0,190.0
71,2020-04-02,5.0,195.0
72,2020-04-03,12.0,207.0
73,2020-04-04,12.0,219.0
74,2020-04-05,3.0,222.0
75,2020-04-06,4.0,226.0
76,2020-04-07,11.0,237.0
77,2020-04-08,7.0,244.0
78,2020-04-09,6.0,250.0
79,2020-04-10,15.0,265.0
80,2020-04-11,13.0,278.0
81,2020-04-12,2.0,280.0
82,2020-04-13,11.0,291.0
83,2020-04-14,8.0,299.0
84,2020-04-15,15.0,314.0
85,2020-04-16,21.0,335.0
86,2020-04-17,7.0,342.0
87,2020-04-18,8.0,350.0
88,2020-04-19,17.0,367.0
89,2020-04-20,10.0,377.0
90,2020-04-21,35.0,412.0
91,2020-04-22,30.0,442.0
92,2020-04-23,37.0,479.0
93,2020-04-24,66.0,545.0
94,2020-04-25,69.0,614.0
95,2020-04-26,57.0,671.0
96,2020-04-27,65.0,736.0
97,2020-04-28,87.0,823.0
98,2020-04-29,59.0,882.0
99,2020-04-30,51.0,933.0
100,2020-05-01,91.0,1024.0
101,2020-05-02,91.0,1115.0
102,2020-05-03,67.0,1182.0
103,2020-05-04,89.0,1271.0
104,2020-05-05,58.0,1329.0
105,2020-05-06,104.0,1433.0
106,2020-05-07,59.0,1492.0
107,2020-05-08,59.0,1551.0
108,2020-05-09,83.0,1634.0
109,2020-05-10,75.0,1709.0
110,2020-05-11,177.0,1886.0
111,2020-05-12,109.0,1995.0
112,2020-05-13,110.0,2105.0
113,2020-05-14,84.0,2189.0
114,2020-05-15,121.0,2310.0
115,2020-05-16,119.0,2429.0
116,2020-05-17,51.0,2480.0
117,2020-05-18,64.0,2544.0
118,2020-05-19,73.0,2617.0
119,2020-05-20,97.0,2714.0
120,2020-05-21,98.0,2812.0
121,2020-05-22,97.0,2909.0
122,2020-05-23,67.0,2976.0
123,2020-05-24,71.0,3047.0
124,2020-05-25,83.0,3130.0
125,2020-05-26,31.0,3161.0
126,2020-05-27,92.0,3253.0
127,2020-05-28,95.0,3348.0
128,2020-05-29,81.0,3429.0
129,2020-05-30,106.0,3535.0
130,2020-05-31,110.0,3645.0
131,2020-06-01,94.0,3739.0
132,2020-06-02,97.0,3836.0
133,2020-06-03,96.0,3932.0
134,2020-06-04,89.0,4021.0
