,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,1.0,1.0
2,2020-01-24,2.0,3.0
3,2020-01-25,0.0,3.0
4,2020-01-26,1.0,4.0
5,2020-01-27,1.0,5.0
6,2020-01-28,2.0,7.0
7,2020-01-29,0.0,7.0
8,2020-01-30,3.0,10.0
9,2020-01-31,3.0,13.0
10,2020-02-01,3.0,16.0
11,2020-02-02,2.0,18.0
12,2020-02-03,0.0,18.0
13,2020-02-04,6.0,24.0
14,2020-02-05,4.0,28.0
15,2020-02-06,0.0,28.0
16,2020-02-07,2.0,30.0
17,2020-02-08,3.0,33.0
18,2020-02-09,7.0,40.0
19,2020-02-10,5.0,45.0
20,2020-02-11,2.0,47.0
21,2020-02-12,3.0,50.0
22,2020-02-13,8.0,58.0
23,2020-02-14,9.0,67.0
24,2020-02-15,5.0,72.0
25,2020-02-16,3.0,75.0
26,2020-02-17,2.0,77.0
27,2020-02-18,4.0,81.0
28,2020-02-19,3.0,84.0
29,2020-02-20,0.0,84.0
30,2020-02-21,1.0,85.0
31,2020-02-22,0.0,85.0
32,2020-02-23,4.0,89.0
33,2020-02-24,0.0,89.0
34,2020-02-25,2.0,91.0
35,2020-02-26,2.0,93.0
36,2020-02-27,0.0,93.0
37,2020-02-28,0.0,93.0
38,2020-02-29,9.0,102.0
39,2020-03-01,4.0,106.0
40,2020-03-02,2.0,108.0
41,2020-03-03,2.0,110.0
42,2020-03-04,0.0,110.0
43,2020-03-05,7.0,117.0
44,2020-03-06,13.0,130.0
45,2020-03-07,8.0,138.0
46,2020-03-08,12.0,150.0
47,2020-03-09,0.0,150.0
48,2020-03-10,10.0,160.0
49,2020-03-11,18.0,178.0
50,2020-03-12,0.0,178.0
51,2020-03-13,22.0,200.0
52,2020-03-14,12.0,212.0
53,2020-03-15,14.0,226.0
54,2020-03-16,17.0,243.0
55,2020-03-17,23.0,266.0
56,2020-03-18,47.0,313.0
57,2020-03-19,32.0,345.0
58,2020-03-20,40.0,385.0
59,2020-03-21,47.0,432.0
60,2020-03-22,23.0,455.0
61,2020-03-23,54.0,509.0
62,2020-03-24,49.0,558.0
63,2020-03-25,73.0,631.0
64,2020-03-26,52.0,683.0
65,2020-03-27,49.0,732.0
66,2020-03-28,70.0,802.0
67,2020-03-29,42.0,844.0
68,2020-03-30,35.0,879.0
69,2020-03-31,47.0,926.0
70,2020-04-01,74.0,1000.0
71,2020-04-02,49.0,1049.0
72,2020-04-03,65.0,1114.0
73,2020-04-04,75.0,1189.0
74,2020-04-05,120.0,1309.0
75,2020-04-06,66.0,1375.0
76,2020-04-07,106.0,1481.0
77,2020-04-08,142.0,1623.0
78,2020-04-09,287.0,1910.0
79,2020-04-10,198.0,2108.0
80,2020-04-11,191.0,2299.0
81,2020-04-12,233.0,2532.0
82,2020-04-13,386.0,2918.0
83,2020-04-14,334.0,3252.0
84,2020-04-15,447.0,3699.0
