,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,1.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,2.0,3.0
47,2020-03-09,0.0,3.0
48,2020-03-10,4.0,7.0
49,2020-03-11,6.0,13.0
50,2020-03-12,4.0,17.0
51,2020-03-13,7.0,24.0
52,2020-03-14,14.0,38.0
53,2020-03-15,13.0,51.0
54,2020-03-16,11.0,62.0
55,2020-03-17,0.0,62.0
56,2020-03-18,54.0,116.0
57,2020-03-19,34.0,150.0
58,2020-03-20,52.0,202.0
59,2020-03-21,38.0,240.0
60,2020-03-22,34.0,274.0
61,2020-03-23,128.0,402.0
62,2020-03-24,152.0,554.0
63,2020-03-25,155.0,709.0
64,2020-03-26,218.0,927.0
65,2020-03-27,243.0,1170.0
66,2020-03-28,17.0,1187.0
67,2020-03-29,93.0,1280.0
68,2020-03-30,46.0,1326.0
69,2020-03-31,27.0,1353.0
70,2020-04-01,27.0,1380.0
71,2020-04-02,82.0,1462.0
72,2020-04-03,43.0,1505.0
73,2020-04-04,80.0,1585.0
74,2020-04-05,70.0,1655.0
75,2020-04-06,31.0,1686.0
76,2020-04-07,63.0,1749.0
77,2020-04-08,96.0,1845.0
78,2020-04-09,89.0,1934.0
79,2020-04-10,69.0,2003.0
80,2020-04-11,25.0,2028.0
81,2020-04-12,145.0,2173.0
82,2020-04-13,99.0,2272.0
83,2020-04-14,143.0,2415.0
84,2020-04-15,91.0,2506.0
85,2020-04-16,99.0,2605.0
86,2020-04-17,178.0,2783.0
87,2020-04-18,251.0,3034.0
88,2020-04-19,124.0,3158.0
89,2020-04-20,142.0,3300.0
90,2020-04-21,165.0,3465.0
91,2020-04-22,170.0,3635.0
92,2020-04-23,318.0,3953.0
93,2020-04-24,267.0,4220.0
94,2020-04-25,141.0,4361.0
95,2020-04-26,185.0,4546.0
96,2020-04-27,247.0,4793.0
97,2020-04-28,203.0,4996.0
98,2020-04-29,354.0,5350.0
99,2020-04-30,297.0,5647.0
100,2020-05-01,304.0,5951.0
101,2020-05-02,385.0,6336.0
102,2020-05-03,447.0,6783.0
103,2020-05-04,437.0,7220.0
104,2020-05-05,352.0,7572.0
105,2020-05-06,236.0,7808.0
106,2020-05-07,424.0,8232.0
107,2020-05-08,663.0,8895.0
108,2020-05-09,525.0,9420.0
109,2020-05-10,595.0,10015.0
110,2020-05-11,637.0,10652.0
111,2020-05-12,698.0,11350.0
112,2020-05-13,724.0,12074.0
113,2020-05-14,665.0,12739.0
114,2020-05-15,785.0,13524.0
115,2020-05-16,831.0,14355.0
116,2020-05-17,1160.0,15515.0
117,2020-05-18,918.0,16433.0
118,2020-05-19,767.0,17200.0
119,2020-05-20,803.0,18003.0
120,2020-05-21,1134.0,19137.0
121,2020-05-22,988.0,20125.0
122,2020-05-23,1218.0,21343.0
123,2020-05-24,1240.0,22583.0
124,2020-05-25,1032.0,23615.0
125,2020-05-26,649.0,24264.0
126,2020-05-27,1673.0,25937.0
127,2020-05-28,1466.0,27403.0
128,2020-05-29,1837.0,29240.0
129,2020-05-30,1727.0,30967.0
130,2020-05-31,1716.0,32683.0
131,2020-06-01,1674.0,34357.0
132,2020-06-02,1455.0,35812.0
