,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,1.0,1.0
6,2020-01-28,0.0,1.0
7,2020-01-29,0.0,1.0
8,2020-01-30,0.0,1.0
9,2020-01-31,0.0,1.0
10,2020-02-01,0.0,1.0
11,2020-02-02,0.0,1.0
12,2020-02-03,0.0,1.0
13,2020-02-04,0.0,1.0
14,2020-02-05,0.0,1.0
15,2020-02-06,0.0,1.0
16,2020-02-07,0.0,1.0
17,2020-02-08,0.0,1.0
18,2020-02-09,0.0,1.0
19,2020-02-10,0.0,1.0
20,2020-02-11,0.0,1.0
21,2020-02-12,0.0,1.0
22,2020-02-13,0.0,1.0
23,2020-02-14,0.0,1.0
24,2020-02-15,0.0,1.0
25,2020-02-16,0.0,1.0
26,2020-02-17,0.0,1.0
27,2020-02-18,0.0,1.0
28,2020-02-19,0.0,1.0
29,2020-02-20,0.0,1.0
30,2020-02-21,0.0,1.0
31,2020-02-22,0.0,1.0
32,2020-02-23,0.0,1.0
33,2020-02-24,0.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,0.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,0.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,0.0,1.0
49,2020-03-11,1.0,2.0
50,2020-03-12,0.0,2.0
51,2020-03-13,4.0,6.0
52,2020-03-14,4.0,10.0
53,2020-03-15,8.0,18.0
54,2020-03-16,10.0,28.0
55,2020-03-17,16.0,44.0
56,2020-03-18,7.0,51.0
57,2020-03-19,9.0,60.0
58,2020-03-20,13.0,73.0
59,2020-03-21,4.0,77.0
60,2020-03-22,5.0,82.0
61,2020-03-23,15.0,97.0
62,2020-03-24,5.0,102.0
63,2020-03-25,0.0,102.0
64,2020-03-26,4.0,106.0
65,2020-03-27,0.0,106.0
66,2020-03-28,7.0,113.0
67,2020-03-29,4.0,117.0
68,2020-03-30,5.0,122.0
69,2020-03-31,21.0,143.0
70,2020-04-01,3.0,146.0
71,2020-04-02,5.0,151.0
72,2020-04-03,8.0,159.0
73,2020-04-04,7.0,166.0
74,2020-04-05,10.0,176.0
75,2020-04-06,2.0,178.0
76,2020-04-07,7.0,185.0
77,2020-04-08,4.0,189.0
78,2020-04-09,1.0,190.0
79,2020-04-10,0.0,190.0
80,2020-04-11,8.0,198.0
81,2020-04-12,12.0,210.0
82,2020-04-13,7.0,217.0
83,2020-04-14,16.0,233.0
84,2020-04-15,5.0,238.0
85,2020-04-16,0.0,238.0
86,2020-04-17,6.0,244.0
87,2020-04-18,10.0,254.0
88,2020-04-19,17.0,271.0
89,2020-04-20,33.0,304.0
90,2020-04-21,6.0,310.0
91,2020-04-22,20.0,330.0
92,2020-04-23,38.0,368.0
93,2020-04-24,52.0,420.0
94,2020-04-25,40.0,460.0
95,2020-04-26,63.0,523.0
96,2020-04-27,65.0,588.0
97,2020-04-28,31.0,619.0
98,2020-04-29,30.0,649.0
99,2020-04-30,14.0,663.0
100,2020-05-01,27.0,690.0
101,2020-05-02,15.0,705.0
102,2020-05-03,13.0,718.0
103,2020-05-04,33.0,751.0
104,2020-05-05,20.0,771.0
105,2020-05-06,26.0,797.0
106,2020-05-07,27.0,824.0
107,2020-05-08,11.0,835.0
108,2020-05-09,12.0,847.0
109,2020-05-10,16.0,863.0
110,2020-05-11,6.0,869.0
111,2020-05-12,20.0,889.0
112,2020-05-13,26.0,915.0
113,2020-05-14,10.0,925.0
114,2020-05-15,10.0,935.0
115,2020-05-16,25.0,960.0
116,2020-05-17,21.0,981.0
117,2020-05-18,11.0,992.0
118,2020-05-19,35.0,1027.0
119,2020-05-20,1.0,1028.0
120,2020-05-21,27.0,1055.0
121,2020-05-22,13.0,1068.0
122,2020-05-23,21.0,1089.0
123,2020-05-24,52.0,1141.0
124,2020-05-25,41.0,1182.0
125,2020-05-26,137.0,1319.0
126,2020-05-27,150.0,1469.0
127,2020-05-28,61.0,1530.0
128,2020-05-29,28.0,1558.0
129,2020-05-30,62.0,1620.0
130,2020-05-31,13.0,1633.0
131,2020-06-01,10.0,1643.0
132,2020-06-02,40.0,1683.0
133,2020-06-03,66.0,1749.0
134,2020-06-04,48.0,1797.0
135,2020-06-05,4.0,1801.0
