,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,1.0,1.0
11,2020-02-02,0.0,1.0
12,2020-02-03,0.0,1.0
13,2020-02-04,0.0,1.0
14,2020-02-05,0.0,1.0
15,2020-02-06,0.0,1.0
16,2020-02-07,0.0,1.0
17,2020-02-08,0.0,1.0
18,2020-02-09,0.0,1.0
19,2020-02-10,0.0,1.0
20,2020-02-11,0.0,1.0
21,2020-02-12,0.0,1.0
22,2020-02-13,0.0,1.0
23,2020-02-14,0.0,1.0
24,2020-02-15,0.0,1.0
25,2020-02-16,0.0,1.0
26,2020-02-17,0.0,1.0
27,2020-02-18,0.0,1.0
28,2020-02-19,0.0,1.0
29,2020-02-20,0.0,1.0
30,2020-02-21,0.0,1.0
31,2020-02-22,0.0,1.0
32,2020-02-23,0.0,1.0
33,2020-02-24,0.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,1.0,2.0
36,2020-02-27,1.0,3.0
37,2020-02-28,8.0,11.0
38,2020-02-29,3.0,14.0
39,2020-03-01,0.0,14.0
40,2020-03-02,5.0,19.0
41,2020-03-03,13.0,32.0
42,2020-03-04,30.0,62.0
43,2020-03-05,25.0,87.0
44,2020-03-06,59.0,146.0
45,2020-03-07,33.0,179.0
46,2020-03-08,46.0,225.0
47,2020-03-09,101.0,326.0
48,2020-03-10,98.0,424.0
49,2020-03-11,196.0,620.0
50,2020-03-12,151.0,771.0
51,2020-03-13,152.0,923.0
52,2020-03-14,71.0,994.0
53,2020-03-15,69.0,1063.0
54,2020-03-16,83.0,1146.0
55,2020-03-17,119.0,1265.0
56,2020-03-18,145.0,1410.0
57,2020-03-19,143.0,1553.0
58,2020-03-20,180.0,1733.0
59,2020-03-21,135.0,1868.0
60,2020-03-22,118.0,1986.0
61,2020-03-23,182.0,2168.0
62,2020-03-24,230.0,2398.0
63,2020-03-25,314.0,2712.0
64,2020-03-26,286.0,2998.0
65,2020-03-27,365.0,3363.0
66,2020-03-28,300.0,3663.0
67,2020-03-29,280.0,3943.0
68,2020-03-30,416.0,4359.0
69,2020-03-31,475.0,4834.0
70,2020-04-01,486.0,5320.0
71,2020-04-02,554.0,5874.0
72,2020-04-03,601.0,6475.0
73,2020-04-04,357.0,6832.0
74,2020-04-05,340.0,7172.0
75,2020-04-06,389.0,7561.0
76,2020-04-07,738.0,8299.0
77,2020-04-08,655.0,8954.0
78,2020-04-09,645.0,9599.0
79,2020-04-10,454.0,10053.0
80,2020-04-11,395.0,10448.0
81,2020-04-12,464.0,10912.0
82,2020-04-13,437.0,11349.0
83,2020-04-14,479.0,11828.0
84,2020-04-15,604.0,12432.0
85,2020-04-16,623.0,13055.0
86,2020-04-17,688.0,13743.0
87,2020-04-18,532.0,14275.0
88,2020-04-19,388.0,14663.0
89,2020-04-20,461.0,15124.0
90,2020-04-21,707.0,15831.0
91,2020-04-22,722.0,16553.0
92,2020-04-23,758.0,17311.0
93,2020-04-24,779.0,18090.0
94,2020-04-25,473.0,18563.0
95,2020-04-26,300.0,18863.0
96,2020-04-27,563.0,19426.0
97,2020-04-28,742.0,20168.0
98,2020-04-29,798.0,20966.0
99,2020-04-30,635.0,21601.0
100,2020-05-01,532.0,22133.0
101,2020-05-02,299.0,22432.0
102,2020-05-03,261.0,22693.0
103,2020-05-04,476.0,23169.0
104,2020-05-05,657.0,23826.0
105,2020-05-06,746.0,24572.0
106,2020-05-07,787.0,25359.0
107,2020-05-08,700.0,26059.0
108,2020-05-09,509.0,26568.0
109,2020-05-10,278.0,26846.0
110,2020-05-11,455.0,27301.0
111,2020-05-12,754.0,28055.0
112,2020-05-13,700.0,28755.0
113,2020-05-14,660.0,29415.0
114,2020-05-15,688.0,30103.0
115,2020-05-16,358.0,30461.0
116,2020-05-17,259.0,30720.0
117,2020-05-18,431.0,31151.0
118,2020-05-19,667.0,31818.0
119,2020-05-20,808.0,32626.0
120,2020-05-21,610.0,33236.0
121,2020-05-22,532.0,33768.0
122,2020-05-23,403.0,34171.0
123,2020-05-24,210.0,34381.0
124,2020-05-25,490.0,34871.0
125,2020-05-26,746.0,35617.0
126,2020-05-27,800.0,36417.0
127,2020-05-28,774.0,37191.0
128,2020-05-29,773.0,37964.0
129,2020-05-30,432.0,38396.0
130,2020-05-31,265.0,38661.0
131,2020-06-01,648.0,39309.0
132,2020-06-02,901.0,40210.0
