,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,1.0,1.0
35,2020-02-26,0.0,1.0
36,2020-02-27,7.0,8.0
37,2020-02-28,0.0,8.0
38,2020-02-29,10.0,18.0
39,2020-03-01,9.0,27.0
40,2020-03-02,15.0,42.0
41,2020-03-03,14.0,56.0
42,2020-03-04,34.0,90.0
43,2020-03-05,24.0,114.0
44,2020-03-06,100.0,214.0
45,2020-03-07,54.0,268.0
46,2020-03-08,69.0,337.0
47,2020-03-09,37.0,374.0
48,2020-03-10,117.0,491.0
49,2020-03-11,161.0,652.0
50,2020-03-12,0.0,652.0
51,2020-03-13,487.0,1139.0
52,2020-03-14,220.0,1359.0
53,2020-03-15,841.0,2200.0
54,2020-03-16,0.0,2200.0
55,2020-03-17,500.0,2700.0
56,2020-03-18,328.0,3028.0
57,2020-03-19,1047.0,4075.0
58,2020-03-20,1219.0,5294.0
59,2020-03-21,1281.0,6575.0
60,2020-03-22,899.0,7474.0
61,2020-03-23,1321.0,8795.0
62,2020-03-24,1082.0,9877.0
63,2020-03-25,1020.0,10897.0
64,2020-03-26,914.0,11811.0
65,2020-03-27,1117.0,12928.0
66,2020-03-28,1148.0,14076.0
67,2020-03-29,753.0,14829.0
68,2020-03-30,1093.0,15922.0
69,2020-03-31,683.0,16605.0
70,2020-04-01,1163.0,17768.0
71,2020-04-02,1059.0,18827.0
72,2020-04-03,779.0,19606.0
73,2020-04-04,899.0,20505.0
74,2020-04-05,595.0,21100.0
75,2020-04-06,557.0,21657.0
76,2020-04-07,596.0,22253.0
77,2020-04-08,1027.0,23280.0
78,2020-04-09,771.0,24051.0
79,2020-04-10,500.0,24551.0
80,2020-04-11,556.0,25107.0
81,2020-04-12,308.0,25415.0
82,2020-04-13,273.0,25688.0
83,2020-04-14,248.0,25936.0
84,2020-04-15,400.0,26336.0
85,2020-04-16,396.0,26732.0
86,2020-04-17,346.0,27078.0
87,2020-04-18,326.0,27404.0
88,2020-04-19,336.0,27740.0
89,2020-04-20,204.0,27944.0
90,2020-04-21,119.0,28063.0
91,2020-04-22,205.0,28268.0
92,2020-04-23,228.0,28496.0
93,2020-04-24,181.0,28677.0
94,2020-04-25,217.0,28894.0
95,2020-04-26,167.0,29061.0
96,2020-04-27,103.0,29164.0
97,2020-04-28,100.0,29264.0
98,2020-04-29,143.0,29407.0
99,2020-04-30,179.0,29586.0
100,2020-05-01,119.0,29705.0
101,2020-05-02,112.0,29817.0
102,2020-05-03,88.0,29905.0
103,2020-05-04,76.0,29981.0
104,2020-05-05,28.0,30009.0
105,2020-05-06,51.0,30060.0
106,2020-05-07,66.0,30126.0
107,2020-05-08,81.0,30207.0
108,2020-05-09,44.0,30251.0
109,2020-05-10,54.0,30305.0
110,2020-05-11,39.0,30344.0
111,2020-05-12,36.0,30380.0
112,2020-05-13,33.0,30413.0
113,2020-05-14,50.0,30463.0
114,2020-05-15,51.0,30514.0
115,2020-05-16,58.0,30572.0
116,2020-05-17,15.0,30587.0
117,2020-05-18,10.0,30597.0
118,2020-05-19,21.0,30618.0
119,2020-05-20,40.0,30658.0
120,2020-05-21,36.0,30694.0
121,2020-05-22,13.0,30707.0
122,2020-05-23,18.0,30725.0
123,2020-05-24,11.0,30736.0
124,2020-05-25,10.0,30746.0
125,2020-05-26,15.0,30761.0
126,2020-05-27,15.0,30776.0
127,2020-05-28,20.0,30796.0
128,2020-05-29,32.0,30828.0
129,2020-05-30,17.0,30845.0
130,2020-05-31,17.0,30862.0
131,2020-06-01,9.0,30871.0
