,dates,cases,cumul
0,2020-01-22,1.0,1.0
1,2020-01-23,0.0,1.0
2,2020-01-24,2.0,3.0
3,2020-01-25,0.0,3.0
4,2020-01-26,1.0,4.0
5,2020-01-27,1.0,5.0
6,2020-01-28,3.0,8.0
7,2020-01-29,0.0,8.0
8,2020-01-30,1.0,9.0
9,2020-01-31,1.0,10.0
10,2020-02-01,0.0,10.0
11,2020-02-02,0.0,10.0
12,2020-02-03,0.0,10.0
13,2020-02-04,1.0,11.0
14,2020-02-05,0.0,11.0
15,2020-02-06,5.0,16.0
16,2020-02-07,0.0,16.0
17,2020-02-08,1.0,17.0
18,2020-02-09,1.0,18.0
19,2020-02-10,0.0,18.0
20,2020-02-11,0.0,18.0
21,2020-02-12,0.0,18.0
22,2020-02-13,0.0,18.0
23,2020-02-14,0.0,18.0
24,2020-02-15,0.0,18.0
25,2020-02-16,2.0,20.0
26,2020-02-17,2.0,22.0
27,2020-02-18,0.0,22.0
28,2020-02-19,1.0,23.0
29,2020-02-20,1.0,24.0
30,2020-02-21,2.0,26.0
31,2020-02-22,0.0,26.0
32,2020-02-23,2.0,28.0
33,2020-02-24,2.0,30.0
34,2020-02-25,1.0,31.0
35,2020-02-26,1.0,32.0
36,2020-02-27,0.0,32.0
37,2020-02-28,2.0,34.0
38,2020-02-29,5.0,39.0
39,2020-03-01,1.0,40.0
40,2020-03-02,1.0,41.0
41,2020-03-03,1.0,42.0
42,2020-03-04,0.0,42.0
43,2020-03-05,2.0,44.0
44,2020-03-06,1.0,45.0
45,2020-03-07,0.0,45.0
46,2020-03-08,0.0,45.0
47,2020-03-09,0.0,45.0
48,2020-03-10,2.0,47.0
49,2020-03-11,1.0,48.0
50,2020-03-12,1.0,49.0
51,2020-03-13,1.0,50.0
52,2020-03-14,3.0,53.0
53,2020-03-15,6.0,59.0
54,2020-03-16,8.0,67.0
55,2020-03-17,10.0,77.0
56,2020-03-18,23.0,100.0
57,2020-03-19,8.0,108.0
58,2020-03-20,27.0,135.0
59,2020-03-21,18.0,153.0
60,2020-03-22,16.0,169.0
61,2020-03-23,26.0,195.0
62,2020-03-24,20.0,215.0
63,2020-03-25,20.0,235.0
64,2020-03-26,17.0,252.0
65,2020-03-27,15.0,267.0
66,2020-03-28,16.0,283.0
67,2020-03-29,15.0,298.0
68,2020-03-30,8.0,306.0
69,2020-03-31,16.0,322.0
70,2020-04-01,7.0,329.0
71,2020-04-02,10.0,339.0
72,2020-04-03,9.0,348.0
73,2020-04-04,7.0,355.0
74,2020-04-05,8.0,363.0
75,2020-04-06,10.0,373.0
76,2020-04-07,3.0,376.0
77,2020-04-08,3.0,379.0
78,2020-04-09,1.0,380.0
79,2020-04-10,2.0,382.0
80,2020-04-11,3.0,385.0
81,2020-04-12,3.0,388.0
82,2020-04-13,5.0,393.0
83,2020-04-14,0.0,393.0
84,2020-04-15,2.0,395.0
85,2020-04-16,0.0,395.0
86,2020-04-17,0.0,395.0
87,2020-04-18,3.0,398.0
88,2020-04-19,22.0,420.0
89,2020-04-20,2.0,422.0
90,2020-04-21,3.0,425.0
91,2020-04-22,1.0,426.0
92,2020-04-23,1.0,427.0
93,2020-04-24,1.0,428.0
94,2020-04-25,1.0,429.0
95,2020-04-26,0.0,429.0
96,2020-04-27,0.0,429.0
97,2020-04-28,0.0,429.0
98,2020-04-29,0.0,429.0
99,2020-04-30,0.0,429.0
100,2020-05-01,0.0,429.0
101,2020-05-02,3.0,432.0
102,2020-05-03,4.0,436.0
103,2020-05-04,2.0,438.0
104,2020-05-05,0.0,438.0
105,2020-05-06,1.0,439.0
106,2020-05-07,1.0,440.0
107,2020-05-08,0.0,440.0
108,2020-05-09,0.0,440.0
109,2020-05-10,0.0,440.0
110,2020-05-11,0.0,440.0
111,2020-05-12,0.0,440.0
112,2020-05-13,0.0,440.0
113,2020-05-14,0.0,440.0
114,2020-05-15,0.0,440.0
115,2020-05-16,0.0,440.0
116,2020-05-17,0.0,440.0
117,2020-05-18,0.0,440.0
118,2020-05-19,0.0,440.0
119,2020-05-20,0.0,440.0
120,2020-05-21,0.0,440.0
121,2020-05-22,1.0,441.0
122,2020-05-23,0.0,441.0
123,2020-05-24,0.0,441.0
