,dates,cases,cumul
0,2020-01-22,4.0,4.0
1,2020-01-23,0.0,4.0
2,2020-01-24,1.0,5.0
3,2020-01-25,1.0,6.0
4,2020-01-26,2.0,8.0
5,2020-01-27,0.0,8.0
6,2020-01-28,6.0,14.0
7,2020-01-29,0.0,14.0
8,2020-01-30,0.0,14.0
9,2020-01-31,5.0,19.0
10,2020-02-01,0.0,19.0
11,2020-02-02,0.0,19.0
12,2020-02-03,0.0,19.0
13,2020-02-04,6.0,25.0
14,2020-02-05,0.0,25.0
15,2020-02-06,0.0,25.0
16,2020-02-07,0.0,25.0
17,2020-02-08,7.0,32.0
18,2020-02-09,0.0,32.0
19,2020-02-10,0.0,32.0
20,2020-02-11,1.0,33.0
21,2020-02-12,0.0,33.0
22,2020-02-13,0.0,33.0
23,2020-02-14,0.0,33.0
24,2020-02-15,1.0,34.0
25,2020-02-16,0.0,34.0
26,2020-02-17,1.0,35.0
27,2020-02-18,0.0,35.0
28,2020-02-19,0.0,35.0
29,2020-02-20,0.0,35.0
30,2020-02-21,0.0,35.0
31,2020-02-22,0.0,35.0
32,2020-02-23,0.0,35.0
33,2020-02-24,0.0,35.0
34,2020-02-25,2.0,37.0
35,2020-02-26,3.0,40.0
36,2020-02-27,0.0,40.0
37,2020-02-28,1.0,41.0
38,2020-02-29,1.0,42.0
39,2020-03-01,0.0,42.0
40,2020-03-02,1.0,43.0
41,2020-03-03,0.0,43.0
42,2020-03-04,0.0,43.0
43,2020-03-05,4.0,47.0
44,2020-03-06,1.0,48.0
45,2020-03-07,2.0,50.0
46,2020-03-08,0.0,50.0
47,2020-03-09,0.0,50.0
48,2020-03-10,3.0,53.0
49,2020-03-11,6.0,59.0
50,2020-03-12,11.0,70.0
51,2020-03-13,5.0,75.0
52,2020-03-14,7.0,82.0
53,2020-03-15,32.0,114.0
54,2020-03-16,33.0,147.0
55,2020-03-17,30.0,177.0
56,2020-03-18,35.0,212.0
57,2020-03-19,60.0,272.0
58,2020-03-20,50.0,322.0
59,2020-03-21,89.0,411.0
60,2020-03-22,188.0,599.0
61,2020-03-23,122.0,721.0
62,2020-03-24,106.0,827.0
63,2020-03-25,107.0,934.0
64,2020-03-26,111.0,1045.0
65,2020-03-27,91.0,1136.0
66,2020-03-28,109.0,1245.0
67,2020-03-29,143.0,1388.0
68,2020-03-30,136.0,1524.0
69,2020-03-31,127.0,1651.0
70,2020-04-01,120.0,1771.0
71,2020-04-02,104.0,1875.0
72,2020-04-03,103.0,1978.0
73,2020-04-04,89.0,2067.0
74,2020-04-05,102.0,2169.0
75,2020-04-06,51.0,2220.0
76,2020-04-07,38.0,2258.0
77,2020-04-08,111.0,2369.0
78,2020-04-09,54.0,2423.0
79,2020-04-10,50.0,2473.0
80,2020-04-11,45.0,2518.0
81,2020-04-12,33.0,2551.0
82,2020-04-13,28.0,2579.0
83,2020-04-14,34.0,2613.0
84,2020-04-15,30.0,2643.0
85,2020-04-16,29.0,2672.0
86,2020-04-17,28.0,2700.0
87,2020-04-18,33.0,2733.0
88,2020-04-19,32.0,2765.0
89,2020-04-20,27.0,2792.0
90,2020-04-21,19.0,2811.0
91,2020-04-22,15.0,2826.0
92,2020-04-23,13.0,2839.0
93,2020-04-24,15.0,2854.0
94,2020-04-25,53.0,2907.0
95,2020-04-26,15.0,2922.0
96,2020-04-27,9.0,2931.0
97,2020-04-28,7.0,2938.0
98,2020-04-29,9.0,2947.0
99,2020-04-30,7.0,2954.0
100,2020-05-01,6.0,2960.0
101,2020-05-02,6.0,2966.0
102,2020-05-03,3.0,2969.0
103,2020-05-04,18.0,2987.0
104,2020-05-05,1.0,2988.0
105,2020-05-06,1.0,2989.0
106,2020-05-07,3.0,2992.0
107,2020-05-08,8.0,3000.0
108,2020-05-09,4.0,3004.0
109,2020-05-10,5.0,3009.0
110,2020-05-11,6.0,3015.0
111,2020-05-12,2.0,3017.0
112,2020-05-13,0.0,3017.0
113,2020-05-14,1.0,3018.0
114,2020-05-15,7.0,3025.0
115,2020-05-16,0.0,3025.0
116,2020-05-17,3.0,3028.0
117,2020-05-18,3.0,3031.0
118,2020-05-19,2.0,3033.0
119,2020-05-20,1.0,3034.0
120,2020-05-21,3.0,3037.0
121,2020-05-22,0.0,3037.0
122,2020-05-23,3.0,3040.0
123,2020-05-24,0.0,3040.0
124,2020-05-25,2.0,3042.0
125,2020-05-26,3.0,3045.0
126,2020-05-27,9.0,3054.0
127,2020-05-28,11.0,3065.0
128,2020-05-29,11.0,3076.0
129,2020-05-30,1.0,3077.0
130,2020-05-31,4.0,3081.0
131,2020-06-01,1.0,3082.0
132,2020-06-02,1.0,3083.0
133,2020-06-03,1.0,3084.0
134,2020-06-04,17.0,3101.0
135,2020-06-05,1.0,3102.0
136,2020-06-06,2.0,3104.0
137,2020-06-07,8.0,3112.0
138,2020-06-08,7.0,3119.0
139,2020-06-09,2.0,3121.0
140,2020-06-10,4.0,3125.0
141,2020-06-11,0.0,3125.0
142,2020-06-12,4.0,3129.0
143,2020-06-13,5.0,3134.0
144,2020-06-14,1.0,3135.0
145,2020-06-15,0.0,3135.0
146,2020-06-16,0.0,3135.0
147,2020-06-17,0.0,3135.0
148,2020-06-18,6.0,3141.0
149,2020-06-19,5.0,3146.0
150,2020-06-20,1.0,3147.0
151,2020-06-21,1.0,3148.0
152,2020-06-22,3.0,3151.0
153,2020-06-23,5.0,3156.0
154,2020-06-24,1.0,3157.0
155,2020-06-25,1.0,3158.0
156,2020-06-26,4.0,3162.0
157,2020-06-27,0.0,3162.0
158,2020-06-28,0.0,3162.0
159,2020-06-29,7.0,3169.0
160,2020-06-30,2.0,3171.0
161,2020-07-01,2.0,3173.0
162,2020-07-02,6.0,3179.0
163,2020-07-03,1.0,3180.0
164,2020-07-04,5.0,3185.0
165,2020-07-05,5.0,3190.0
166,2020-07-06,5.0,3195.0
167,2020-07-07,0.0,3195.0
168,2020-07-08,2.0,3197.0
169,2020-07-09,5.0,3202.0
170,2020-07-10,0.0,3202.0
171,2020-07-11,14.0,3216.0
172,2020-07-12,1.0,3217.0
173,2020-07-13,3.0,3220.0
174,2020-07-14,7.0,3227.0
175,2020-07-15,5.0,3232.0
176,2020-07-16,4.0,3236.0
177,2020-07-17,3.0,3239.0
178,2020-07-18,7.0,3246.0
179,2020-07-19,3.0,3249.0
180,2020-07-20,1.0,3250.0
181,2020-07-21,5.0,3255.0
182,2020-07-22,-2.0,3253.0
183,2020-07-23,16.0,3269.0
184,2020-07-24,10.0,3279.0
185,2020-07-25,3.0,3282.0
186,2020-07-26,9.0,3291.0
187,2020-07-27,4.0,3295.0
188,2020-07-28,2.0,3297.0
189,2020-07-29,1.0,3298.0
190,2020-07-30,6.0,3304.0
191,2020-07-31,6.0,3310.0
192,2020-08-01,2.0,3312.0
193,2020-08-02,5.0,3317.0
194,2020-08-03,3.0,3320.0
195,2020-08-04,1.0,3321.0
196,2020-08-05,7.0,3328.0
197,2020-08-06,2.0,3330.0
198,2020-08-07,15.0,3345.0
199,2020-08-08,3.0,3348.0
200,2020-08-09,3.0,3351.0
201,2020-08-10,0.0,3351.0
202,2020-08-11,0.0,3351.0
203,2020-08-12,5.0,3356.0
204,2020-08-13,3.0,3359.0
205,2020-08-14,17.0,3376.0
206,2020-08-15,0.0,3376.0
207,2020-08-16,1.0,3377.0
208,2020-08-17,1.0,3378.0
209,2020-08-18,3.0,3381.0
210,2020-08-19,1.0,3382.0
211,2020-08-20,7.0,3389.0
212,2020-08-21,1.0,3390.0
213,2020-08-22,0.0,3390.0
214,2020-08-23,5.0,3395.0
215,2020-08-24,2.0,3397.0
216,2020-08-25,5.0,3402.0
217,2020-08-26,1.0,3403.0
218,2020-08-27,1.0,3404.0
219,2020-08-28,6.0,3410.0
220,2020-08-29,1.0,3411.0
221,2020-08-30,0.0,3411.0
222,2020-08-31,1.0,3412.0
223,2020-09-01,5.0,3417.0
224,2020-09-02,8.0,3425.0
225,2020-09-03,2.0,3427.0
226,2020-09-04,4.0,3431.0
227,2020-09-05,7.0,3438.0
228,2020-09-06,6.0,3444.0
229,2020-09-07,1.0,3445.0
230,2020-09-08,1.0,3446.0
231,2020-09-09,1.0,3447.0
232,2020-09-10,7.0,3454.0
233,2020-09-11,7.0,3461.0
234,2020-09-12,5.0,3466.0
235,2020-09-13,7.0,3473.0
236,2020-09-14,2.0,3475.0
237,2020-09-15,5.0,3480.0
238,2020-09-16,10.0,3490.0
239,2020-09-17,0.0,3490.0
240,2020-09-18,7.0,3497.0
241,2020-09-19,3.0,3500.0
242,2020-09-20,6.0,3506.0
243,2020-09-21,5.0,3511.0
244,2020-09-22,3.0,3514.0
245,2020-09-23,2.0,3516.0
246,2020-09-24,3.0,3519.0
247,2020-09-25,3.0,3522.0
248,2020-09-26,1.0,3523.0
249,2020-09-27,22.0,3545.0
250,2020-09-28,14.0,3559.0
251,2020-09-29,5.0,3564.0
252,2020-09-30,5.0,3569.0
253,2020-10-01,6.0,3575.0
254,2020-10-02,8.0,3583.0
255,2020-10-03,2.0,3585.0
256,2020-10-04,5.0,3590.0
257,2020-10-05,10.0,3600.0
258,2020-10-06,15.0,3615.0
259,2020-10-07,7.0,3622.0
260,2020-10-08,6.0,3628.0
261,2020-10-09,6.0,3634.0
262,2020-10-10,2.0,3636.0
263,2020-10-11,5.0,3641.0
264,2020-10-12,2.0,3643.0
265,2020-10-13,9.0,3652.0
266,2020-10-14,13.0,3665.0
267,2020-10-15,10.0,3675.0
268,2020-10-16,11.0,3686.0
269,2020-10-17,-7.0,3679.0
270,2020-10-18,12.0,3691.0
271,2020-10-19,9.0,3700.0
272,2020-10-20,9.0,3709.0
273,2020-10-21,10.0,3719.0
274,2020-10-22,8.0,3727.0
275,2020-10-23,4.0,3731.0
276,2020-10-24,5.0,3736.0
277,2020-10-25,7.0,3743.0
278,2020-10-26,3.0,3746.0
279,2020-10-27,13.0,3759.0
280,2020-10-28,4.0,3763.0
281,2020-10-29,12.0,3775.0
282,2020-10-30,5.0,3780.0
283,2020-10-31,4.0,3784.0
284,2020-11-01,3.0,3787.0
285,2020-11-02,10.0,3797.0
286,2020-11-03,7.0,3804.0
287,2020-11-04,6.0,3810.0
288,2020-11-05,8.0,3818.0
