,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,1.0,1.0
50,2020-03-12,0.0,1.0
51,2020-03-13,4.0,5.0
52,2020-03-14,0.0,5.0
53,2020-03-15,1.0,6.0
54,2020-03-16,12.0,18.0
55,2020-03-17,29.0,47.0
56,2020-03-18,51.0,98.0
57,2020-03-19,94.0,192.0
58,2020-03-20,167.0,359.0
59,2020-03-21,311.0,670.0
60,2020-03-22,566.0,1236.0
61,2020-03-23,293.0,1529.0
62,2020-03-24,343.0,1872.0
63,2020-03-25,561.0,2433.0
64,2020-03-26,1196.0,3629.0
65,2020-03-27,2069.0,5698.0
66,2020-03-28,1704.0,7402.0
67,2020-03-29,1815.0,9217.0
68,2020-03-30,1610.0,10827.0
69,2020-03-31,2704.0,13531.0
70,2020-04-01,2148.0,15679.0
71,2020-04-02,2456.0,18135.0
72,2020-04-03,2786.0,20921.0
73,2020-04-04,3013.0,23934.0
74,2020-04-05,3135.0,27069.0
75,2020-04-06,3148.0,30217.0
76,2020-04-07,3892.0,34109.0
77,2020-04-08,4117.0,38226.0
78,2020-04-09,4056.0,42282.0
79,2020-04-10,4747.0,47029.0
80,2020-04-11,5138.0,52167.0
81,2020-04-12,4789.0,56956.0
82,2020-04-13,4093.0,61049.0
83,2020-04-14,4062.0,65111.0
84,2020-04-15,4281.0,69392.0
85,2020-04-16,4801.0,74193.0
86,2020-04-17,4353.0,78546.0
87,2020-04-18,3783.0,82329.0
88,2020-04-19,3977.0,86306.0
89,2020-04-20,4674.0,90980.0
90,2020-04-21,4611.0,95591.0
91,2020-04-22,3083.0,98674.0
92,2020-04-23,3116.0,101790.0
93,2020-04-24,3122.0,104912.0
94,2020-04-25,2861.0,107773.0
95,2020-04-26,2357.0,110130.0
96,2020-04-27,2131.0,112261.0
97,2020-04-28,2392.0,114653.0
98,2020-04-29,2936.0,117589.0
99,2020-04-30,2615.0,120204.0
100,2020-05-01,2188.0,122392.0
101,2020-05-02,1983.0,124375.0
102,2020-05-03,1670.0,126045.0
103,2020-05-04,1614.0,127659.0
104,2020-05-05,1832.0,129491.0
105,2020-05-06,2253.0,131744.0
106,2020-05-07,1977.0,133721.0
107,2020-05-08,1848.0,135569.0
108,2020-05-09,1546.0,137115.0
109,2020-05-10,1542.0,138657.0
110,2020-05-11,1114.0,139771.0
111,2020-05-12,1704.0,141475.0
112,2020-05-13,1639.0,143114.0
113,2020-05-14,1635.0,144749.0
114,2020-05-15,1708.0,146457.0
115,2020-05-16,1610.0,148067.0
116,2020-05-17,1368.0,149435.0
117,2020-05-18,1158.0,150593.0
118,2020-05-19,1022.0,151615.0
119,2020-05-20,972.0,152587.0
120,2020-05-21,961.0,153548.0
121,2020-05-22,952.0,154500.0
122,2020-05-23,1186.0,155686.0
123,2020-05-24,1141.0,156827.0
124,2020-05-25,987.0,157814.0
125,2020-05-26,948.0,158762.0
126,2020-05-27,1035.0,159797.0
127,2020-05-28,1182.0,160979.0
128,2020-05-29,1141.0,162120.0
129,2020-05-30,983.0,163103.0
