,dates,cases,cumul
0,2020-01-22,1.0,1.0
1,2020-01-23,0.0,1.0
2,2020-01-24,1.0,2.0
3,2020-01-25,0.0,2.0
4,2020-01-26,3.0,5.0
5,2020-01-27,0.0,5.0
6,2020-01-28,0.0,5.0
7,2020-01-29,1.0,6.0
8,2020-01-30,0.0,6.0
9,2020-01-31,2.0,8.0
10,2020-02-01,0.0,8.0
11,2020-02-02,0.0,8.0
12,2020-02-03,3.0,11.0
13,2020-02-04,0.0,11.0
14,2020-02-05,0.0,11.0
15,2020-02-06,1.0,12.0
16,2020-02-07,0.0,12.0
17,2020-02-08,0.0,12.0
18,2020-02-09,0.0,12.0
19,2020-02-10,0.0,12.0
20,2020-02-11,1.0,13.0
21,2020-02-12,0.0,13.0
22,2020-02-13,1.0,14.0
23,2020-02-14,0.0,14.0
24,2020-02-15,0.0,14.0
25,2020-02-16,0.0,14.0
26,2020-02-17,0.0,14.0
27,2020-02-18,0.0,14.0
28,2020-02-19,0.0,14.0
29,2020-02-20,0.0,14.0
30,2020-02-21,2.0,16.0
31,2020-02-22,0.0,16.0
32,2020-02-23,0.0,16.0
33,2020-02-24,0.0,16.0
34,2020-02-25,0.0,16.0
35,2020-02-26,0.0,16.0
36,2020-02-27,1.0,17.0
37,2020-02-28,0.0,17.0
38,2020-02-29,8.0,25.0
39,2020-03-01,7.0,32.0
40,2020-03-02,23.0,55.0
41,2020-03-03,19.0,74.0
42,2020-03-04,33.0,107.0
43,2020-03-05,77.0,184.0
44,2020-03-06,53.0,237.0
45,2020-03-07,166.0,403.0
46,2020-03-08,116.0,519.0
47,2020-03-09,75.0,594.0
48,2020-03-10,188.0,782.0
49,2020-03-11,365.0,1147.0
50,2020-03-12,439.0,1586.0
51,2020-03-13,633.0,2219.0
52,2020-03-14,759.0,2978.0
53,2020-03-15,234.0,3212.0
54,2020-03-16,1467.0,4679.0
55,2020-03-17,1833.0,6512.0
56,2020-03-18,2657.0,9169.0
57,2020-03-19,4494.0,13663.0
58,2020-03-20,6367.0,20030.0
59,2020-03-21,5995.0,26025.0
60,2020-03-22,8873.0,34898.0
61,2020-03-23,11238.0,46136.0
62,2020-03-24,10619.0,56755.0
63,2020-03-25,12082.0,68837.0
64,2020-03-26,17856.0,86693.0
65,2020-03-27,18690.0,105383.0
66,2020-03-28,19630.0,125013.0
67,2020-03-29,18899.0,143912.0
68,2020-03-30,22075.0,165987.0
69,2020-03-31,26314.0,192301.0
70,2020-04-01,32243.0,224544.0
71,2020-04-02,32235.0,256779.0
72,2020-04-03,32287.0,289066.0
73,2020-04-04,32416.0,321482.0
74,2020-04-05,29877.0,351359.0
75,2020-04-06,31381.0,382740.0
76,2020-04-07,30767.0,413507.0
77,2020-04-08,31192.0,444699.0
78,2020-04-09,35941.0,480640.0
79,2020-04-10,34415.0,515055.0
80,2020-04-11,29130.0,544185.0
81,2020-04-12,27255.0,571440.0
82,2020-04-13,26930.0,598370.0
83,2020-04-14,28781.0,627151.0
84,2020-04-15,25440.0,652591.0
85,2020-04-16,30035.0,682626.0
86,2020-04-17,33030.0,715656.0
87,2020-04-18,27932.0,743588.0
88,2020-04-19,26096.0,769684.0
89,2020-04-20,29828.0,799512.0
90,2020-04-21,25917.0,825429.0
91,2020-04-22,28859.0,854288.0
92,2020-04-23,33570.0,887858.0
93,2020-04-24,32327.0,920185.0
94,2020-04-25,30395.0,950580.0
95,2020-04-26,26501.0,977081.0
96,2020-04-27,23703.0,1000784.0
97,2020-04-28,24577.0,1025361.0
98,2020-04-29,26438.0,1051799.0
99,2020-04-30,29220.0,1081019.0
100,2020-05-01,34926.0,1115945.0
101,2020-05-02,27350.0,1143295.0
102,2020-05-03,24297.0,1167592.0
103,2020-05-04,24085.0,1191677.0
104,2020-05-05,24531.0,1216208.0
105,2020-05-06,24559.0,1240767.0
106,2020-05-07,27412.0,1268179.0
107,2020-05-08,26838.0,1295017.0
108,2020-05-09,25136.0,1320153.0
109,2020-05-10,18867.0,1339020.0
110,2020-05-11,19271.0,1358291.0
111,2020-05-12,22947.0,1381238.0
112,2020-05-13,20408.0,1401646.0
113,2020-05-14,26818.0,1428464.0
114,2020-05-15,24747.0,1453211.0
