,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,4.0,4.0
52,2020-03-14,2.0,6.0
53,2020-03-15,2.0,8.0
54,2020-03-16,21.0,29.0
55,2020-03-17,21.0,50.0
56,2020-03-18,29.0,79.0
57,2020-03-19,15.0,94.0
58,2020-03-20,16.0,110.0
59,2020-03-21,25.0,135.0
60,2020-03-22,23.0,158.0
61,2020-03-23,4.0,162.0
62,2020-03-24,27.0,189.0
63,2020-03-25,28.0,217.0
64,2020-03-26,21.0,238.0
65,2020-03-27,36.0,274.0
66,2020-03-28,29.0,303.0
67,2020-03-29,6.0,309.0
68,2020-03-30,11.0,320.0
69,2020-03-31,18.0,338.0
70,2020-04-01,12.0,350.0
71,2020-04-02,19.0,369.0
72,2020-04-03,17.0,386.0
73,2020-04-04,14.0,400.0
74,2020-04-05,6.0,406.0
75,2020-04-06,9.0,415.0
76,2020-04-07,9.0,424.0
77,2020-04-08,32.0,456.0
78,2020-04-09,17.0,473.0
79,2020-04-10,21.0,494.0
80,2020-04-11,7.0,501.0
81,2020-04-12,-21.0,480.0
82,2020-04-13,3.0,483.0
83,2020-04-14,9.0,492.0
84,2020-04-15,1.0,493.0
85,2020-04-16,9.0,502.0
86,2020-04-17,6.0,508.0
87,2020-04-18,9.0,517.0
88,2020-04-19,11.0,528.0
89,2020-04-20,7.0,535.0
90,2020-04-21,8.0,543.0
91,2020-04-22,6.0,549.0
92,2020-04-23,8.0,557.0
93,2020-04-24,6.0,563.0
94,2020-04-25,33.0,596.0
95,2020-04-26,10.0,606.0
96,2020-04-27,14.0,620.0
97,2020-04-28,5.0,625.0
98,2020-04-29,5.0,630.0
99,2020-04-30,13.0,643.0
100,2020-05-01,5.0,648.0
101,2020-05-02,4.0,652.0
102,2020-05-03,3.0,655.0
103,2020-05-04,2.0,657.0
104,2020-05-05,13.0,670.0
105,2020-05-06,3.0,673.0
106,2020-05-07,11.0,684.0
107,2020-05-08,10.0,694.0
108,2020-05-09,8.0,702.0
109,2020-05-10,5.0,707.0
110,2020-05-11,4.0,711.0
111,2020-05-12,6.0,717.0
112,2020-05-13,2.0,719.0
113,2020-05-14,5.0,724.0
114,2020-05-15,8.0,732.0
115,2020-05-16,1.0,733.0
116,2020-05-17,1.0,734.0
117,2020-05-18,3.0,737.0
118,2020-05-19,1.0,738.0
119,2020-05-20,8.0,746.0
120,2020-05-21,3.0,749.0
121,2020-05-22,4.0,753.0
122,2020-05-23,11.0,764.0
123,2020-05-24,5.0,769.0
124,2020-05-25,18.0,787.0
125,2020-05-26,2.0,789.0
126,2020-05-27,14.0,803.0
127,2020-05-28,8.0,811.0
128,2020-05-29,5.0,816.0
129,2020-05-30,5.0,821.0
130,2020-05-31,2.0,823.0
131,2020-06-01,2.0,825.0
132,2020-06-02,1.0,826.0
133,2020-06-03,2.0,828.0
134,2020-06-04,4.0,832.0
135,2020-06-05,2.0,834.0
136,2020-06-06,11.0,845.0
137,2020-06-07,0.0,845.0
