,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,0.0,0.0
52,2020-03-14,0.0,0.0
53,2020-03-15,1.0,1.0
54,2020-03-16,5.0,6.0
55,2020-03-17,4.0,10.0
56,2020-03-18,5.0,15.0
57,2020-03-19,8.0,23.0
58,2020-03-20,10.0,33.0
59,2020-03-21,10.0,43.0
60,2020-03-22,0.0,43.0
61,2020-03-23,3.0,46.0
62,2020-03-24,4.0,50.0
63,2020-03-25,10.0,60.0
64,2020-03-26,15.0,75.0
65,2020-03-27,13.0,88.0
66,2020-03-28,16.0,104.0
67,2020-03-29,40.0,144.0
68,2020-03-30,5.0,149.0
69,2020-03-31,23.0,172.0
70,2020-04-01,9.0,181.0
71,2020-04-02,24.0,205.0
72,2020-04-03,22.0,227.0
73,2020-04-04,39.0,266.0
74,2020-04-05,76.0,342.0
75,2020-04-06,115.0,457.0
76,2020-04-07,63.0,520.0
77,2020-04-08,25.0,545.0
78,2020-04-09,37.0,582.0
79,2020-04-10,42.0,624.0
80,2020-04-11,143.0,767.0
81,2020-04-12,98.0,865.0
82,2020-04-13,133.0,998.0
83,2020-04-14,167.0,1165.0
84,2020-04-15,137.0,1302.0
85,2020-04-16,47.0,1349.0
86,2020-04-17,56.0,1405.0
87,2020-04-18,85.0,1490.0
88,2020-04-19,75.0,1565.0
89,2020-04-20,62.0,1627.0
90,2020-04-21,51.0,1678.0
91,2020-04-22,38.0,1716.0
92,2020-04-23,42.0,1758.0
93,2020-04-24,46.0,1804.0
94,2020-04-25,58.0,1862.0
95,2020-04-26,7.0,1869.0
96,2020-04-27,35.0,1904.0
97,2020-04-28,35.0,1939.0
98,2020-04-29,63.0,2002.0
99,2020-04-30,37.0,2039.0
100,2020-05-01,47.0,2086.0
101,2020-05-02,32.0,2118.0
102,2020-05-03,31.0,2149.0
103,2020-05-04,40.0,2189.0
104,2020-05-05,18.0,2207.0
105,2020-05-06,26.0,2233.0
106,2020-05-07,65.0,2298.0
107,2020-05-08,27.0,2325.0
108,2020-05-09,24.0,2349.0
109,2020-05-10,69.0,2418.0
110,2020-05-11,68.0,2486.0
111,2020-05-12,33.0,2519.0
112,2020-05-13,93.0,2612.0
113,2020-05-14,33.0,2645.0
114,2020-05-15,41.0,2686.0
115,2020-05-16,52.0,2738.0
116,2020-05-17,15.0,2753.0
117,2020-05-18,38.0,2791.0
118,2020-05-19,64.0,2855.0
119,2020-05-20,84.0,2939.0
120,2020-05-21,25.0,2964.0
121,2020-05-22,64.0,3028.0
122,2020-05-23,87.0,3115.0
123,2020-05-24,49.0,3164.0
124,2020-05-25,25.0,3189.0
125,2020-05-26,101.0,3290.0
126,2020-05-27,79.0,3369.0
127,2020-05-28,75.0,3444.0
128,2020-05-29,24.0,3468.0
129,2020-05-30,78.0,3546.0
130,2020-05-31,77.0,3623.0
131,2020-06-01,79.0,3702.0
132,2020-06-02,58.0,3760.0
133,2020-06-03,83.0,3843.0
134,2020-06-04,96.0,3939.0
