,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,1.0,1.0
48,2020-03-10,0.0,1.0
49,2020-03-11,0.0,1.0
50,2020-03-12,0.0,1.0
51,2020-03-13,0.0,1.0
52,2020-03-14,0.0,1.0
53,2020-03-15,0.0,1.0
54,2020-03-16,3.0,4.0
55,2020-03-17,2.0,6.0
56,2020-03-18,5.0,11.0
57,2020-03-19,0.0,11.0
58,2020-03-20,4.0,15.0
59,2020-03-21,4.0,19.0
60,2020-03-22,3.0,22.0
61,2020-03-23,7.0,29.0
62,2020-03-24,4.0,33.0
63,2020-03-25,9.0,42.0
64,2020-03-26,15.0,57.0
65,2020-03-27,9.0,66.0
66,2020-03-28,16.0,82.0
67,2020-03-29,14.0,96.0
68,2020-03-30,29.0,125.0
69,2020-03-31,27.0,152.0
70,2020-04-01,23.0,175.0
71,2020-04-02,49.0,224.0
72,2020-04-03,53.0,277.0
73,2020-04-04,83.0,360.0
74,2020-04-05,75.0,435.0
75,2020-04-06,85.0,520.0
76,2020-04-07,61.0,581.0
77,2020-04-08,67.0,648.0
78,2020-04-09,123.0,771.0
79,2020-04-10,96.0,867.0
80,2020-04-11,119.0,986.0
81,2020-04-12,109.0,1095.0
82,2020-04-13,130.0,1225.0
83,2020-04-14,136.0,1361.0
84,2020-04-15,154.0,1515.0
85,2020-04-16,203.0,1718.0
86,2020-04-17,126.0,1844.0
87,2020-04-18,143.0,1987.0
88,2020-04-19,158.0,2145.0
89,2020-04-20,146.0,2291.0
90,2020-04-21,193.0,2484.0
91,2020-04-22,195.0,2679.0
92,2020-04-23,171.0,2850.0
93,2020-04-24,180.0,3030.0
94,2020-04-25,187.0,3217.0
95,2020-04-26,157.0,3374.0
96,2020-04-27,185.0,3559.0
97,2020-04-28,197.0,3756.0
98,2020-04-29,244.0,4000.0
99,2020-04-30,179.0,4179.0
100,2020-05-01,202.0,4381.0
101,2020-05-02,148.0,4529.0
102,2020-05-03,140.0,4669.0
103,2020-05-04,242.0,4911.0
104,2020-05-05,170.0,5081.0
105,2020-05-06,159.0,5240.0
106,2020-05-07,147.0,5387.0
107,2020-05-08,153.0,5540.0
108,2020-05-09,164.0,5704.0
109,2020-05-10,118.0,5822.0
110,2020-05-11,134.0,5956.0
111,2020-05-12,151.0,6107.0
112,2020-05-13,103.0,6210.0
113,2020-05-14,121.0,6331.0
114,2020-05-15,121.0,6452.0
115,2020-05-16,119.0,6571.0
116,2020-05-17,90.0,6661.0
117,2020-05-18,92.0,6753.0
118,2020-05-19,75.0,6828.0
119,2020-05-20,122.0,6950.0
120,2020-05-21,96.0,7046.0
121,2020-05-22,98.0,7144.0
122,2020-05-23,94.0,7238.0
123,2020-05-24,88.0,7326.0
124,2020-05-25,94.0,7420.0
125,2020-05-26,92.0,7512.0
126,2020-05-27,94.0,7606.0
127,2020-05-28,111.0,7717.0
128,2020-05-29,80.0,7797.0
129,2020-05-30,60.0,7857.0
130,2020-05-31,49.0,7906.0
131,2020-06-01,46.0,7952.0
132,2020-06-02,56.0,8008.0
133,2020-06-03,54.0,8062.0
