,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,1.0,1.0
50,2020-03-12,0.0,1.0
51,2020-03-13,3.0,4.0
52,2020-03-14,1.0,5.0
53,2020-03-15,0.0,5.0
54,2020-03-16,0.0,5.0
55,2020-03-17,0.0,5.0
56,2020-03-18,14.0,19.0
57,2020-03-19,6.0,25.0
58,2020-03-20,7.0,32.0
59,2020-03-21,6.0,38.0
60,2020-03-22,10.0,48.0
61,2020-03-23,1.0,49.0
62,2020-03-24,6.0,55.0
63,2020-03-25,3.0,58.0
64,2020-03-26,20.0,78.0
65,2020-03-27,9.0,87.0
66,2020-03-28,15.0,102.0
67,2020-03-29,12.0,114.0
68,2020-03-30,8.0,122.0
69,2020-03-31,14.0,136.0
70,2020-04-01,21.0,157.0
71,2020-04-02,13.0,170.0
72,2020-04-03,11.0,181.0
73,2020-04-04,10.0,191.0
74,2020-04-05,7.0,198.0
75,2020-04-06,11.0,209.0
76,2020-04-07,12.0,221.0
77,2020-04-08,19.0,240.0
78,2020-04-09,40.0,280.0
79,2020-04-10,26.0,306.0
80,2020-04-11,21.0,327.0
81,2020-04-12,46.0,373.0
82,2020-04-13,26.0,399.0
83,2020-04-14,60.0,459.0
84,2020-04-15,10.0,469.0
85,2020-04-16,27.0,496.0
86,2020-04-17,24.0,520.0
87,2020-04-18,15.0,535.0
88,2020-04-19,47.0,582.0
89,2020-04-20,8.0,590.0
90,2020-04-21,26.0,616.0
91,2020-04-22,19.0,635.0
92,2020-04-23,12.0,647.0
93,2020-04-24,42.0,689.0
94,2020-04-25,31.0,720.0
95,2020-04-26,23.0,743.0
96,2020-04-27,22.0,765.0
97,2020-04-28,8.0,773.0
98,2020-04-29,11.0,784.0
99,2020-04-30,8.0,792.0
100,2020-05-01,8.0,800.0
101,2020-05-02,31.0,831.0
102,2020-05-03,14.0,845.0
103,2020-05-04,19.0,864.0
104,2020-05-05,8.0,872.0
105,2020-05-06,23.0,895.0
106,2020-05-07,35.0,930.0
107,2020-05-08,13.0,943.0
108,2020-05-09,16.0,959.0
109,2020-05-10,14.0,973.0
110,2020-05-11,18.0,991.0
111,2020-05-12,16.0,1007.0
112,2020-05-13,21.0,1028.0
113,2020-05-14,15.0,1043.0
114,2020-05-15,33.0,1076.0
115,2020-05-16,13.0,1089.0
116,2020-05-17,59.0,1148.0
117,2020-05-18,43.0,1191.0
118,2020-05-19,30.0,1221.0
119,2020-05-20,21.0,1242.0
120,2020-05-21,36.0,1278.0
121,2020-05-22,48.0,1326.0
122,2020-05-23,25.0,1351.0
123,2020-05-24,21.0,1372.0
124,2020-05-25,19.0,1391.0
125,2020-05-26,27.0,1418.0
126,2020-05-27,55.0,1473.0
127,2020-05-28,23.0,1496.0
128,2020-05-29,24.0,1520.0
129,2020-05-30,53.0,1573.0
130,2020-05-31,40.0,1613.0
131,2020-06-01,28.0,1641.0
132,2020-06-02,22.0,1663.0
133,2020-06-03,35.0,1698.0
134,2020-06-04,23.0,1721.0
135,2020-06-05,49.0,1770.0
