,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,1.0,1.0
23,2020-02-14,0.0,1.0
24,2020-02-15,0.0,1.0
25,2020-02-16,0.0,1.0
26,2020-02-17,0.0,1.0
27,2020-02-18,1.0,2.0
28,2020-02-19,0.0,2.0
29,2020-02-20,0.0,2.0
30,2020-02-21,0.0,2.0
31,2020-02-22,0.0,2.0
32,2020-02-23,0.0,2.0
33,2020-02-24,0.0,2.0
34,2020-02-25,1.0,3.0
35,2020-02-26,0.0,3.0
36,2020-02-27,1.0,4.0
37,2020-02-28,1.0,5.0
38,2020-02-29,1.0,6.0
39,2020-03-01,0.0,6.0
40,2020-03-02,0.0,6.0
41,2020-03-03,0.0,6.0
42,2020-03-04,1.0,7.0
43,2020-03-05,0.0,7.0
44,2020-03-06,0.0,7.0
45,2020-03-07,0.0,7.0
46,2020-03-08,1.0,8.0
47,2020-03-09,2.0,10.0
48,2020-03-10,3.0,13.0
49,2020-03-11,2.0,15.0
50,2020-03-12,4.0,19.0
51,2020-03-13,2.0,21.0
52,2020-03-14,1.0,22.0
53,2020-03-15,2.0,24.0
54,2020-03-16,6.0,30.0
55,2020-03-17,0.0,30.0
56,2020-03-18,2.0,32.0
57,2020-03-19,1.0,33.0
58,2020-03-20,1.0,34.0
59,2020-03-21,2.0,36.0
60,2020-03-22,4.0,40.0
61,2020-03-23,1.0,41.0
62,2020-03-24,1.0,42.0
63,2020-03-25,3.0,45.0
64,2020-03-26,2.0,47.0
65,2020-03-27,6.0,53.0
66,2020-03-28,3.0,56.0
67,2020-03-29,7.0,63.0
68,2020-03-30,2.0,65.0
69,2020-03-31,2.0,67.0
70,2020-04-01,5.0,72.0
71,2020-04-02,3.0,75.0
72,2020-04-03,6.0,81.0
73,2020-04-04,6.0,87.0
74,2020-04-05,6.0,93.0
75,2020-04-06,3.0,96.0
76,2020-04-07,2.0,98.0
77,2020-04-08,7.0,105.0
78,2020-04-09,8.0,113.0
79,2020-04-10,12.0,125.0
80,2020-04-11,13.0,138.0
81,2020-04-12,9.0,147.0
82,2020-04-13,9.0,156.0
83,2020-04-14,14.0,170.0
84,2020-04-15,16.0,186.0
85,2020-04-16,18.0,204.0
86,2020-04-17,13.0,217.0
87,2020-04-18,19.0,236.0
88,2020-04-19,19.0,255.0
89,2020-04-20,20.0,275.0
90,2020-04-21,28.0,303.0
91,2020-04-22,20.0,323.0
92,2020-04-23,28.0,351.0
93,2020-04-24,9.0,360.0
94,2020-04-25,19.0,379.0
95,2020-04-26,16.0,395.0
96,2020-04-27,22.0,417.0
97,2020-04-28,19.0,436.0
98,2020-04-29,18.0,454.0
99,2020-04-30,27.0,481.0
100,2020-05-01,29.0,510.0
101,2020-05-02,26.0,536.0
102,2020-05-03,24.0,560.0
103,2020-05-04,22.0,582.0
104,2020-05-05,11.0,593.0
105,2020-05-06,12.0,605.0
106,2020-05-07,12.0,617.0
107,2020-05-08,17.0,634.0
108,2020-05-09,20.0,654.0
109,2020-05-10,12.0,666.0
110,2020-05-11,19.0,685.0
111,2020-05-12,22.0,707.0
112,2020-05-13,19.0,726.0
113,2020-05-14,16.0,742.0
114,2020-05-15,18.0,760.0
115,2020-05-16,18.0,778.0
116,2020-05-17,9.0,787.0
117,2020-05-18,9.0,796.0
118,2020-05-19,9.0,805.0
119,2020-05-20,13.0,818.0
120,2020-05-21,8.0,826.0
121,2020-05-22,10.0,836.0
122,2020-05-23,9.0,845.0
123,2020-05-24,7.0,852.0
124,2020-05-25,5.0,857.0
125,2020-05-26,6.0,863.0
126,2020-05-27,7.0,870.0
127,2020-05-28,11.0,881.0
128,2020-05-29,6.0,887.0
129,2020-05-30,7.0,894.0
130,2020-05-31,4.0,898.0
131,2020-06-01,1.0,899.0
132,2020-06-02,3.0,902.0
133,2020-06-03,3.0,905.0
134,2020-06-04,6.0,911.0
135,2020-06-05,5.0,916.0
136,2020-06-06,-1.0,915.0
137,2020-06-07,2.0,917.0
