,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,0.0,0.0
52,2020-03-14,0.0,0.0
53,2020-03-15,0.0,0.0
54,2020-03-16,0.0,0.0
55,2020-03-17,0.0,0.0
56,2020-03-18,0.0,0.0
57,2020-03-19,1.0,1.0
58,2020-03-20,1.0,2.0
59,2020-03-21,0.0,2.0
60,2020-03-22,1.0,3.0
61,2020-03-23,1.0,4.0
62,2020-03-24,1.0,5.0
63,2020-03-25,1.0,6.0
64,2020-03-26,2.0,8.0
65,2020-03-27,4.0,12.0
66,2020-03-28,4.0,16.0
67,2020-03-29,4.0,20.0
68,2020-03-30,8.0,28.0
69,2020-03-31,1.0,29.0
70,2020-04-01,8.0,37.0
71,2020-04-02,13.0,50.0
72,2020-04-03,10.0,60.0
73,2020-04-04,19.0,79.0
74,2020-04-05,15.0,94.0
75,2020-04-06,31.0,125.0
76,2020-04-07,16.0,141.0
77,2020-04-08,33.0,174.0
78,2020-04-09,20.0,194.0
79,2020-04-10,39.0,233.0
80,2020-04-11,40.0,273.0
81,2020-04-12,23.0,296.0
82,2020-04-13,36.0,332.0
83,2020-04-14,74.0,406.0
84,2020-04-15,43.0,449.0
85,2020-04-16,37.0,486.0
86,2020-04-17,60.0,546.0
87,2020-04-18,104.0,650.0
88,2020-04-19,36.0,686.0
89,2020-04-20,26.0,712.0
90,2020-04-21,145.0,857.0
91,2020-04-22,113.0,970.0
92,2020-04-23,99.0,1069.0
93,2020-04-24,152.0,1221.0
94,2020-04-25,84.0,1305.0
95,2020-04-26,46.0,1351.0
96,2020-04-27,83.0,1434.0
97,2020-04-28,135.0,1569.0
98,2020-04-29,163.0,1732.0
99,2020-04-30,127.0,1859.0
100,2020-05-01,113.0,1972.0
101,2020-05-02,89.0,2061.0
102,2020-05-03,93.0,2154.0
103,2020-05-04,117.0,2271.0
104,2020-05-05,236.0,2507.0
105,2020-05-06,197.0,2704.0
106,2020-05-07,257.0,2961.0
107,2020-05-08,199.0,3160.0
108,2020-05-09,193.0,3353.0
109,2020-05-10,112.0,3465.0
110,2020-05-11,108.0,3573.0
111,2020-05-12,353.0,3926.0
112,2020-05-13,294.0,4220.0
113,2020-05-14,257.0,4477.0
114,2020-05-15,290.0,4767.0
115,2020-05-16,278.0,5045.0
116,2020-05-17,132.0,5177.0
117,2020-05-18,155.0,5332.0
118,2020-05-19,334.0,5666.0
119,2020-05-20,424.0,6090.0
120,2020-05-21,420.0,6510.0
121,2020-05-22,479.0,6989.0
122,2020-05-23,190.0,7179.0
123,2020-05-24,215.0,7394.0
124,2020-05-25,239.0,7633.0
125,2020-05-26,501.0,8134.0
126,2020-05-27,463.0,8597.0
127,2020-05-28,447.0,9044.0
128,2020-05-29,371.0,9415.0
129,2020-05-30,364.0,9779.0
130,2020-05-31,151.0,9930.0
131,2020-06-01,237.0,10167.0
132,2020-06-02,470.0,10637.0
133,2020-06-03,1092.0,11729.0
134,2020-06-04,816.0,12545.0
