,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,0.0,0.0
52,2020-03-14,0.0,0.0
53,2020-03-15,0.0,0.0
54,2020-03-16,0.0,0.0
55,2020-03-17,0.0,0.0
56,2020-03-18,0.0,0.0
57,2020-03-19,0.0,0.0
58,2020-03-20,0.0,0.0
59,2020-03-21,0.0,0.0
60,2020-03-22,3.0,3.0
61,2020-03-23,4.0,7.0
62,2020-03-24,4.0,11.0
63,2020-03-25,6.0,17.0
64,2020-03-26,6.0,23.0
65,2020-03-27,3.0,26.0
66,2020-03-28,11.0,37.0
67,2020-03-29,6.0,43.0
68,2020-03-30,22.0,65.0
69,2020-03-31,17.0,82.0
70,2020-04-01,10.0,92.0
71,2020-04-02,23.0,115.0
72,2020-04-03,18.0,133.0
73,2020-04-04,13.0,146.0
74,2020-04-05,5.0,151.0
75,2020-04-06,25.0,176.0
76,2020-04-07,21.0,197.0
77,2020-04-08,23.0,220.0
78,2020-04-09,28.0,248.0
79,2020-04-10,22.0,270.0
80,2020-04-11,21.0,291.0
81,2020-04-12,25.0,316.0
82,2020-04-13,15.0,331.0
83,2020-04-14,20.0,351.0
84,2020-04-15,21.0,372.0
85,2020-04-16,20.0,392.0
86,2020-04-17,19.0,411.0
87,2020-04-18,10.0,421.0
88,2020-04-19,30.0,451.0
89,2020-04-20,27.0,478.0
90,2020-04-21,20.0,498.0
91,2020-04-22,26.0,524.0
92,2020-04-23,21.0,545.0
93,2020-04-24,22.0,567.0
94,2020-04-25,34.0,601.0
95,2020-04-26,18.0,619.0
96,2020-04-27,22.0,641.0
97,2020-04-28,22.0,663.0
98,2020-04-29,30.0,693.0
99,2020-04-30,24.0,717.0
100,2020-05-01,27.0,744.0
101,2020-05-02,27.0,771.0
102,2020-05-03,19.0,790.0
103,2020-05-04,28.0,818.0
104,2020-05-05,23.0,841.0
105,2020-05-06,23.0,864.0
106,2020-05-07,24.0,888.0
107,2020-05-08,35.0,923.0
108,2020-05-09,16.0,939.0
109,2020-05-10,22.0,961.0
110,2020-05-11,21.0,982.0
111,2020-05-12,20.0,1002.0
112,2020-05-13,34.0,1036.0
113,2020-05-14,17.0,1053.0
114,2020-05-15,17.0,1070.0
115,2020-05-16,24.0,1094.0
116,2020-05-17,13.0,1107.0
117,2020-05-18,13.0,1120.0
118,2020-05-19,17.0,1137.0
119,2020-05-20,10.0,1147.0
120,2020-05-21,9.0,1156.0
121,2020-05-22,10.0,1166.0
122,2020-05-23,10.0,1176.0
123,2020-05-24,9.0,1185.0
124,2020-05-25,20.0,1205.0
125,2020-05-26,11.0,1216.0
126,2020-05-27,11.0,1227.0
127,2020-05-28,8.0,1235.0
128,2020-05-29,13.0,1248.0
129,2020-05-30,11.0,1259.0
130,2020-05-31,7.0,1266.0
131,2020-06-01,10.0,1276.0
132,2020-06-02,12.0,1288.0
133,2020-06-03,8.0,1296.0
134,2020-06-04,9.0,1305.0
135,2020-06-05,11.0,1316.0
