,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,1.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,1.0,2.0
47,2020-03-09,0.0,2.0
48,2020-03-10,1.0,3.0
49,2020-03-11,1.0,4.0
50,2020-03-12,0.0,4.0
51,2020-03-13,7.0,11.0
52,2020-03-14,2.0,13.0
53,2020-03-15,1.0,14.0
54,2020-03-16,0.0,14.0
55,2020-03-17,13.0,27.0
56,2020-03-18,1.0,28.0
57,2020-03-19,13.0,41.0
58,2020-03-20,13.0,54.0
59,2020-03-21,21.0,75.0
60,2020-03-22,23.0,98.0
61,2020-03-23,22.0,120.0
62,2020-03-24,2.0,122.0
63,2020-03-25,31.0,153.0
64,2020-03-26,38.0,191.0
65,2020-03-27,40.0,231.0
66,2020-03-28,33.0,264.0
67,2020-03-29,36.0,300.0
68,2020-03-30,59.0,359.0
69,2020-03-31,74.0,433.0
70,2020-04-01,55.0,488.0
71,2020-04-02,48.0,536.0
72,2020-04-03,55.0,591.0
73,2020-04-04,75.0,666.0
74,2020-04-05,49.0,715.0
75,2020-04-06,50.0,765.0
76,2020-04-07,56.0,821.0
77,2020-04-08,74.0,895.0
78,2020-04-09,53.0,948.0
79,2020-04-10,54.0,1002.0
80,2020-04-11,34.0,1036.0
81,2020-04-12,70.0,1106.0
82,2020-04-13,32.0,1138.0
83,2020-04-14,36.0,1174.0
84,2020-04-15,65.0,1239.0
85,2020-04-16,42.0,1281.0
86,2020-04-17,46.0,1327.0
87,2020-04-18,41.0,1368.0
88,2020-04-19,25.0,1393.0
89,2020-04-20,36.0,1429.0
90,2020-04-21,49.0,1478.0
91,2020-04-22,31.0,1509.0
92,2020-04-23,40.0,1549.0
93,2020-04-24,40.0,1589.0
94,2020-04-25,10.0,1599.0
95,2020-04-26,11.0,1610.0
96,2020-04-27,55.0,1665.0
97,2020-04-28,34.0,1699.0
98,2020-04-29,17.0,1716.0
99,2020-04-30,21.0,1737.0
100,2020-05-01,17.0,1754.0
101,2020-05-02,8.0,1762.0
102,2020-05-03,0.0,1762.0
103,2020-05-04,22.0,1784.0
104,2020-05-05,11.0,1795.0
105,2020-05-06,10.0,1805.0
106,2020-05-07,5.0,1810.0
107,2020-05-08,13.0,1823.0
108,2020-05-09,7.0,1830.0
109,2020-05-10,3.0,1833.0
110,2020-05-11,12.0,1845.0
111,2020-05-12,22.0,1867.0
112,2020-05-13,3.0,1870.0
113,2020-05-14,2.0,1872.0
114,2020-05-15,6.0,1878.0
115,2020-05-16,1.0,1879.0
116,2020-05-17,2.0,1881.0
117,2020-05-18,5.0,1886.0
118,2020-05-19,5.0,1891.0
119,2020-05-20,1.0,1892.0
120,2020-05-21,6.0,1898.0
121,2020-05-22,5.0,1903.0
122,2020-05-23,2.0,1905.0
123,2020-05-24,1.0,1906.0
124,2020-05-25,7.0,1913.0
125,2020-05-26,2.0,1915.0
126,2020-05-27,2.0,1917.0
127,2020-05-28,2.0,1919.0
128,2020-05-29,0.0,1919.0
129,2020-05-30,0.0,1919.0
130,2020-05-31,1.0,1920.0
131,2020-06-01,0.0,1920.0
132,2020-06-02,0.0,1920.0
133,2020-06-03,1.0,1921.0
