,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,0.0,0.0
52,2020-03-14,0.0,0.0
53,2020-03-15,0.0,0.0
54,2020-03-16,0.0,0.0
55,2020-03-17,1.0,1.0
56,2020-03-18,0.0,1.0
57,2020-03-19,2.0,3.0
58,2020-03-20,1.0,4.0
59,2020-03-21,5.0,9.0
60,2020-03-22,21.0,30.0
61,2020-03-23,7.0,37.0
62,2020-03-24,7.0,44.0
63,2020-03-25,15.0,59.0
64,2020-03-26,16.0,75.0
65,2020-03-27,17.0,92.0
66,2020-03-28,16.0,108.0
67,2020-03-29,23.0,131.0
68,2020-03-30,37.0,168.0
69,2020-03-31,46.0,214.0
70,2020-04-01,63.0,277.0
71,2020-04-02,79.0,356.0
72,2020-04-03,69.0,425.0
73,2020-04-04,76.0,501.0
74,2020-04-05,73.0,574.0
75,2020-04-06,75.0,649.0
76,2020-04-07,76.0,725.0
77,2020-04-08,87.0,812.0
78,2020-04-09,96.0,908.0
79,2020-04-10,98.0,1006.0
80,2020-04-11,95.0,1101.0
81,2020-04-12,97.0,1198.0
82,2020-04-13,98.0,1296.0
83,2020-04-14,107.0,1403.0
84,2020-04-15,115.0,1518.0
85,2020-04-16,125.0,1643.0
86,2020-04-17,126.0,1769.0
87,2020-04-18,121.0,1890.0
88,2020-04-19,127.0,2017.0
89,2020-04-20,123.0,2140.0
90,2020-04-21,119.0,2259.0
91,2020-04-22,117.0,2376.0
92,2020-04-23,115.0,2491.0
93,2020-04-24,109.0,2600.0
94,2020-04-25,106.0,2706.0
95,2020-04-26,99.0,2805.0
96,2020-04-27,95.0,2900.0
97,2020-04-28,92.0,2992.0
98,2020-04-29,89.0,3081.0
99,2020-04-30,93.0,3174.0
100,2020-05-01,84.0,3258.0
101,2020-05-02,78.0,3336.0
102,2020-05-03,61.0,3397.0
103,2020-05-04,64.0,3461.0
104,2020-05-05,59.0,3520.0
105,2020-05-06,64.0,3584.0
106,2020-05-07,57.0,3641.0
107,2020-05-08,48.0,3689.0
108,2020-05-09,50.0,3739.0
109,2020-05-10,47.0,3786.0
110,2020-05-11,55.0,3841.0
111,2020-05-12,53.0,3894.0
112,2020-05-13,58.0,3952.0
113,2020-05-14,55.0,4007.0
114,2020-05-15,48.0,4055.0
115,2020-05-16,41.0,4096.0
116,2020-05-17,44.0,4140.0
117,2020-05-18,31.0,4171.0
118,2020-05-19,28.0,4199.0
119,2020-05-20,23.0,4222.0
120,2020-05-21,27.0,4249.0
121,2020-05-22,27.0,4276.0
122,2020-05-23,32.0,4308.0
123,2020-05-24,32.0,4340.0
124,2020-05-25,29.0,4369.0
125,2020-05-26,28.0,4397.0
126,2020-05-27,34.0,4431.0
127,2020-05-28,30.0,4461.0
128,2020-05-29,28.0,4489.0
129,2020-05-30,26.0,4515.0
130,2020-05-31,25.0,4540.0
131,2020-06-01,23.0,4563.0
132,2020-06-02,22.0,4585.0
133,2020-06-03,24.0,4609.0
