,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,1.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,5.0,6.0
41,2020-03-03,1.0,7.0
42,2020-03-04,4.0,11.0
43,2020-03-05,1.0,12.0
44,2020-03-06,2.0,14.0
45,2020-03-07,3.0,17.0
46,2020-03-08,4.0,21.0
47,2020-03-09,1.0,22.0
48,2020-03-10,6.0,28.0
49,2020-03-11,5.0,33.0
50,2020-03-12,10.0,43.0
51,2020-03-13,8.0,51.0
52,2020-03-14,7.0,58.0
53,2020-03-15,12.0,70.0
54,2020-03-16,27.0,97.0
55,2020-03-17,37.0,134.0
56,2020-03-18,60.0,194.0
57,2020-03-19,72.0,266.0
58,2020-03-20,106.0,372.0
59,2020-03-21,103.0,475.0
60,2020-03-22,113.0,588.0
61,2020-03-23,191.0,779.0
62,2020-03-24,241.0,1020.0
63,2020-03-25,330.0,1350.0
64,2020-03-26,417.0,1767.0
65,2020-03-27,516.0,2283.0
66,2020-03-28,637.0,2920.0
67,2020-03-29,608.0,3528.0
68,2020-03-30,709.0,4237.0
69,2020-03-31,1097.0,5334.0
70,2020-04-01,1315.0,6649.0
71,2020-04-02,1507.0,8156.0
72,2020-04-03,1429.0,9585.0
73,2020-04-04,1566.0,11151.0
74,2020-04-05,1624.0,12775.0
75,2020-04-06,1767.0,14542.0
76,2020-04-07,2579.0,17121.0
77,2020-04-08,2151.0,19272.0
78,2020-04-09,2216.0,21488.0
79,2020-04-10,2217.0,23705.0
80,2020-04-11,2105.0,25810.0
81,2020-04-12,1869.0,27679.0
82,2020-04-13,2005.0,29684.0
83,2020-04-14,2445.0,32129.0
84,2020-04-15,2596.0,34725.0
85,2020-04-16,2153.0,36878.0
86,2020-04-17,2117.0,38995.0
87,2020-04-18,1992.0,40987.0
88,2020-04-19,1980.0,42967.0
89,2020-04-20,2232.0,45199.0
90,2020-04-21,2519.0,47718.0
91,2020-04-22,2447.0,50165.0
92,2020-04-23,2466.0,52631.0
93,2020-04-24,2193.0,54824.0
94,2020-04-25,1713.0,56537.0
95,2020-04-26,1394.0,57931.0
96,2020-04-27,1517.0,59448.0
97,2020-04-28,2220.0,61668.0
98,2020-04-29,2410.0,64078.0
99,2020-04-30,2288.0,66366.0
100,2020-05-01,1899.0,68265.0
101,2020-05-02,1723.0,69988.0
102,2020-05-03,1178.0,71166.0
103,2020-05-04,1365.0,72531.0
104,2020-05-05,2234.0,74765.0
105,2020-05-06,2292.0,77057.0
106,2020-05-07,1922.0,78979.0
107,2020-05-08,1748.0,80727.0
108,2020-05-09,1541.0,82268.0
109,2020-05-10,973.0,83241.0
110,2020-05-11,1032.0,84273.0
111,2020-05-12,1585.0,85858.0
112,2020-05-13,1729.0,87587.0
113,2020-05-14,1776.0,89363.0
114,2020-05-15,1661.0,91024.0
115,2020-05-16,1262.0,92286.0
116,2020-05-17,818.0,93104.0
117,2020-05-18,1213.0,94317.0
118,2020-05-19,1451.0,95768.0
119,2020-05-20,1482.0,97250.0
120,2020-05-21,1182.0,98432.0
121,2020-05-22,1242.0,99674.0
122,2020-05-23,1113.0,100787.0
123,2020-05-24,634.0,101421.0
124,2020-05-25,583.0,102004.0
125,2020-05-26,678.0,102682.0
126,2020-05-27,1472.0,104154.0
127,2020-05-28,1125.0,105279.0
128,2020-05-29,1142.0,106421.0
129,2020-05-30,961.0,107382.0
