,country,target_date,target
0,Saint Vincent and the Grenadines,2020-09-23,0.0
1,Angola,2020-09-23,688.0
2,Ghana,2020-09-23,498.0
3,Eritrea,2020-09-23,0.0
4,Maldives,2020-09-23,458.0
5,India,2020-09-23,527757.0
6,Kenya,2020-09-23,1047.0
7,Bahrain,2020-09-23,4530.0
8,Algeria,2020-09-23,1434.0
9,France,2020-09-23,64587.0
10,Mozambique,2020-09-23,1268.0
11,Honduras,2020-09-23,3015.0
12,"Korea, South",2020-09-23,684.0
13,Dominican Republic,2020-09-23,4216.0
14,Montenegro,2020-09-23,2137.0
15,Belgium,2020-09-23,10939.0
16,Iran,2020-09-23,22464.0
17,Ethiopia,2020-09-23,4859.0
18,Albania,2020-09-23,971.0
19,Yemen,2020-09-23,10.0
20,Ireland,2020-09-23,1876.0
21,Morocco,2020-09-23,15727.0
22,Singapore,2020-09-23,125.0
23,Kazakhstan,2020-09-23,473.0
24,Finland,2020-09-23,538.0
25,Liberia,2020-09-23,5.0
26,Greece,2020-09-23,2245.0
27,Cabo Verde,2020-09-23,434.0
28,United Kingdom,2020-09-23,31568.0
29,Australia,2020-09-23,167.0
30,New Zealand,2020-09-23,18.0
31,Jordan,2020-09-23,2190.0
32,Malawi,2020-09-23,42.0
33,Peru,2020-09-23,38526.0
34,Saint Kitts and Nevis,2020-09-23,2.0
35,Armenia,2020-09-23,1501.0
36,Turkey,2020-09-23,11678.0
37,Andorra,2020-09-23,270.0
38,Holy See,2020-09-23,0.0
39,El Salvador,2020-09-23,791.0
40,Bahamas,2020-09-23,531.0
41,Colombia,2020-09-23,47891.0
42,Croatia,2020-09-23,1311.0
43,Chile,2020-09-23,10616.0
44,Iraq,2020-09-23,29576.0
45,Sierra Leone,2020-09-23,50.0
46,Uzbekistan,2020-09-23,4260.0
47,Switzerland,2020-09-23,2836.0
48,Qatar,2020-09-23,1726.0
49,Ukraine,2020-09-23,22794.0
50,Canada,2020-09-23,8087.0
51,Cote d'Ivoire,2020-09-23,298.0
52,Dominica,2020-09-23,0.0
53,Belarus,2020-09-23,1594.0
54,Bangladesh,2020-09-23,11173.0
55,Georgia,2020-09-23,1382.0
56,Namibia,2020-09-23,699.0
57,Taiwan*,2020-09-23,9.0
58,Oman,2020-09-23,4143.0
59,South Africa,2020-09-23,11744.0
60,Tanzania,2020-09-23,0.0
61,Mauritius,2020-09-23,2.0
62,Afghanistan,2020-09-23,290.0
63,Luxembourg,2020-09-23,696.0
64,San Marino,2020-09-23,0.0
65,Bhutan,2020-09-23,15.0
66,Kyrgyzstan,2020-09-23,558.0
67,Guinea,2020-09-23,280.0
68,Iceland,2020-09-23,287.0
69,Equatorial Guinea,2020-09-23,18.0
70,Fiji,2020-09-23,0.0
71,Antigua and Barbuda,2020-09-23,2.0
72,Sweden,2020-09-23,2181.0
73,Gabon,2020-09-23,38.0
