location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,525,155,404,667,1914,2021-07-10,day
BE,3817,1126,2939,4851,13919,2021-07-10,day
BG,1025,302,789,1302,3736,2021-07-10,day
CY,7286,2149,5610,9260,26571,2021-07-10,day
CZ,1407,415,1083,1788,5131,2021-07-10,day
DE,3600,1062,2772,4576,13131,2021-07-10,day
DK,3783,1116,2913,4808,13797,2021-07-10,day
EE,280,83,216,356,1021,2021-07-10,day
FI,2232,659,1719,2837,8142,2021-07-10,day
FR,15964,4709,12292,20290,58221,2021-07-10,day
GB,214583,63302,165229,272734,782583,2021-07-10,day
GR,9421,2779,7255,11975,34360,2021-07-10,day
HR,477,141,367,606,1738,2021-07-10,day
HU,150,44,115,190,546,2021-07-10,day
IE,3701,1092,2849,4703,13496,2021-07-10,day
IS,0,0,0,0,0,2021-07-10,day
IT,5324,1571,4099,6767,19416,2021-07-10,day
LI,21,6,16,27,77,2021-07-10,day
LT,132,39,101,167,480,2021-07-10,day
LU,1231,363,948,1564,4488,2021-07-10,day
LV,381,112,293,484,1388,2021-07-10,day
MT,72,21,55,91,261,2021-07-10,day
NL,4030,1189,3103,5122,14696,2021-07-10,day
NO,1192,352,918,1515,4347,2021-07-10,day
PL,498,147,383,633,1816,2021-07-10,day
PT,19779,5835,15230,25139,72134,2021-07-10,day
RO,268,79,206,340,977,2021-07-10,day
SE,570,168,439,725,2080,2021-07-10,day
SI,123,36,94,156,448,2021-07-10,day
