location,forecast_EuroCOVIDhub-ensemble,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,3592,2300,2506,2622,2833,2964,3156,3191,3225,3284,3390,3489,3592,3712,3830,3909,4001,4092,4196,4323,4491,4728,5004,5248,2021-08-07,day
BE,11412,5598,6340,6996,7780,8332,8806,9206,9570,9929,10243,10584,11412,12235,12798,13200,13626,14080,14530,16093,16940,17958,19277,21576,2021-08-07,day
BG,1899,790,943,1076,1263,1382,1503,1594,1670,1748,1791,1846,1899,1944,1989,2041,2130,2188,2254,2482,2626,2776,3008,3303,2021-08-07,day
CH,5391,3076,3358,3560,3830,4198,4649,4858,5080,5176,5236,5289,5391,5568,5897,6064,6280,6442,6767,7230,7896,9081,10204,11454,2021-08-07,day
CY,4677,3192,3314,3404,3556,3762,4271,4338,4409,4480,4532,4594,4677,4766,4830,4942,5190,5278,5364,5538,5660,5836,6042,6422,2021-08-07,day
CZ,1179,559,574,606,707,775,829,875,983,1104,1160,1174,1179,1193,1214,1239,1262,1287,1318,1359,1418,1523,1696,1869,2021-08-07,day
DE,19951,12129,13723,14351,14590,16086,17294,17848,18310,18666,19134,19531,19951,20206,20393,20658,21015,21371,22286,23851,24360,25770,27016,28354,2021-08-07,day
DK,6286,4295,4554,4771,5058,5229,5402,5518,5688,5848,5994,6148,6286,6423,6574,6723,6902,7092,7325,7586,7933,8453,8898,9464,2021-08-07,day
EE,1484,780,864,963,1096,1184,1280,1324,1347,1409,1439,1460,1484,1504,1523,1546,1575,1600,1630,1820,1908,1978,2057,2276,2021-08-07,day
ES,162438,118272,128496,137010,144122,147233,150250,152469,154434,157632,159077,160706,162438,164124,165978,169198,175228,180009,184172,190290,198310,210896,222530,236000,2021-08-07,day
FI,5128,3281,3534,3756,4027,4218,4423,4577,4657,4818,4932,5032,5128,5264,5380,5502,5634,5795,6014,6334,6682,7225,7850,8430,2021-08-07,day
FR,169255,96247,104433,112337,121887,136364,153537,164940,166372,167361,168095,168595,169255,169725,170156,174831,179778,184786,191573,198694,208861,229608,241500,253099,2021-08-07,day
GB,160894,96351,96351,98385,107228,113014,141650,145076,148223,151619,154758,157865,160894,163131,163504,166575,170999,174243,178850,190204,201766,215878,227512,238108,2021-08-07,day
GR,19090,13474,14127,14844,15846,16544,17006,17429,17675,18007,18386,18633,19090,19482,19970,20462,21034,21720,22574,23610,24968,27037,28836,31203,2021-08-07,day
HR,1268,712,798,845,916,972,1017,1058,1102,1154,1194,1223,1268,1316,1368,1426,1491,1545,1616,1702,1819,2005,2161,2334,2021-08-07,day
HU,338,80,92,108,132,152,172,192,215,238,260,298,338,403,437,460,500,546,592,662,764,894,1023,1193,2021-08-07,day
IE,9566,6742,6976,7385,7792,8142,8812,8946,9084,9218,9332,9458,9566,9740,9902,10088,10486,10632,10709,10980,11196,11594,12078,12865,2021-08-07,day
IS,915,684,714,738,764,808,833,850,864,878,889,902,915,928,945,962,978,998,1034,1084,1157,1264,1369,1448,2021-08-07,day
IT,42982,31128,31588,33680,35828,36702,38358,39372,40143,40927,41657,42322,42982,43605,43793,44063,45164,46513,47454,49866,52072,54389,55935,58446,2021-08-07,day
LI,9,2,3,3,4,5,5,6,7,7,8,9,9,10,11,12,13,14,15,15,17,21,23,25,2021-08-07,day
LT,2600,1481,1646,1799,1934,2049,2222,2312,2388,2468,2518,2560,2600,2636,2676,2712,2752,2800,2848,3206,3358,3484,3686,3994,2021-08-07,day
LU,440,152,172,205,243,281,358,378,386,394,401,420,440,458,479,505,528,556,587,628,716,864,942,1090,2021-08-07,day
LV,422,180,224,256,298,320,339,354,369,383,396,407,422,436,452,470,486,502,524,558,586,643,698,764,2021-08-07,day
MT,683,392,392,392,437,468,663,668,669,672,673,673,683,692,692,709,779,779,779,845,862,972,1066,1189,2021-08-07,day
NL,18224,9801,10167,10528,11149,11661,15462,15878,16370,16831,17359,17781,18224,18630,18976,19421,19902,20344,21243,23036,25041,28163,30540,32208,2021-08-07,day
NO,2042,1114,1220,1348,1493,1592,1670,1746,1808,1864,1924,1980,2042,2100,2161,2204,2241,2292,2390,2578,2722,2926,3150,3442,2021-08-07,day
PL,982,574,629,674,736,783,824,852,878,904,926,954,982,1011,1072,1109,1152,1200,1246,1292,1346,1458,1611,1712,2021-08-07,day
PT,15756,8025,8896,9744,10850,11567,12144,12690,13185,13726,14358,14968,15756,16474,17152,17356,17685,18038,18358,19418,19932,21068,22631,24744,2021-08-07,day
RO,1414,688,755,886,992,1042,1082,1128,1192,1252,1308,1366,1414,1434,1451,1470,1494,1512,1536,1686,1746,1797,1838,1934,2021-08-07,day
SE,3250,1120,1480,1712,2037,2300,2480,2642,2781,2900,3024,3142,3250,3414,3584,3666,3815,4005,4238,4453,4774,5252,5715,6396,2021-08-07,day
SI,617,212,269,327,390,433,464,492,516,540,566,592,617,636,648,668,694,731,772,824,886,1000,1111,1236,2021-08-07,day
SK,390,126,143,176,220,256,282,301,322,341,357,374,390,406,422,438,456,483,514,552,600,674,740,832,2021-08-07,day
