location,forecast_IEM_Health-CovidProject,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,15419,10611,11452,12019,12815,13258,13689,13987,14319,14558,14888,15183,15419,15673,15975,16282,16587,16956,17402,17844,18558,19431,20287,21476,2021-04-24,day
BE,24772,14908,15591,16916,18269,19415,20532,21175,21917,22543,23258,24119,24772,25448,26107,26850,27528,28235,29038,30170,31818,34009,35967,38692,2021-04-24,day
BG,15281,7038,8189,9092,10221,11196,11980,12581,13212,13758,14339,14799,15281,15906,16520,17159,17865,18716,19533,20722,22158,24099,26251,28859,2021-04-24,day
CH,11773,7044,7719,8289,8981,9491,9895,10211,10560,10875,11180,11474,11773,12039,12345,12688,13029,13404,13859,14323,14949,15867,16590,17885,2021-04-24,day
CY,5540,4346,4528,4693,4865,4973,5081,5164,5257,5324,5398,5473,5540,5610,5687,5760,5850,5946,6025,6147,6296,6500,6721,6859,2021-04-24,day
CZ,22793,10720,11443,13099,14736,16247,17403,18402,19370,20074,21096,22008,22793,23743,24705,25874,26806,28060,29443,31057,33339,37065,41083,44989,2021-04-24,day
DE,139747,65681,73277,82848,93530,102145,109450,114946,120214,125412,130187,134921,139747,146034,151251,157613,165356,171640,177269,186204,198272,219471,239594,254534,2021-04-24,day
DK,5412,4123,4333,4484,4692,4831,4923,5020,5106,5187,5256,5344,5412,5485,5562,5625,5706,5808,5927,6034,6191,6455,6667,6912,2021-04-24,day
EE,3470,1790,2096,2269,2502,2668,2776,2905,3029,3142,3263,3374,3470,3581,3715,3842,4002,4174,4328,4527,4817,5241,5586,6021,2021-04-24,day
ES,51251,28290,31439,34354,37903,40080,41886,43859,45333,47005,48299,49871,51251,52899,54363,55983,57641,59327,61268,63542,66772,71094,75871,81205,2021-04-24,day
FI,1980,1398,1483,1561,1646,1717,1759,1800,1833,1875,1910,1947,1980,2012,2041,2074,2111,2152,2194,2256,2327,2438,2533,2638,2021-04-24,day
FR,207841,54937,65758,80135,97545,113476,126465,139498,152366,165913,179986,194095,207841,220935,239280,254529,272223,291148,318784,349880,402405,472518,554304,632252,2021-04-24,day
GB,15816,9888,10733,11386,12224,12844,13388,13825,14223,14646,15065,15483,15816,16118,16560,17028,17474,17982,18569,19164,19918,21229,22549,23885,2021-04-24,day
GR,20357,10779,11828,13119,14483,15628,16571,17286,17950,18569,19212,19820,20357,21000,21665,22351,23177,24022,24914,25933,27248,29740,31774,34472,2021-04-24,day
HR,16493,7612,8971,9858,11332,12268,13125,13637,14300,14808,15318,15914,16493,17058,17667,18308,19010,19878,20679,21614,22815,24958,26501,28527,2021-04-24,day
HU,30534,14633,16969,18869,20733,22560,23870,24909,26039,27262,28314,29511,30534,31552,32502,33499,34988,36643,38208,40178,42777,46924,51092,55716,2021-04-24,day
IE,2383,1706,1784,1878,1988,2052,2112,2164,2208,2254,2305,2345,2383,2422,2465,2505,2553,2615,2666,2741,2826,2983,3114,3263,2021-04-24,day
IS,28,12,14,15,18,19,20,22,23,24,25,26,28,29,30,32,33,34,36,38,42,46,53,60,2021-04-24,day
IT,95253,55527,60858,67192,72785,77088,79964,82954,85574,88050,90415,92578,95253,97844,100220,102837,105286,108284,111768,116379,121313,128477,136204,146677,2021-04-24,day
LI,57,16,20,24,30,34,38,41,44,47,50,53,57,60,64,68,72,76,82,89,99,115,128,144,2021-04-24,day
LT,8262,6058,6370,6658,7039,7267,7433,7600,7743,7882,8025,8151,8262,8408,8551,8684,8810,8976,9168,9351,9688,10046,10489,10984,2021-04-24,day
LU,1130,566,655,722,812,865,913,958,992,1033,1062,1094,1130,1162,1202,1241,1289,1334,1386,1451,1540,1680,1812,1947,2021-04-24,day
LV,3946,2038,2328,2598,2851,3057,3194,3328,3455,3583,3715,3840,3946,4063,4180,4303,4462,4608,4798,5029,5258,5644,6084,6490,2021-04-24,day
MT,325,202,219,231,249,264,274,284,293,300,309,317,325,333,341,349,360,369,379,393,410,435,458,490,2021-04-24,day
NL,58467,45610,47820,49782,51505,52714,53677,54416,55379,56148,56973,57708,58467,59175,59869,60542,61392,62136,63002,63928,65203,67439,68753,70418,2021-04-24,day
NO,3758,2607,2770,2942,3071,3218,3327,3407,3488,3560,3625,3689,3758,3822,3891,3958,4029,4118,4206,4336,4515,4792,4995,5255,2021-04-24,day
PL,114553,60249,67500,73319,82069,87524,91867,95909,99776,103466,106459,110447,114553,118016,121740,126389,131003,136349,142152,148371,157925,171087,184969,200721,2021-04-24,day
PT,3806,1737,1978,2220,2477,2691,2878,3037,3185,3357,3525,3674,3806,3970,4146,4298,4485,4701,4930,5205,5526,6074,6666,7237,2021-04-24,day
RO,22407,15898,16876,17898,18635,19445,20007,20485,20911,21339,21766,22044,22407,22843,23256,23681,24099,24676,25238,25908,26567,27927,28977,30040,2021-04-24,day
SE,35987,19447,21861,23622,25906,27882,29047,30115,31455,32571,33794,34874,35987,37248,38556,39824,41160,42395,43946,45930,48356,51976,56184,61402,2021-04-24,day
SI,6006,2591,2874,3348,3821,4233,4497,4759,5032,5268,5480,5733,6006,6244,6502,6784,7054,7386,7818,8214,8730,9778,10701,11294,2021-04-24,day
SK,5324,2079,2390,2737,3236,3598,3943,4223,4455,4679,4897,5096,5324,5572,5859,6166,6533,6888,7240,7760,8266,9181,10123,11498,2021-04-24,day
