location,forecast_ILM-EKF,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,1665,793,891,986,1107,1197,1273,1343,1409,1473,1536,1600,1665,1734,1806,1883,1969,2065,2178,2318,2506,2814,3112,3497,2021-06-12,day
BE,8613,4844,5304,5734,6273,6665,6994,7290,7565,7830,8090,8350,8613,8885,9171,9475,9807,10178,10607,11131,11827,12939,13988,15315,2021-06-12,day
BG,827,335,386,436,502,552,596,636,674,712,749,787,827,868,912,960,1013,1074,1146,1237,1360,1567,1771,2042,2021-06-12,day
CH,3644,1836,2046,2245,2498,2685,2844,2988,3123,3253,3382,3512,3644,3782,3927,4083,4253,4446,4670,4946,5316,5917,6492,7233,2021-06-12,day
CY,187,55,67,79,95,109,120,131,142,153,163,175,187,199,213,228,246,266,290,321,365,441,521,631,2021-06-12,day
CZ,1585,709,805,897,1018,1108,1185,1255,1322,1387,1452,1518,1585,1655,1730,1811,1900,2001,2120,2268,2469,2799,3121,3543,2021-06-12,day
DE,15518,8624,9460,10243,11227,11944,12546,13087,13593,14079,14556,15033,15518,16018,16543,17103,17715,18399,19192,20160,21447,23508,25455,27923,2021-06-12,day
DK,6480,3799,4133,4443,4829,5108,5342,5551,5745,5932,6114,6296,6480,6670,6868,7079,7309,7565,7861,8220,8696,9452,10161,11053,2021-06-12,day
EE,607,243,281,318,367,404,436,466,494,522,549,578,607,637,670,706,746,791,844,912,1004,1157,1310,1513,2021-06-12,day
ES,27827,19598,20710,21718,22940,23803,24512,25138,25713,26257,26785,27305,27827,28359,28910,29491,30116,30805,31590,32532,33756,35656,37390,39512,2021-06-12,day
FI,804,343,392,440,502,550,590,628,663,698,732,767,804,841,882,925,974,1029,1094,1175,1285,1468,1648,1885,2021-06-12,day
FR,39858,24698,26632,28415,30621,32204,33521,34694,35782,36820,37834,38841,39858,40902,41990,43146,44398,45790,47392,49330,51881,55907,59652,64322,2021-06-12,day
GB,42484,27551,29496,31278,33466,35029,36323,37470,38532,39543,40526,41501,42484,43489,44535,45643,46840,48168,49690,51525,53931,57705,61191,65510,2021-06-12,day
GR,7528,4409,4797,5157,5607,5932,6203,6447,6673,6890,7102,7314,7528,7749,7980,8226,8493,8791,9136,9555,10109,10989,11815,12854,2021-06-12,day
HR,924,389,446,502,574,629,676,719,760,801,841,882,924,968,1015,1066,1122,1187,1263,1357,1487,1702,1913,2192,2021-06-12,day
HU,1132,490,559,626,714,780,836,888,937,985,1033,1082,1132,1184,1240,1300,1367,1443,1532,1644,1795,2046,2292,2615,2021-06-12,day
IE,9711,5895,6377,6823,7376,7775,8107,8403,8678,8941,9197,9453,9711,9977,10254,10548,10868,11223,11633,12130,12785,13821,14788,15998,2021-06-12,day
IS,18,1,1,2,3,5,6,8,9,11,13,15,18,21,25,30,36,43,54,70,96,153,231,372,2021-06-12,day
IT,12026,6431,7097,7725,8519,9099,9589,10030,10443,10842,11234,11626,12026,12440,12874,13340,13849,14419,15082,15894,16978,18721,20378,22489,2021-06-12,day
LI,22,2,2,3,5,7,9,10,12,14,17,19,22,25,29,34,39,47,56,70,92,138,197,297,2021-06-12,day
LT,1764,852,955,1054,1181,1275,1356,1428,1497,1564,1629,1696,1764,1835,1909,1990,2078,2178,2295,2440,2634,2951,3257,3652,2021-06-12,day
LU,257,83,99,115,138,155,171,185,199,213,227,242,257,273,291,310,332,357,387,425,479,572,667,797,2021-06-12,day
LV,1457,697,783,865,971,1049,1116,1177,1234,1290,1345,1400,1457,1517,1579,1647,1721,1805,1903,2024,2188,2455,2713,3048,2021-06-12,day
MT,14,1,2,3,4,5,6,7,8,9,11,12,14,16,18,20,23,27,31,38,48,68,93,133,2021-06-12,day
NL,13030,7630,8301,8925,9703,10266,10736,11157,11549,11924,12292,12658,13030,13412,13812,14237,14700,15217,15813,16538,17498,19023,20453,22252,2021-06-12,day
NO,2188,1115,1239,1358,1509,1620,1714,1799,1879,1957,2033,2110,2188,2269,2355,2446,2547,2660,2793,2955,3172,3525,3862,4295,2021-06-12,day
PL,1958,871,990,1104,1253,1365,1460,1548,1631,1712,1792,1874,1958,2045,2138,2239,2350,2476,2624,2808,3058,3470,3873,4399,2021-06-12,day
PT,4443,2312,2563,2800,3100,3321,3508,3677,3835,3988,4138,4289,4443,4603,4771,4951,5148,5370,5628,5944,6368,7051,7704,8539,2021-06-12,day
RO,849,352,404,455,523,573,617,658,696,734,771,809,849,890,934,982,1035,1096,1167,1257,1379,1582,1783,2048,2021-06-12,day
SE,4840,2668,2930,3176,3486,3712,3902,4072,4232,4385,4536,4686,4840,4998,5164,5342,5535,5752,6003,6311,6719,7374,7994,8780,2021-06-12,day
SI,1345,637,716,793,891,964,1026,1083,1136,1188,1240,1291,1345,1400,1459,1522,1591,1670,1762,1876,2029,2281,2524,2839,2021-06-12,day
SK,525,201,233,266,309,342,371,397,422,447,472,498,525,553,582,615,651,693,743,805,891,1035,1179,1372,2021-06-12,day
