location,forecast_LANL-GrowthRate,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,268,103,115,131,154,170,184,199,213,226,240,254,268,283,299,316,336,360,387,417,458,526,606,687,2021-07-10,day
BE,476,1,7,22,53,89,130,178,223,275,334,397,476,563,663,778,921,1083,1295,1577,1958,2651,3457,4318,2021-07-10,day
BG,291,36,59,80,116,139,161,184,205,225,247,270,291,317,343,372,403,436,477,531,609,729,855,1009,2021-07-10,day
CH,510,22,48,74,119,161,206,255,304,354,400,452,510,578,649,722,807,910,1019,1166,1377,1734,2085,2604,2021-07-10,day
CY,6268,3111,3384,3598,4036,4440,4845,5241,5533,5740,5946,6133,6268,6395,6515,6631,6754,6910,7048,7213,7409,7734,8005,8287,2021-07-10,day
CZ,823,269,313,368,437,494,547,595,645,686,730,774,823,872,920,968,1039,1113,1196,1301,1416,1652,1838,2108,2021-07-10,day
DE,2848,829,1015,1193,1436,1627,1831,2014,2175,2343,2505,2672,2848,3047,3256,3490,3761,4049,4377,4792,5354,6379,7125,8244,2021-07-10,day
DK,3056,1530,1747,1925,2152,2306,2440,2556,2667,2767,2864,2961,3056,3155,3249,3344,3467,3585,3729,3905,4121,4419,4720,5106,2021-07-10,day
EE,193,69,82,94,111,125,137,148,157,166,175,184,193,202,212,223,235,248,264,281,307,344,379,417,2021-07-10,day
ES,27564,7654,9326,11329,14016,16264,18046,19508,20935,22559,24227,25885,27564,29412,31085,33029,35196,37622,40490,44227,49340,57508,65068,73617,2021-07-10,day
FI,1629,771,881,975,1102,1195,1268,1332,1396,1455,1515,1573,1629,1691,1751,1817,1884,1961,2045,2152,2299,2535,2721,3028,2021-07-10,day
FR,15327,5074,5902,6847,8078,9302,10199,11028,11871,12784,13521,14428,15327,16134,17102,18202,19538,20779,22337,24324,26708,30681,34525,38758,2021-07-10,day
GB,209240,165956,172969,180253,186504,190837,194568,197379,200054,202796,204790,207013,209240,211242,213581,215884,218452,220875,223941,227135,231793,238885,244108,250142,2021-07-10,day
GR,7822,3570,4213,4646,5270,5737,6090,6429,6722,7001,7279,7566,7822,8093,8366,8655,8950,9290,9704,10156,10670,11557,12327,13434,2021-07-10,day
HR,466,99,124,155,207,241,273,304,337,368,399,432,466,504,546,589,643,699,770,857,969,1175,1349,1576,2021-07-10,day
HU,131,3,8,14,27,39,50,61,74,86,100,115,131,148,167,191,214,241,275,319,379,477,575,733,2021-07-10,day
IE,3693,2356,2524,2669,2875,3025,3143,3244,3330,3422,3514,3602,3693,3775,3866,3960,4059,4176,4301,4466,4645,4927,5214,5604,2021-07-10,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2021-07-10,day
IT,4411,2051,2294,2564,2877,3142,3356,3531,3706,3889,4062,4250,4411,4608,4790,5003,5230,5466,5718,6049,6487,7128,7784,8469,2021-07-10,day
LI,6,0,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,11,13,15,16,2021-07-10,day
LT,105,25,28,32,38,45,52,60,67,76,85,95,105,117,132,146,165,186,215,249,297,378,462,579,2021-07-10,day
LU,268,76,97,117,146,166,182,196,212,225,240,254,268,282,297,313,331,351,372,402,444,507,568,654,2021-07-10,day
LV,212,42,53,64,83,99,115,130,145,163,178,194,212,231,250,272,298,329,363,408,470,564,661,776,2021-07-10,day
MT,32,17,19,21,23,24,26,27,28,29,30,31,32,33,34,35,36,38,39,41,43,46,49,52,2021-07-10,day
NL,6146,3996,4295,4538,4868,5062,5263,5426,5582,5725,5864,6015,6146,6282,6439,6577,6757,6944,7155,7411,7738,8298,8710,9233,2021-07-10,day
NO,1170,440,526,606,714,788,853,909,961,1010,1064,1115,1170,1229,1281,1338,1408,1482,1568,1674,1811,2061,2241,2470,2021-07-10,day
PL,316,86,102,119,147,171,192,214,234,253,275,295,316,340,363,392,421,457,499,549,623,724,835,976,2021-07-10,day
PT,16767,11473,12171,12780,13624,14185,14691,15082,15446,15779,16109,16449,16767,17106,17420,17754,18136,18478,18989,19536,20353,21410,22499,23723,2021-07-10,day
RO,223,76,91,104,126,141,153,164,176,188,200,212,223,235,248,260,276,291,312,336,367,417,470,527,2021-07-10,day
SE,1911,322,460,688,995,1150,1280,1420,1527,1612,1722,1814,1911,2008,2115,2231,2330,2446,2589,2727,2925,3255,3471,3789,2021-07-10,day
SI,47,8,8,8,10,12,16,19,24,28,34,40,47,54,62,74,87,103,126,152,188,258,337,434,2021-07-10,day
SK,90,21,23,27,34,41,47,53,60,67,75,82,90,100,110,121,133,150,168,194,226,284,341,412,2021-07-10,day
