location,forecast_RobertWalraven-ESG,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,5064,3529,3771,3979,4219,4381,4509,4620,4719,4811,4898,4982,5064,5147,5231,5318,5410,5509,5620,5748,5910,6150,6358,6600,2021-08-21,day
BE,11143,5531,6415,7175,8052,8643,9114,9517,9879,10215,10533,10841,11143,11446,11753,12072,12407,12769,13173,13643,14235,15111,15872,16755,2021-08-21,day
BG,5536,4558,4712,4844,4997,5100,5182,5252,5316,5374,5430,5483,5536,5589,5642,5698,5756,5819,5890,5972,6075,6228,6360,6514,2021-08-21,day
CH,10194,7454,7886,8257,8685,8973,9203,9400,9577,9741,9896,10046,10194,10341,10491,10647,10811,10987,11184,11414,11703,12131,12502,12933,2021-08-21,day
CY,2337,698,956,1178,1434,1607,1744,1862,1968,2066,2159,2248,2337,2425,2515,2608,2706,2812,2929,3067,3239,3495,3717,3975,2021-08-21,day
CZ,780,0,0,0,0,0,98,234,355,468,575,679,780,882,985,1092,1205,1327,1463,1621,1820,2115,2370,2667,2021-08-21,day
DE,31874,24375,25556,26572,27743,28534,29162,29701,30185,30634,31059,31470,31874,32278,32689,33115,33563,34047,34586,35215,36005,37177,38193,39374,2021-08-21,day
DK,5499,3805,4071,4301,4566,4744,4886,5008,5117,5219,5315,5408,5499,5590,5683,5779,5880,5990,6112,6254,6432,6697,6926,7193,2021-08-21,day
EE,1876,1430,1500,1560,1630,1677,1715,1747,1776,1803,1828,1852,1876,1901,1925,1950,1977,2006,2038,2075,2123,2192,2253,2323,2021-08-21,day
ES,71207,32395,38507,43764,49827,53919,57171,59961,62467,64787,66988,69116,71207,73299,75426,77627,79948,82453,85243,88495,92587,98650,103907,110019,2021-08-21,day
FI,6234,5304,5451,5576,5722,5820,5898,5964,6024,6080,6133,6184,6234,6284,6335,6388,6443,6503,6570,6648,6746,6891,7017,7164,2021-08-21,day
FR,164252,137419,141645,145279,149471,152300,154548,156477,158209,159814,161335,162806,164252,165698,167169,168691,170295,172027,173956,176204,179033,183225,186859,191085,2021-08-21,day
GB,155653,103055,111338,118462,126679,132224,136632,140413,143808,146953,149936,152819,155653,158488,161371,164354,167499,170894,174675,179083,184628,192845,199969,208252,2021-08-21,day
GR,20147,16352,16949,17463,18056,18457,18775,19047,19292,19519,19735,19943,20147,20352,20560,20775,21002,21247,21520,21838,22238,22831,23345,23943,2021-08-21,day
HR,1939,1169,1291,1395,1515,1596,1661,1716,1765,1811,1855,1897,1939,1980,2022,2066,2112,2162,2217,2281,2362,2483,2587,2708,2021-08-21,day
HU,361,0,0,0,0,0,0,0,0,24,139,251,361,471,582,698,820,951,1098,1268,1483,1802,2078,2398,2021-08-21,day
IE,11970,9166,9608,9988,10426,10721,10956,11158,11339,11507,11666,11819,11970,12122,12275,12434,12602,12783,12985,13220,13515,13953,14333,14775,2021-08-21,day
IS,901,680,715,745,780,803,821,837,851,865,877,889,901,913,925,938,951,965,981,1000,1023,1057,1087,1122,2021-08-21,day
IT,46142,39960,40934,41771,42737,43388,43906,44351,44750,45119,45470,45809,46142,46475,46814,47164,47534,47933,48377,48895,49547,50512,51349,52323,2021-08-21,day
LI,54,40,42,44,46,48,49,50,51,52,52,53,54,55,55,56,57,58,59,60,61,63,65,67,2021-08-21,day
LT,3961,3202,3321,3424,3543,3623,3687,3741,3790,3836,3879,3920,3961,4002,4044,4087,4132,4181,4236,4300,4380,4498,4601,4721,2021-08-21,day
LU,202,0,30,57,89,111,128,143,156,168,180,191,202,213,225,236,248,262,276,294,315,347,375,407,2021-08-21,day
LV,627,206,272,329,395,439,475,505,532,558,581,605,627,650,673,697,722,749,780,815,860,925,983,1049,2021-08-21,day
MT,295,0,0,16,77,119,152,181,206,230,252,274,295,316,338,361,384,410,438,471,513,575,628,690,2021-08-21,day
NL,7311,0,0,0,0,206,1543,2690,3719,4673,5578,6452,7311,8171,9045,9950,10904,11933,13080,14417,16098,18590,20751,23262,2021-08-21,day
NO,3757,3312,3382,3443,3512,3559,3596,3628,3657,3684,3709,3733,3757,3781,3805,3831,3857,3886,3918,3955,4002,4072,4132,4202,2021-08-21,day
PL,1295,0,0,0,0,0,0,118,380,623,853,1076,1295,1514,1737,1967,2210,2473,2765,3105,3534,4169,4719,5359,2021-08-21,day
PT,14272,8627,9516,10280,11162,11757,12230,12636,13001,13338,13658,13968,14272,14576,14886,15206,15543,15908,16314,16787,17382,18264,19029,19918,2021-08-21,day
RO,2212,1084,1262,1414,1591,1709,1804,1885,1958,2025,2089,2151,2212,2273,2334,2398,2466,2539,2620,2714,2833,3009,3162,3340,2021-08-21,day
SE,5320,3298,3616,3890,4206,4419,4589,4734,4864,4985,5100,5211,5320,5429,5540,5654,5775,5906,6051,6221,6434,6750,7024,7342,2021-08-21,day
SI,1313,825,902,968,1044,1096,1137,1172,1203,1233,1260,1287,1313,1340,1366,1394,1423,1455,1490,1531,1582,1659,1725,1802,2021-08-21,day
SK,483,0,24,98,183,240,286,325,360,393,424,454,483,513,543,574,606,641,681,726,784,869,943,1029,2021-08-21,day
