location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13588,5903,8563,10943,13588,16233,18614,21274,2021-05-08,day
BE,20025,9644,13237,16452,20025,23597,26812,30405,2021-05-08,day
BG,9906,0,2479,5997,9906,13814,17332,21264,2021-05-08,day
CH,17966,14455,15670,16757,17966,19174,20262,21477,2021-05-08,day
CY,3898,0,630,2178,3898,5619,7167,8897,2021-05-08,day
CZ,15027,516,5538,10033,15027,20020,24515,29537,2021-05-08,day
DE,184437,132367,150390,166518,184437,202356,218484,236508,2021-05-08,day
DK,5379,3222,3968,4637,5379,6121,6790,7536,2021-05-08,day
EE,2372,0,29,1139,2372,3605,4715,5955,2021-05-08,day
ES,52676,25536,34930,43336,52676,62015,70422,79816,2021-05-08,day
FI,1404,0,113,725,1404,2083,2694,3377,2021-05-08,day
FR,166174,0,0,76071,166174,256277,337372,427999,2021-05-08,day
GB,19019,8103,11881,15262,19019,22775,26156,29935,2021-05-08,day
GR,19094,12739,14939,16907,19094,21281,23249,25449,2021-05-08,day
HR,17500,14147,15308,16346,17500,18653,19692,20852,2021-05-08,day
HU,21906,0,0,9061,21906,34750,46311,59230,2021-05-08,day
IE,3941,2652,3098,3497,3941,4385,4784,5230,2021-05-08,day
IS,31,0,0,0,31,70,105,144,2021-05-08,day
IT,117421,71813,87600,101726,117421,133116,147242,163029,2021-05-08,day
LI,62,0,18,39,62,86,107,130,2021-05-08,day
LT,8318,5514,6484,7353,8318,9283,10152,11123,2021-05-08,day
LU,1505,1260,1345,1421,1505,1590,1665,1750,2021-05-08,day
LV,5917,4719,5134,5505,5917,6330,6701,7116,2021-05-08,day
MT,186,0,0,82,186,290,383,488,2021-05-08,day
NL,61793,46271,51644,56451,61793,67134,71942,77314,2021-05-08,day
NO,3473,1679,2300,2856,3473,4090,4645,5266,2021-05-08,day
PL,64505,0,0,28788,64505,100222,132369,168294,2021-05-08,day
PT,5025,3527,4046,4510,5025,5540,6004,6523,2021-05-08,day
RO,6637,0,0,0,6637,16165,24741,34324,2021-05-08,day
SE,44906,28133,33939,39134,44906,50678,55873,61678,2021-05-08,day
SI,6608,4713,5369,5956,6608,7260,7847,8503,2021-05-08,day
SK,3235,1061,1813,2487,3235,3983,4657,5409,2021-05-08,day
